episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,622,-8.592e+01,4.000e-01,2.500e+00,1.308e+01,9.900e+01,1.338e+00,1.308e+00,1.043e+01,5.000e+01,3.082e+01,3.000e-01,2.200e+00,3.609e+01,6.664e+00,3.385e+00,8.797e+00,2.390e+01,0.000e+00,2.632e+01,1.300e+00,1.000e+00,3.581e+01,8.195e+00,1.422e+01,1.087e+01,1.072e+01,0.000e+00,2.818e+01,9.000e-01,7.000e-01,3.597e+01,7.084e+00,9.883e+00,1.856e+01,7.522e+00,0.000e+00,3.30
200,200,1264,-1.154e+02,1.000e-01,3.800e+00,8.643e+00,1.260e+02,2.127e-01,5.781e-01,7.852e+00,3.000e+01,3.905e+01,7.000e-01,2.200e+00,4.611e+01,4.362e+00,7.940e+00,1.428e+01,2.389e+01,0.000e+00,3.529e+01,9.000e-01,8.000e-01,4.450e+01,7.215e+00,9.752e+00,2.620e+01,8.548e+00,0.000e+00,3.562e+01,8.000e-01,1.600e+00,4.606e+01,7.737e+00,8.776e+00,1.980e+01,1.749e+01,0.000e+00,4.20
300,300,1966,-1.111e+02,2.000e-01,3.100e+00,8.678e-01,1.140e+02,4.083e-02,1.042e-01,7.228e-01,4.000e+01,3.742e+01,7.000e-01,1.400e+00,3.995e+01,2.126e+00,7.500e+00,1.771e+01,1.474e+01,0.000e+00,3.450e+01,1.300e+00,9.000e-01,4.019e+01,3.182e+00,1.394e+01,1.683e+01,9.413e+00,0.000e+00,3.581e+01,8.000e-01,1.000e+00,4.144e+01,3.129e+00,8.853e+00,2.184e+01,1.075e+01,0.000e+00,3.80
400,400,2659,-1.125e+02,2.000e-01,3.600e+00,4.657e-01,1.170e+02,2.005e-02,1.033e-02,4.353e-01,6.000e+01,3.837e+01,8.000e-01,2.300e+00,4.121e+01,1.034e+00,8.741e+00,8.258e+00,2.421e+01,0.000e+00,3.656e+01,1.100e+00,1.100e+00,4.079e+01,2.736e+00,1.179e+01,1.762e+01,1.138e+01,0.000e+00,3.770e+01,5.000e-01,8.000e-01,4.130e+01,2.994e+00,5.384e+00,2.747e+01,8.439e+00,0.000e+00,3.90
500,500,3414,-1.389e+02,3.000e-01,3.800e+00,3.031e-01,1.380e+02,2.073e-02,3.182e-02,2.506e-01,1.000e+01,4.849e+01,4.000e-01,3.300e+00,5.042e+01,5.339e-01,4.564e+00,9.668e+00,3.619e+01,0.000e+00,4.218e+01,6.000e-01,2.200e+00,4.782e+01,2.448e+00,6.521e+00,1.856e+01,2.274e+01,0.000e+00,4.173e+01,0.000e+00,1.400e+00,4.743e+01,4.996e+00,0.000e+00,3.300e+01,1.442e+01,0.000e+00,4.60
600,600,4196,-1.377e+02,2.000e-01,4.100e+00,4.187e-01,1.380e+02,1.247e-02,1.873e-02,3.875e-01,1.000e+01,4.472e+01,7.000e-01,2.600e+00,4.768e+01,1.654e-01,7.583e+00,1.339e+01,2.670e+01,0.000e+00,4.389e+01,1.000e+00,1.600e+00,4.689e+01,7.995e-01,1.040e+01,2.031e+01,1.617e+01,0.000e+00,4.268e+01,3.000e-01,6.000e-01,4.633e+01,2.351e+00,3.042e+00,3.726e+01,6.031e+00,0.000e+00,4.60
700,700,5005,-1.007e+02,3.000e-01,3.100e+00,1.660e-01,1.020e+02,7.397e-03,0.000e+00,1.586e-01,5.000e+01,3.658e+01,2.000e-01,2.100e+00,3.454e+01,5.777e-02,2.107e+00,1.111e+01,2.132e+01,0.000e+00,3.180e+01,1.200e+00,8.000e-01,3.450e+01,2.051e-01,1.235e+01,1.410e+01,8.060e+00,0.000e+00,3.225e+01,1.000e-01,6.000e-01,3.409e+01,1.038e+00,1.006e+00,2.707e+01,6.012e+00,0.000e+00,3.40
800,800,5853,-1.411e+02,2.000e-01,4.400e+00,8.067e-02,1.440e+02,1.844e-03,2.023e-03,7.680e-02,4.000e+01,4.606e+01,5.000e-01,3.000e+00,4.833e+01,7.073e-02,5.141e+00,1.306e+01,3.013e+01,0.000e+00,4.491e+01,9.000e-01,1.500e+00,4.820e+01,1.926e-01,9.127e+00,2.405e+01,1.502e+01,0.000e+00,4.796e+01,2.000e-01,5.000e-01,4.810e+01,4.472e-01,2.011e+00,4.108e+01,5.013e+00,0.000e+00,4.80
900,900,6750,-1.390e+02,1.000e-01,4.200e+00,4.443e-02,1.380e+02,6.747e-04,1.926e-03,4.183e-02,1.000e+01,4.530e+01,1.000e-01,3.600e+00,4.654e+01,3.563e-02,1.149e+00,9.049e+00,3.634e+01,0.000e+00,4.343e+01,9.000e-01,1.400e+00,4.616e+01,1.272e-01,9.110e+00,2.304e+01,1.402e+01,0.000e+00,4.452e+01,0.000e+00,8.000e-01,4.605e+01,6.290e-01,0.000e+00,3.804e+01,8.006e+00,0.000e+00,4.60
1000,1000,7672,-1.513e+02,3.000e-01,4.500e+00,7.322e-02,1.500e+02,2.609e-03,1.584e-03,6.903e-02,0.000e+00,4.797e+01,1.000e-01,3.800e+00,5.060e+01,3.071e-02,1.103e+00,1.110e+01,3.840e+01,0.000e+00,4.712e+01,3.000e-01,1.400e+00,5.011e+01,1.911e-01,3.023e+00,3.306e+01,1.402e+01,0.000e+00,4.844e+01,1.000e-01,5.000e-01,5.005e+01,6.138e-01,1.002e+00,4.405e+01,5.003e+00,0.000e+00,5.00
