episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
2300,2300,13589,-1.422e+00,1.300e+00,6.000e-01,1.059e+00,2.806e-01,1.025e+00,1.751e-02,1.617e-02,1.000e+02,7.422e+00,3.000e-01,2.600e+00,2.806e-01,1.059e+00,2.078e-01,1.817e-02,5.457e-02,0.000e+00,3.50
2400,2400,14159,2.047e-01,1.100e+00,4.000e-01,1.005e+00,2.002e-01,8.698e-01,1.350e-01,9.713e-05,9.000e+01,6.195e+00,2.000e-01,1.900e+00,2.002e-01,1.005e+00,1.768e-01,1.172e-02,1.172e-02,0.000e+00,2.80
2500,2500,14771,-1.122e+00,1.100e+00,3.000e-01,8.681e-01,4.905e-01,8.540e-01,1.357e-02,5.087e-04,8.000e+01,6.122e+00,4.000e-01,2.200e+00,4.905e-01,8.681e-01,4.114e-01,6.911e-03,7.217e-02,0.000e+00,2.80
2600,2600,15341,-1.174e-01,1.300e+00,8.000e-01,2.071e+00,7.880e-01,1.306e+00,7.628e-01,1.542e-03,9.000e+01,4.517e+00,8.000e-01,2.500e+00,7.880e-01,2.071e+00,6.584e-01,3.734e-02,9.229e-02,0.000e+00,3.90
2700,2700,15913,-1.068e+00,1.200e+00,7.000e-01,9.978e-01,2.656e-01,9.963e-01,4.635e-04,9.964e-04,1.000e+02,8.368e+00,2.000e-01,2.200e+00,2.656e-01,9.978e-01,2.074e-01,4.265e-03,5.400e-02,0.000e+00,2.60
2800,2800,16489,-2.814e-01,1.100e+00,6.000e-01,2.001e+00,3.822e-01,1.400e+00,4.007e-01,2.003e-01,8.000e+01,5.181e+00,3.000e-01,2.400e+00,3.822e-01,2.001e+00,3.086e-01,3.758e-03,6.986e-02,0.000e+00,2.90
2900,2900,17027,-8.380e-01,1.000e+00,5.000e-01,9.258e-01,1.638e-01,9.154e-01,7.472e-04,9.625e-03,9.000e+01,7.238e+00,1.000e-01,2.100e+00,1.638e-01,9.258e-01,1.192e-01,1.190e-02,3.267e-02,0.000e+00,2.50
3000,3000,17607,-1.139e+00,9.000e-01,8.000e-01,1.242e+00,2.805e-01,1.042e+00,1.984e-01,1.245e-03,8.000e+01,6.239e+00,2.000e-01,2.600e+00,2.805e-01,1.242e+00,2.344e-01,5.545e-03,4.053e-02,0.000e+00,3.10
3100,3100,18168,-8.637e-01,1.100e+00,9.000e-01,1.183e+00,1.471e-01,7.812e-01,3.980e-01,4.193e-03,7.000e+01,4.364e+00,1.000e-01,3.000e+00,1.471e-01,1.183e+00,1.137e-01,1.033e-02,2.310e-02,0.000e+00,3.70
3200,3200,18774,-5.198e-01,1.000e+00,5.000e-01,4.420e-01,3.618e-01,4.364e-01,2.711e-04,5.322e-03,9.000e+01,6.620e+00,3.000e-01,2.200e+00,3.618e-01,4.420e-01,3.276e-01,8.145e-03,2.603e-02,0.000e+00,2.80
