episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
100,100,822,-6.743e-01,1.700e+00,1.100e+00,9.830e+00,7.804e+00,3.817e+00,3.520e+00,2.492e+00,4.000e+01,-2.986e+00,9.000e-01,1.800e+00,7.320e+00,1.071e+01,1.490e+00,2.710e+00,3.120e+00,0.000e+00,-4.000e-02,1.200e+00,1.700e+00,1.005e+01,8.690e+00,2.715e+00,3.208e+00,4.127e+00,0.000e+00,4.40
200,200,1673,-6.736e-01,1.100e+00,2.000e+00,7.853e+00,6.726e+00,2.103e+00,2.131e+00,3.618e+00,1.000e+01,-5.713e+00,7.000e-01,2.300e+00,6.633e+00,9.246e+00,9.934e-01,2.202e+00,3.437e+00,0.000e+00,-1.013e+00,5.000e-01,2.500e+00,9.240e+00,7.754e+00,1.028e+00,2.932e+00,5.280e+00,0.000e+00,4.60
300,300,2519,-2.037e+00,1.900e+00,1.000e+00,5.837e+00,5.074e+00,3.416e+00,1.149e+00,1.273e+00,3.000e+01,1.491e+00,6.000e-01,2.300e+00,7.696e+00,6.505e+00,9.884e-01,2.309e+00,4.399e+00,0.000e+00,-3.554e+00,9.000e-01,2.000e+00,6.196e+00,8.151e+00,1.463e+00,1.927e+00,2.807e+00,0.000e+00,4.40
400,400,3356,1.770e+00,1.100e+00,1.700e+00,4.869e+00,3.099e+00,1.946e+00,8.817e-01,2.041e+00,3.000e+01,-1.684e+00,1.000e+00,1.800e+00,4.704e+00,4.888e+00,1.269e+00,1.000e+00,2.436e+00,0.000e+00,-3.785e+00,6.000e-01,1.400e+00,4.041e+00,5.626e+00,7.742e-01,1.766e+00,1.500e+00,0.000e+00,3.80
500,500,4213,-1.354e+00,1.300e+00,1.800e+00,3.791e+00,2.145e+00,1.946e+00,7.911e-01,1.054e+00,2.000e+01,-5.272e-01,1.000e+00,2.000e+00,3.595e+00,2.923e+00,1.109e+00,1.023e+00,1.463e+00,0.000e+00,-4.119e+00,1.100e+00,2.000e+00,2.549e+00,4.868e+00,9.213e-01,7.069e-01,9.204e-01,0.000e+00,4.60
600,600,5082,-1.203e-01,1.600e+00,1.600e+00,3.423e+00,1.543e+00,2.245e+00,4.784e-01,6.995e-01,2.000e+01,-1.778e+00,5.000e-01,3.000e+00,2.133e+00,2.711e+00,4.640e-01,3.796e-01,1.289e+00,0.000e+00,-4.502e+00,7.000e-01,2.500e+00,2.261e+00,3.563e+00,6.023e-01,5.892e-01,1.070e+00,0.000e+00,4.50
700,700,5928,-2.837e+00,1.300e+00,1.800e+00,1.724e+00,1.460e+00,1.126e+00,2.740e-01,3.238e-01,1.000e+01,1.308e+00,9.000e-01,1.900e+00,5.032e+00,1.224e+00,1.967e+00,1.449e+00,1.616e+00,0.000e+00,-5.771e+00,5.000e-01,2.500e+00,7.940e-01,4.865e+00,1.987e-01,2.664e-01,3.289e-01,0.000e+00,4.60
800,800,6794,3.977e-01,7.000e-01,2.100e+00,2.846e+00,1.648e+00,1.435e+00,4.952e-01,9.155e-01,2.000e+01,-8.255e-01,1.300e+00,1.400e+00,3.721e+00,2.047e+00,2.931e+00,3.352e-01,4.548e-01,0.000e+00,-5.472e+00,1.200e+00,2.400e+00,1.260e+00,4.132e+00,6.192e-01,1.793e-01,4.615e-01,0.000e+00,4.40
900,900,7691,-6.129e-01,7.000e-01,2.400e+00,3.663e+00,2.176e+00,2.178e+00,4.653e-01,1.019e+00,1.000e+01,-2.671e+00,7.000e-01,1.700e+00,2.880e+00,3.552e+00,1.951e+00,4.354e-01,4.936e-01,0.000e+00,-3.816e+00,7.000e-01,2.300e+00,2.678e+00,3.493e+00,8.692e-01,8.457e-01,9.626e-01,0.000e+00,4.60
1000,1000,8528,-7.576e-01,1.300e+00,1.700e+00,3.922e+00,1.680e+00,3.207e+00,4.004e-01,3.145e-01,1.000e+01,-8.751e-01,8.000e-01,1.800e+00,3.620e+00,2.495e+00,2.600e+00,5.942e-01,4.257e-01,0.000e+00,-6.167e+00,8.000e-01,2.200e+00,8.530e-01,4.220e+00,3.551e-01,3.044e-01,1.936e-01,0.000e+00,4.80
