episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
2300,2300,13910,5.735e+00,1.000e-01,3.000e+00,2.047e-01,1.570e+00,1.977e-01,0.000e+00,7.002e-03,9.000e+01,5.652e-01,8.000e-01,1.600e+00,1.570e+00,2.047e-01,1.545e+00,1.395e-02,1.119e-02,0.000e+00,3.10
2400,2400,14511,4.849e+00,0.000e+00,2.500e+00,5.696e-03,1.257e+00,0.000e+00,1.781e-03,3.915e-03,7.000e+01,-4.489e-01,7.000e-01,1.100e+00,1.257e+00,5.696e-03,1.253e+00,3.012e-03,9.032e-04,0.000e+00,2.70
2500,2500,15071,5.194e+00,2.000e-01,1.700e+00,4.003e-01,1.307e+00,3.959e-01,1.938e-03,2.492e-03,9.000e+01,1.506e+00,7.000e-01,1.000e+00,1.307e+00,4.003e-01,1.304e+00,1.363e-03,8.624e-04,0.000e+00,2.10
2600,2600,15636,6.162e+00,0.000e+00,2.900e+00,4.530e-03,8.428e-01,0.000e+00,4.301e-04,4.100e-03,8.000e+01,-8.617e-01,8.000e-01,1.500e+00,8.428e-01,4.530e-03,8.369e-01,4.790e-03,1.143e-03,0.000e+00,3.00
2700,2700,16202,7.707e+00,2.000e-01,2.300e+00,7.957e-01,1.289e+00,3.959e-01,0.000e+00,3.998e-01,9.000e+01,-1.507e+00,1.100e+00,1.100e+00,1.289e+00,7.957e-01,1.287e+00,5.595e-04,1.334e-03,0.000e+00,2.50
2800,2800,16779,6.789e+00,0.000e+00,2.800e+00,5.116e-03,1.516e+00,0.000e+00,1.479e-03,3.637e-03,9.000e+01,-4.893e-01,1.000e+00,1.100e+00,1.516e+00,5.116e-03,1.442e+00,7.332e-02,5.727e-04,0.000e+00,2.90
2900,2900,17317,6.817e+00,0.000e+00,3.500e+00,3.954e-03,1.387e+00,0.000e+00,0.000e+00,3.954e-03,9.000e+01,-6.170e-01,9.000e-01,1.400e+00,1.387e+00,3.954e-03,1.382e+00,4.354e-03,1.033e-03,0.000e+00,3.50
3000,3000,17855,5.325e+00,2.000e-01,2.700e+00,7.990e-01,1.374e+00,3.969e-01,2.002e-01,2.019e-01,7.000e+01,-1.425e+00,9.000e-01,1.300e+00,1.374e+00,7.990e-01,1.371e+00,2.237e-03,6.774e-04,0.000e+00,3.10
3100,3100,18384,5.956e+00,0.000e+00,2.600e+00,2.857e-03,1.246e+00,0.000e+00,3.320e-04,2.525e-03,8.000e+01,4.359e-02,8.000e-01,1.200e+00,1.246e+00,2.857e-03,1.243e+00,3.080e-03,3.919e-04,0.000e+00,2.70
3200,3200,18928,6.128e+00,0.000e+00,3.100e+00,3.514e-03,1.075e+00,0.000e+00,0.000e+00,3.514e-03,8.000e+01,-8.284e-01,8.000e-01,1.200e+00,1.075e+00,3.514e-03,1.071e+00,3.248e-03,6.522e-04,0.000e+00,3.10
3300,3300,19453,5.661e+00,1.000e-01,2.200e+00,2.007e-01,8.392e-01,1.989e-01,0.000e+00,1.880e-03,8.000e+01,3.385e-01,7.000e-01,1.100e+00,8.392e-01,2.007e-01,8.375e-01,1.231e-03,4.801e-04,0.000e+00,2.30
