episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
8500,8500,72215,-1.500e+00,-1.500e+00,0.000e+00,4.600e+00,4.129e-05,0.000e+00,0.000e+00,3.839e-06,3.745e-05,0.000e+00,1.234e+01,-1.268e-01,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,4.129e-05,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
9000,9000,76838,4.295e-06,0.000e+00,0.000e+00,0.000e+00,4.295e-06,0.000e+00,0.000e+00,4.295e-06,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,4.295e-06,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
9500,9500,81445,3.000e-01,-1.000e-01,2.000e-01,3.500e+00,4.000e-01,0.000e+00,4.000e-01,6.227e-07,2.272e-05,3.000e+01,9.129e+00,3.163e-01,6.000e-01,1.000e+00,1.000e-01,3.600e+00,0.000e+00,4.000e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,9.386e+00,7.052e-01,3.80
10000,10000,85945,-1.100e+00,-1.300e+00,1.000e-01,4.600e+00,2.000e-01,0.000e+00,2.000e-01,5.116e-07,2.060e-05,1.000e+01,1.209e+01,-1.149e-01,-4.000e-01,-2.000e-01,0.000e+00,4.800e+00,0.000e+00,2.000e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.247e+01,-6.481e-04,4.90
10500,10500,90490,1.037e-06,0.000e+00,0.000e+00,0.000e+00,1.037e-06,0.000e+00,0.000e+00,1.037e-06,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,1.037e-06,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
11000,11000,95137,-9.000e-01,-1.100e+00,1.000e-01,4.800e+00,2.000e-01,0.000e+00,2.000e-01,0.000e+00,1.075e-05,1.000e+01,1.234e+01,-9.593e-02,-2.000e-01,0.000e+00,0.000e+00,4.900e+00,0.000e+00,2.000e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.260e+01,1.750e-02,4.90
11500,11500,99702,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,1.038e-05,0.000e+00,0.000e+00,0.000e+00,1.038e-05,0.000e+00,1.286e+01,-7.778e-02,-1.000e+00,-1.000e+00,0.000e+00,4.900e+00,0.000e+00,1.038e-05,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.273e+01,-7.864e-02,5.00
12000,12000,104280,5.248e-07,0.000e+00,0.000e+00,0.000e+00,5.248e-07,0.000e+00,0.000e+00,5.248e-07,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,5.248e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
12500,12500,108900,3.708e-07,0.000e+00,0.000e+00,0.000e+00,3.708e-07,0.000e+00,0.000e+00,3.708e-07,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,3.708e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
13000,13000,113516,-2.000e-01,-2.000e-01,0.000e+00,4.600e+00,3.953e-06,0.000e+00,0.000e+00,1.544e-07,3.799e-06,1.000e+01,1.196e+01,8.685e-02,-1.100e+00,-1.100e+00,1.000e-01,4.600e+00,0.000e+00,3.953e-06,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.183e+01,-1.478e-01,4.70
