episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
2300,2300,15530,-6.354e-01,7.000e-01,1.200e+00,2.101e+00,1.436e+00,1.397e+00,4.003e-01,3.038e-01,5.000e+01,1.835e+00,3.000e-01,3.700e+00,1.436e+00,2.101e+00,5.718e-01,2.009e-01,6.637e-01,0.000e+00,4.30
2400,2400,16231,1.594e+00,4.000e-01,6.000e-01,8.504e-01,2.656e+00,7.995e-01,4.153e-03,4.680e-02,8.000e+01,4.306e+00,7.000e-01,1.900e+00,2.656e+00,8.504e-01,1.363e+00,7.232e-03,1.286e+00,0.000e+00,2.90
2500,2500,16940,-2.001e+00,7.000e-01,7.000e-01,2.805e+00,2.706e+00,1.399e+00,9.926e-01,4.131e-01,4.000e+01,2.101e+00,5.000e-01,3.400e+00,2.706e+00,2.805e+00,9.773e-01,1.174e-02,1.717e+00,0.000e+00,4.20
2600,2600,17652,3.233e-01,6.000e-01,1.100e+00,1.435e+00,6.119e-01,1.199e+00,2.019e-01,3.416e-02,6.000e+01,2.577e+00,2.000e-01,3.200e+00,6.119e-01,1.435e+00,3.957e-01,5.643e-03,2.106e-01,0.000e+00,3.80
2700,2700,18326,-3.989e-01,5.000e-01,5.000e-01,1.405e+00,1.504e+00,9.997e-01,3.960e-01,9.382e-03,5.000e+01,2.599e+00,3.000e-01,2.400e+00,1.504e+00,1.405e+00,5.940e-01,4.748e-01,4.352e-01,0.000e+00,3.20
2800,2800,19048,-7.282e-01,7.000e-01,5.000e-01,3.197e+00,3.526e+00,1.399e+00,1.792e+00,6.557e-03,4.000e+01,1.328e+00,8.000e-01,2.700e+00,3.526e+00,3.197e+00,1.592e+00,4.051e-01,1.529e+00,0.000e+00,4.00
2900,2900,19779,2.048e+00,5.000e-01,4.000e-01,1.469e+00,4.208e-01,9.999e-01,4.031e-01,6.569e-02,6.000e+01,1.752e+00,2.000e-01,2.400e+00,4.208e-01,1.469e+00,3.976e-01,1.235e-02,1.087e-02,0.000e+00,3.10
3000,3000,20530,-3.736e-01,5.000e-01,5.000e-01,3.466e+00,2.440e+00,9.997e-01,2.183e+00,2.829e-01,3.000e+01,2.736e-01,4.000e-01,3.300e+00,2.440e+00,3.466e+00,7.950e-01,1.591e-02,1.629e+00,0.000e+00,4.30
3100,3100,21230,-2.002e+00,1.000e-01,4.000e-01,1.047e+00,3.649e+00,2.000e-01,5.906e-01,2.563e-01,1.000e+01,3.022e-01,8.000e-01,3.700e+00,3.649e+00,1.047e+00,1.591e+00,4.031e-01,1.654e+00,0.000e+00,5.00
3200,3200,22046,-1.714e+00,5.000e-01,4.000e-01,2.146e+00,2.461e+00,9.998e-01,9.325e-01,2.141e-01,2.000e+01,-8.582e-02,4.000e-01,3.800e+00,2.461e+00,2.146e+00,7.831e-01,4.093e-01,1.268e+00,0.000e+00,4.90
3300,3300,22820,-7.007e-01,6.000e-01,5.000e-01,2.634e+00,1.835e+00,1.200e+00,4.463e-01,9.882e-01,6.000e+01,3.901e+00,2.000e-01,3.400e+00,1.835e+00,2.634e+00,3.984e-01,3.634e-03,1.433e+00,0.000e+00,3.80
3400,3400,23615,-2.601e+00,3.000e-01,5.000e-01,1.973e+00,3.375e+00,6.000e-01,4.519e-01,9.213e-01,1.000e+01,2.015e-01,5.000e-01,3.700e+00,3.375e+00,1.973e+00,9.931e-01,4.050e-01,1.976e+00,0.000e+00,4.90
3500,3500,24418,-3.221e+00,1.000e-01,5.000e-01,1.151e+00,3.572e+00,2.000e-01,1.312e-01,8.199e-01,1.000e+01,1.821e+00,4.000e-01,3.700e+00,3.572e+00,1.151e+00,7.978e-01,2.075e-01,2.567e+00,0.000e+00,4.60
3600,3600,25238,-1.779e+00,3.000e-01,5.000e-01,1.079e+00,2.059e+00,5.999e-01,1.883e-03,4.775e-01,3.000e+01,2.179e+00,3.000e-01,3.800e+00,2.059e+00,1.079e+00,5.976e-01,1.386e-03,1.460e+00,0.000e+00,4.30
3700,3700,26097,-2.127e+00,4.000e-01,2.000e-01,1.956e+00,3.183e+00,8.000e-01,8.199e-01,3.361e-01,3.000e+01,2.527e+00,6.000e-01,3.200e+00,3.183e+00,1.956e+00,1.198e+00,4.006e-01,1.585e+00,0.000e+00,4.10
3800,3800,26949,-2.853e+00,2.000e-01,2.000e-01,7.785e-01,4.331e+00,4.000e-01,6.120e-03,3.724e-01,3.000e+01,3.053e+00,8.000e-01,2.900e+00,4.331e+00,7.785e-01,1.596e+00,2.046e-01,2.530e+00,0.000e+00,4.40
3900,3900,27788,-1.633e+00,3.000e-01,1.000e-01,1.469e+00,2.502e+00,6.000e-01,6.702e-01,1.984e-01,2.000e+01,8.332e-01,6.000e-01,3.100e+00,2.502e+00,1.469e+00,1.175e+00,1.979e-01,1.129e+00,0.000e+00,4.30
4000,4000,28642,-2.343e+00,3.000e-01,0.000e+00,6.113e-01,2.655e+00,6.000e-01,1.126e-02,0.000e+00,3.000e+01,2.943e+00,9.000e-01,3.200e+00,2.655e+00,6.113e-01,1.784e+00,1.921e-04,8.699e-01,0.000e+00,4.20
4100,4100,29514,3.158e-01,2.000e-01,3.000e-01,1.410e+00,1.594e+00,4.000e-01,4.108e-01,5.990e-01,3.000e+01,1.842e-01,7.000e-01,3.300e+00,1.594e+00,1.410e+00,1.249e+00,1.330e-01,2.119e-01,0.000e+00,4.30
4200,4200,30417,-1.496e+00,4.000e-01,1.000e-01,1.607e+00,2.403e+00,8.000e-01,6.068e-01,2.000e-01,2.000e+01,2.958e-01,1.100e+00,2.800e+00,2.403e+00,1.607e+00,2.040e+00,2.900e-01,7.250e-02,0.000e+00,4.40
