episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,620,-3.861e+00,1.000e+00,6.000e-01,4.181e+00,8.142e+00,1.900e+00,1.378e+00,9.036e-01,7.000e+01,-1.290e+00,7.000e-01,1.100e+00,4.995e+00,8.585e+00,1.368e+00,1.800e+00,1.827e+00,0.000e+00,9.218e+00,6.000e-01,1.700e+00,1.275e+01,5.929e+00,2.796e+00,2.181e+00,7.770e+00,0.000e+00,9.326e-01,9.000e-01,1.000e+00,7.259e+00,6.526e+00,2.422e+00,2.373e+00,2.464e+00,0.000e+00,2.80
200,200,1247,-6.198e+00,8.000e-01,8.000e-01,3.222e+00,8.319e+00,1.072e+00,1.514e+00,6.363e-01,6.000e+01,-5.806e+00,1.300e+00,1.900e+00,3.895e+00,9.401e+00,1.794e+00,6.592e-01,1.442e+00,0.000e+00,1.336e+01,8.000e-01,2.300e+00,1.712e+01,3.465e+00,3.876e+00,2.953e+00,1.029e+01,0.000e+00,-1.855e+00,1.200e+00,1.500e+00,4.741e+00,7.796e+00,1.929e+00,1.352e+00,1.459e+00,0.000e+00,3.80
300,300,1852,-8.793e+00,1.400e+00,3.000e-01,1.429e+00,8.322e+00,9.831e-01,3.806e-01,6.507e-02,4.000e+01,-8.926e+00,7.000e-01,1.900e+00,2.431e+00,9.558e+00,5.693e-01,1.172e+00,6.904e-01,0.000e+00,1.837e+01,4.000e-01,3.200e+00,1.942e+01,2.050e+00,2.050e+00,2.502e+00,1.487e+01,0.000e+00,-3.748e+00,6.000e-01,2.200e+00,4.552e+00,7.900e+00,1.156e+00,1.446e+00,1.949e+00,0.000e+00,4.10
400,400,2437,-3.642e+00,7.000e-01,6.000e-01,1.222e+00,5.564e+00,7.965e-01,2.285e-01,1.975e-01,8.000e+01,-2.978e+00,7.000e-01,1.000e+00,3.071e+00,5.648e+00,1.864e+00,7.061e-01,5.004e-01,0.000e+00,1.198e+01,3.000e-01,1.800e+00,9.894e+00,1.818e+00,1.402e+00,1.171e+00,7.321e+00,0.000e+00,2.344e+00,6.000e-01,1.200e+00,3.671e+00,4.827e+00,1.354e+00,8.808e-01,1.436e+00,0.000e+00,2.40
500,500,3053,-1.204e+01,7.000e-01,1.000e+00,2.784e+00,1.303e+01,1.596e+00,6.061e-01,5.818e-01,6.000e+01,4.359e+00,1.400e+00,1.300e+00,1.255e+01,6.895e+00,7.894e+00,1.882e+00,2.779e+00,0.000e+00,8.046e+00,7.000e-01,2.400e+00,1.120e+01,5.256e+00,2.797e+00,6.850e-01,7.720e+00,0.000e+00,-1.963e+00,3.000e-01,1.700e+00,5.805e+00,7.168e+00,7.029e-01,2.365e+00,2.737e+00,0.000e+00,3.30
600,600,3637,-1.632e+00,5.000e-01,6.000e-01,2.733e+00,6.465e+00,1.872e+00,4.093e-01,4.523e-01,8.000e+01,-3.906e+00,1.000e+00,7.000e-01,3.390e+00,5.995e+00,3.145e+00,1.742e-01,6.997e-02,0.000e+00,1.188e+01,2.000e-01,2.200e+00,1.041e+01,3.632e+00,1.009e+00,0.000e+00,9.401e+00,0.000e+00,-1.240e+00,7.000e-01,1.300e+00,4.633e+00,5.074e+00,2.503e+00,6.467e-01,1.484e+00,0.000e+00,2.40
700,700,4277,-9.857e+00,8.000e-01,3.000e-01,3.685e+00,1.194e+01,2.952e+00,5.607e-01,1.728e-01,4.000e+01,-5.562e+00,1.400e+00,1.600e+00,3.816e+00,9.279e+00,3.452e+00,2.074e-01,1.564e-01,0.000e+00,1.712e+01,4.000e-01,3.100e+00,2.006e+01,3.138e+00,2.189e+00,2.226e+00,1.564e+01,0.000e+00,-2.999e+00,4.000e-01,2.500e+00,5.889e+00,9.089e+00,1.256e+00,1.538e+00,3.095e+00,0.000e+00,3.90
800,800,4898,-1.598e+00,9.000e-01,3.000e-01,5.459e+00,5.656e+00,4.603e+00,6.781e-01,1.774e-01,7.000e+01,-3.892e+00,1.600e+00,1.000e+00,4.493e+00,7.186e+00,4.345e+00,9.343e-02,5.448e-02,0.000e+00,1.339e+01,1.000e-01,2.500e+00,1.385e+01,4.262e+00,4.858e-01,1.845e+00,1.152e+01,0.000e+00,-4.202e+00,4.000e-01,2.200e+00,2.032e+00,8.733e+00,1.207e+00,2.292e-01,5.958e-01,0.000e+00,3.00
900,900,5513,-1.132e+00,8.000e-01,1.000e-01,5.578e+00,5.911e+00,4.534e+00,9.892e-01,5.511e-02,7.000e+01,-9.559e-01,1.300e+00,7.000e-01,5.830e+00,5.986e+00,5.653e+00,1.358e-01,4.118e-02,0.000e+00,1.306e+01,0.000e+00,2.100e+00,1.189e+01,4.130e+00,0.000e+00,2.042e+00,9.846e+00,0.000e+00,-7.770e+00,5.000e-01,1.600e+00,1.231e+00,8.501e+00,9.641e-01,1.290e-01,1.380e-01,0.000e+00,2.50
1000,1000,6115,1.087e-01,6.000e-01,5.000e-01,7.082e+00,7.674e+00,3.541e+00,2.200e+00,1.341e+00,7.000e+01,-5.592e+00,2.000e+00,7.000e-01,4.074e+00,7.666e+00,3.995e+00,5.971e-02,1.858e-02,0.000e+00,1.315e+01,2.000e-01,2.500e+00,1.394e+01,4.293e+00,1.111e+00,2.227e+00,1.061e+01,0.000e+00,-2.568e+00,4.000e-01,2.000e+00,3.944e+00,9.411e+00,1.817e+00,8.367e-01,1.289e+00,0.000e+00,3.10
1100,1100,6735,-3.879e+00,7.000e-01,0.000e+00,3.729e+00,6.908e+00,3.668e+00,6.131e-02,0.000e+00,9.000e+01,2.497e+00,1.900e+00,2.000e-01,8.682e+00,5.085e+00,8.631e+00,4.092e-02,1.044e-02,0.000e+00,1.093e+01,0.000e+00,2.200e+00,7.485e+00,4.950e+00,0.000e+00,0.000e+00,7.485e+00,0.000e+00,-2.152e+00,6.000e-01,1.300e+00,4.626e+00,7.578e+00,2.591e+00,6.329e-01,1.402e+00,0.000e+00,2.20
1200,1200,7358,5.533e+00,7.000e-01,4.000e-01,1.043e+01,3.694e+00,4.106e+00,4.432e+00,1.888e+00,7.000e+01,-1.486e+00,1.900e+00,6.000e-01,6.256e+00,6.042e+00,6.184e+00,6.146e-02,1.068e-02,0.000e+00,6.320e+00,0.000e+00,2.800e+00,7.106e+00,5.986e+00,0.000e+00,2.652e-01,6.841e+00,0.000e+00,-7.266e+00,5.000e-01,2.200e+00,2.599e+00,1.066e+01,2.018e+00,1.142e-01,4.662e-01,0.000e+00,2.90
