episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
1500,1500,11004,2.670e+00,1.300e+00,1.000e+00,3.742e+00,2.372e+00,3.575e+00,1.396e-01,2.723e-02,9.000e+01,3.537e+00,9.000e-01,1.700e+00,3.511e+00,4.374e+00,2.236e+00,1.007e-01,1.175e+00,0.000e+00,-1.807e+00,2.500e+00,3.000e-01,3.842e+00,4.349e+00,3.838e+00,7.656e-04,3.230e-03,0.000e+00,3.00
1600,1600,11541,1.320e+00,1.900e+00,7.000e-01,5.206e+00,2.887e+00,5.190e+00,1.311e-02,3.409e-03,9.000e+01,4.208e+00,1.000e+00,1.600e+00,3.370e+00,5.462e+00,2.484e+00,8.116e-02,8.045e-01,0.000e+00,-1.627e+00,2.600e+00,1.000e-01,4.799e+00,5.027e+00,4.788e+00,7.953e-03,3.320e-03,0.000e+00,3.10
1700,1700,12130,4.699e-01,1.500e+00,2.000e-01,5.058e+00,3.088e+00,5.030e+00,2.028e-03,2.631e-02,1.000e+02,5.620e+00,4.000e-01,1.400e+00,1.397e+00,4.978e+00,1.044e+00,3.870e-02,3.147e-01,0.000e+00,4.105e-01,1.800e+00,0.000e+00,4.883e+00,3.273e+00,4.855e+00,2.875e-02,0.000e+00,0.000e+00,2.10
1800,1800,12680,1.160e+00,1.800e+00,3.000e-01,5.132e+00,2.372e+00,5.084e+00,2.047e-02,2.691e-02,1.000e+02,4.506e+00,5.000e-01,1.500e+00,2.271e+00,6.665e+00,1.471e+00,3.186e-02,7.683e-01,0.000e+00,2.338e-01,2.200e+00,0.000e+00,5.466e+00,3.832e+00,5.289e+00,1.764e-01,0.000e+00,0.000e+00,2.40
1900,1900,13219,-3.810e-01,1.500e+00,7.000e-01,2.694e+00,1.875e+00,2.672e+00,1.145e-02,1.069e-02,9.000e+01,2.542e+00,7.000e-01,1.800e+00,2.099e+00,6.257e+00,1.770e+00,2.208e-02,3.072e-01,0.000e+00,1.839e+00,2.400e+00,2.000e-01,5.946e+00,2.607e+00,5.695e+00,1.335e-01,1.172e-01,0.000e+00,2.70
2000,2000,13732,2.858e+00,1.100e+00,3.000e-01,3.632e+00,1.674e+00,3.611e+00,1.793e-02,3.105e-03,1.000e+02,5.789e+00,6.000e-01,8.000e-01,2.332e+00,4.043e+00,2.054e+00,3.480e-02,2.430e-01,0.000e+00,-1.347e+00,1.500e+00,1.000e-01,2.807e+00,3.054e+00,2.806e+00,0.000e+00,6.855e-04,0.000e+00,1.60
2100,2100,14257,2.937e+00,1.500e+00,1.000e+00,4.486e+00,1.950e+00,4.464e+00,1.312e-02,8.679e-03,9.000e+01,2.721e+00,1.000e+00,1.400e+00,3.375e+00,5.254e+00,2.895e+00,1.578e-01,3.224e-01,0.000e+00,-9.576e-01,2.300e+00,2.000e-01,3.748e+00,4.406e+00,3.536e+00,9.054e-03,2.027e-01,0.000e+00,2.70
2200,2200,14773,4.369e+00,1.500e+00,1.000e+00,3.855e+00,8.863e-01,3.808e+00,3.207e-04,4.664e-02,1.000e+02,3.834e+00,6.000e-01,1.200e+00,2.691e+00,4.657e+00,1.750e+00,3.860e-01,5.546e-01,0.000e+00,-2.103e+00,2.500e+00,1.000e-01,2.719e+00,3.723e+00,2.719e+00,1.865e-04,4.426e-05,0.000e+00,2.70
2300,2300,15306,5.604e+00,1.400e+00,7.000e-01,4.604e+00,4.994e-01,4.447e+00,1.087e-02,1.463e-01,1.000e+02,5.189e+00,5.000e-01,1.400e+00,1.401e+00,2.211e+00,1.316e+00,2.478e-02,6.045e-02,0.000e+00,-4.494e+00,1.800e+00,1.000e-01,4.827e-02,3.342e+00,4.826e-02,1.372e-05,2.050e-06,0.000e+00,2.20
2400,2400,15809,3.419e+00,1.700e+00,9.000e-01,4.301e+00,3.182e+00,4.266e+00,2.331e-02,1.098e-02,9.000e+01,6.700e+00,1.100e+00,1.200e+00,6.089e+00,2.389e+00,3.954e+00,5.992e-01,1.535e+00,0.000e+00,-6.219e+00,2.400e+00,3.000e-01,8.320e-01,5.651e+00,8.311e-01,2.826e-04,5.842e-04,0.000e+00,2.90
