episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
500,500,3177,1.491e+00,2.500e+00,1.100e+00,1.500e+00,9.416e-01,1.951e+00,5.418e-01,2.290e-01,1.707e-01,6.000e+01,6.086e+00,3.418e-01,-2.911e-01,-1.300e+00,1.500e+00,1.200e+00,1.951e+00,9.416e-01,1.464e+00,2.644e-01,2.218e-01,0.000e+00,4.899e+00,-3.410e-01,4.00
1000,1000,6216,2.870e+00,2.400e+00,4.000e-01,1.800e+00,1.234e+00,7.647e-01,7.623e-01,2.369e-01,2.351e-01,7.000e+01,5.773e+00,6.603e-01,6.303e-01,1.100e+00,9.000e-01,1.200e+00,7.647e-01,1.234e+00,7.298e-01,2.777e-02,7.131e-03,0.000e+00,4.143e+00,6.844e-01,2.90
1500,1500,9196,1.918e+00,2.500e+00,4.000e-01,1.700e+00,1.000e+00,1.582e+00,7.766e-01,1.554e-02,2.083e-01,7.000e+01,5.378e+00,8.993e-01,1.882e+00,1.300e+00,8.000e-01,1.600e+00,1.582e+00,1.000e+00,1.495e+00,7.353e-02,1.339e-02,0.000e+00,4.507e+00,7.239e-01,2.70
2000,2000,12247,2.444e+00,-1.000e-01,9.000e-01,1.800e+00,3.593e+00,1.049e+00,1.792e+00,2.025e-01,1.599e+00,7.000e+01,5.457e+00,3.519e-01,4.557e-01,3.000e+00,5.000e-01,2.000e+00,1.049e+00,3.593e+00,9.837e-01,6.038e-02,4.661e-03,0.000e+00,6.998e+00,1.017e+00,3.10
2500,2500,15254,5.624e+00,5.700e+00,3.000e-01,2.100e+00,1.607e+00,1.684e+00,5.993e-01,4.058e-01,6.023e-01,8.000e+01,6.043e+00,1.506e+00,-6.236e-01,-7.000e-01,8.000e-01,1.200e+00,1.684e+00,1.607e+00,1.590e+00,5.068e-02,4.354e-02,0.000e+00,4.519e+00,-2.777e-01,2.80
3000,3000,18402,3.260e+00,4.100e+00,1.000e-01,3.500e+00,2.039e-01,1.044e+00,1.998e-01,0.000e+00,4.141e-03,6.000e+01,9.041e+00,9.412e-01,-5.999e-02,-9.000e-01,5.000e-01,2.500e+00,1.044e+00,2.039e-01,9.955e-01,4.665e-02,1.749e-03,0.000e+00,7.202e+00,-1.732e-02,3.60
3500,3500,21613,3.097e+00,3.700e+00,2.000e-01,4.100e+00,4.018e-01,1.005e+00,3.997e-01,6.140e-04,1.505e-03,7.000e+01,1.068e+01,2.940e-01,1.003e+00,4.000e-01,5.000e-01,3.200e+00,1.005e+00,4.018e-01,9.941e-01,1.063e-02,4.749e-04,0.000e+00,9.129e+00,5.574e-02,4.40
4000,4000,24940,5.071e+00,7.400e+00,0.000e+00,2.800e+00,4.648e-03,2.334e+00,0.000e+00,0.000e+00,4.648e-03,8.000e+01,7.920e+00,2.009e+00,8.292e-01,-1.500e+00,8.000e-01,1.600e+00,2.334e+00,4.648e-03,1.599e+00,7.140e-01,2.038e-02,0.000e+00,4.630e+00,-2.331e-01,2.80
4500,4500,28326,1.266e+00,3.100e+00,2.000e-01,3.100e+00,4.006e-01,2.235e+00,3.999e-01,0.000e+00,6.999e-04,6.000e+01,9.010e+00,1.082e+00,2.634e+00,8.000e-01,4.000e-01,2.200e+00,2.235e+00,4.006e-01,8.000e-01,1.268e+00,1.674e-01,0.000e+00,6.557e+00,2.182e-01,3.30
5000,5000,31639,1.226e+00,3.100e+00,0.000e+00,4.000e+00,7.628e-04,1.875e+00,0.000e+00,0.000e+00,7.628e-04,4.000e+01,1.119e+01,7.257e-01,3.739e-01,-1.500e+00,4.000e-01,3.000e+00,1.875e+00,7.628e-04,7.987e-01,9.955e-01,8.042e-02,0.000e+00,8.486e+00,-2.262e-01,4.00
