episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
100,100,802,-3.939e+00,1.200e+00,7.000e-01,6.070e+00,7.809e+00,1.959e+00,2.986e+00,1.125e+00,3.000e+01,-3.324e+00,1.100e+00,1.600e+00,6.942e+00,8.666e+00,1.963e+00,2.092e+00,2.887e+00,0.000e+00,3.463e+00,5.000e-01,2.600e+00,9.375e+00,5.912e+00,9.024e-01,1.663e+00,6.809e+00,0.000e+00,4.00
200,200,1576,-5.497e+00,1.200e+00,1.700e+00,4.006e+00,7.003e+00,1.415e+00,9.066e-01,1.684e+00,4.000e+01,6.934e-01,1.400e+00,1.900e+00,7.451e+00,5.457e+00,2.911e+00,1.110e+00,3.430e+00,0.000e+00,2.804e+00,5.000e-01,3.100e+00,6.133e+00,5.129e+00,7.014e-01,3.047e-01,5.127e+00,0.000e+00,4.00
300,300,2381,-3.778e+00,1.400e+00,1.500e+00,4.233e+00,5.311e+00,2.077e+00,9.438e-01,1.212e+00,3.000e+01,1.355e-01,1.200e+00,1.700e+00,7.146e+00,4.711e+00,2.437e+00,2.004e+00,2.704e+00,0.000e+00,-5.575e-01,6.000e-01,3.000e+00,3.564e+00,4.922e+00,4.956e-01,4.650e-01,2.604e+00,0.000e+00,4.30
400,400,3188,7.930e-01,1.100e+00,1.300e+00,4.574e+00,3.281e+00,2.235e+00,1.182e+00,1.157e+00,4.000e+01,-2.117e+00,1.200e+00,9.000e-01,4.670e+00,4.187e+00,2.004e+00,1.700e+00,9.664e-01,0.000e+00,-2.076e+00,7.000e-01,2.700e+00,2.519e+00,4.295e+00,4.013e-01,2.405e-01,1.877e+00,0.000e+00,4.30
500,500,3966,9.066e-01,1.000e+00,1.300e+00,3.804e+00,1.798e+00,2.443e+00,6.913e-01,6.697e-01,3.000e+01,-1.675e+00,1.100e+00,1.100e+00,2.437e+00,2.912e+00,1.153e+00,7.034e-01,5.803e-01,0.000e+00,-2.931e+00,6.000e-01,2.600e+00,1.598e+00,3.129e+00,2.216e-01,2.276e-01,1.149e+00,0.000e+00,4.10
600,600,4813,5.616e+00,1.600e+00,1.000e+00,1.003e+01,2.613e+00,5.727e+00,2.621e+00,1.681e+00,6.000e+01,-4.040e+00,1.500e+00,1.700e+00,3.514e+00,5.355e+00,2.446e+00,3.572e-01,7.109e-01,0.000e+00,-2.976e+00,6.000e-01,2.900e+00,5.200e-01,6.096e+00,8.387e-02,2.847e-02,4.077e-01,0.000e+00,4.00
700,700,5582,3.450e+00,1.800e+00,1.200e+00,8.335e+00,3.385e+00,6.830e+00,5.209e-01,9.838e-01,6.000e+01,-1.817e+00,9.000e-01,2.000e+00,3.914e+00,4.332e+00,2.033e+00,4.596e-01,1.422e+00,0.000e+00,-2.333e+00,8.000e-01,3.000e+00,1.094e+00,5.627e+00,1.474e-01,1.514e-02,9.318e-01,0.000e+00,3.90
800,800,6356,6.878e-01,1.300e+00,1.900e+00,6.456e+00,3.369e+00,4.996e+00,4.546e-01,1.006e+00,4.000e+01,-2.170e+00,1.500e+00,1.200e+00,3.835e+00,3.405e+00,3.069e+00,2.997e-01,4.668e-01,0.000e+00,-1.418e+00,4.000e-01,3.400e+00,1.070e+00,4.588e+00,1.630e-01,2.483e-02,8.820e-01,0.000e+00,4.20
900,900,7083,1.067e+00,1.600e+00,1.900e+00,6.264e+00,3.198e+00,5.657e+00,9.430e-02,5.130e-01,5.000e+01,-1.422e+00,1.600e+00,1.700e+00,4.800e+00,3.422e+00,4.087e+00,2.952e-01,4.178e-01,0.000e+00,-2.145e+00,3.000e-01,3.400e+00,2.437e-01,4.688e+00,2.660e-02,1.871e-02,1.984e-01,0.000e+00,4.10
1000,1000,7836,3.520e+00,1.800e+00,9.000e-01,7.076e+00,2.356e+00,6.747e+00,1.953e-01,1.337e-01,7.000e+01,-2.194e+00,1.200e+00,1.300e+00,4.037e+00,3.632e+00,3.323e+00,2.252e-01,4.888e-01,0.000e+00,-3.257e-01,3.000e-01,2.600e+00,1.346e-01,5.260e+00,1.820e-02,4.552e-03,1.119e-01,0.000e+00,3.20
1100,1100,8546,8.277e-01,1.900e+00,7.000e-01,6.175e+00,3.448e+00,6.073e+00,1.951e-02,8.327e-02,9.000e+01,-2.197e-01,1.900e+00,8.000e-01,5.380e+00,3.500e+00,5.195e+00,9.256e-02,9.301e-02,0.000e+00,3.092e+00,3.000e-01,2.600e+00,1.409e-01,4.749e+00,4.306e-02,5.363e-03,9.251e-02,0.000e+00,3.10
1200,1200,9249,5.152e-01,1.600e+00,6.000e-01,5.182e+00,2.767e+00,4.793e+00,2.525e-02,3.638e-01,9.000e+01,-1.271e-01,1.600e+00,8.000e-01,5.046e+00,3.173e+00,4.763e+00,1.782e-02,2.653e-01,0.000e+00,3.812e+00,1.000e-01,2.300e+00,1.929e-01,4.481e+00,2.070e-02,2.994e-03,1.692e-01,0.000e+00,2.70
1300,1300,9871,1.475e+00,2.000e+00,8.000e-01,5.721e+00,2.545e+00,5.681e+00,3.382e-03,3.655e-02,7.000e+01,-1.930e-01,1.300e+00,8.000e-01,4.881e+00,3.174e+00,4.254e+00,2.318e-01,3.951e-01,0.000e+00,1.318e+00,0.000e+00,3.000e+00,1.533e-01,5.036e+00,0.000e+00,0.000e+00,1.533e-01,0.000e+00,3.00
1400,1400,10494,8.381e-01,1.700e+00,2.000e-01,4.812e+00,2.074e+00,4.782e+00,2.813e-02,2.548e-03,1.000e+02,3.625e-01,1.300e+00,8.000e-01,3.540e+00,2.478e+00,3.469e+00,2.376e-02,4.734e-02,0.000e+00,4.599e+00,1.000e-01,2.300e+00,1.562e-01,3.957e+00,1.884e-03,0.000e+00,1.543e-01,0.000e+00,2.40
1500,1500,11081,3.853e+00,1.700e+00,3.000e-01,5.551e+00,1.599e+00,5.534e+00,4.071e-03,1.291e-02,9.000e+01,-1.315e+00,1.300e+00,6.000e-01,3.215e+00,2.830e+00,3.143e+00,6.493e-02,7.350e-03,0.000e+00,2.762e+00,3.000e-01,1.900e+00,1.490e-01,4.487e+00,3.118e-02,4.673e-04,1.173e-01,0.000e+00,2.30
1600,1600,11670,3.097e+00,2.000e+00,3.000e-01,6.174e+00,1.477e+00,6.035e+00,2.517e-03,1.364e-01,1.000e+02,-1.678e+00,1.500e+00,4.000e-01,2.987e+00,3.165e+00,2.932e+00,2.053e-02,3.436e-02,0.000e+00,4.381e+00,3.000e-01,2.200e+00,1.008e-01,4.619e+00,6.274e-03,2.321e-04,9.430e-02,0.000e+00,2.60
1700,1700,12196,2.420e+00,1.800e+00,3.000e-01,5.329e+00,1.609e+00,5.327e+00,8.571e-04,1.298e-03,1.000e+02,-1.301e+00,1.400e+00,4.000e-01,3.285e+00,2.786e+00,3.109e+00,1.669e-01,9.123e-03,0.000e+00,4.881e+00,0.000e+00,2.000e+00,7.100e-02,4.290e+00,0.000e+00,3.355e-03,6.765e-02,0.000e+00,2.20
1800,1800,12709,1.625e+00,1.400e+00,1.000e-01,4.639e+00,1.913e+00,4.638e+00,0.000e+00,5.378e-04,1.000e+02,2.901e-01,1.200e+00,1.000e-01,3.702e+00,2.312e+00,3.693e+00,5.835e-03,3.308e-03,0.000e+00,5.485e+00,0.000e+00,1.400e+00,2.771e-02,4.143e+00,0.000e+00,3.944e-03,2.377e-02,0.000e+00,1.50
1900,1900,13213,2.075e+00,1.800e+00,3.000e-01,4.773e+00,1.198e+00,4.707e+00,6.372e-02,2.156e-03,1.000e+02,-1.563e+00,1.300e+00,8.000e-01,2.916e+00,2.579e+00,2.757e+00,1.289e-02,1.459e-01,0.000e+00,5.289e+00,1.000e-01,2.200e+00,9.433e-02,4.005e+00,2.126e-03,0.000e+00,9.221e-02,0.000e+00,2.30
2000,2000,13664,2.274e+00,1.600e+00,1.000e-01,4.706e+00,1.132e+00,4.701e+00,4.591e-03,5.539e-04,1.000e+02,-1.080e+00,1.200e+00,5.000e-01,2.607e+00,2.287e+00,2.558e+00,2.512e-02,2.410e-02,0.000e+00,5.306e+00,0.000e+00,2.000e+00,7.148e-02,3.966e+00,0.000e+00,0.000e+00,7.148e-02,0.000e+00,2.00
2100,2100,14115,-1.731e+00,1.100e+00,1.000e-01,1.464e+00,1.995e+00,1.463e+00,4.075e-04,2.621e-04,1.000e+02,2.894e+00,1.200e+00,0.000e+00,4.226e+00,3.317e-01,4.221e+00,4.705e-03,0.000e+00,0.000e+00,6.437e+00,0.000e+00,1.400e+00,2.841e-02,3.392e+00,0.000e+00,0.000e+00,2.841e-02,0.000e+00,1.40
2200,2200,14564,1.937e+00,2.200e+00,2.000e-01,4.126e+00,6.887e-01,4.119e+00,5.543e-03,1.369e-03,9.000e+01,-8.923e-01,1.100e+00,7.000e-01,1.699e+00,7.917e-01,1.607e+00,6.039e-02,3.243e-02,0.000e+00,3.655e+00,2.000e-01,2.400e+00,1.475e-01,4.493e+00,2.695e-02,0.000e+00,1.205e-01,0.000e+00,2.60
2300,2300,15004,-5.470e-01,1.300e+00,2.000e-01,1.833e+00,1.180e+00,1.832e+00,1.468e-04,2.144e-04,1.000e+02,1.024e+00,1.100e+00,4.000e-01,2.524e+00,2.006e-01,2.513e+00,6.285e-03,5.172e-03,0.000e+00,6.524e+00,1.000e-01,1.600e+00,4.885e-02,3.025e+00,9.314e-04,0.000e+00,4.792e-02,0.000e+00,1.70
2400,2400,15457,-2.239e+00,2.000e+00,3.000e-01,7.396e-01,1.578e+00,7.392e-01,0.000e+00,3.456e-04,9.000e+01,1.506e+00,1.100e+00,4.000e-01,3.064e+00,1.577e-01,3.054e+00,7.850e-03,1.921e-03,0.000e+00,5.933e+00,1.000e-01,2.100e+00,4.577e-02,2.113e+00,6.827e-03,2.233e-03,3.671e-02,0.000e+00,2.30
2500,2500,15902,-2.409e+00,1.600e+00,0.000e+00,3.171e-01,1.526e+00,3.170e-01,8.760e-05,0.000e+00,1.000e+02,1.377e+00,1.200e+00,5.000e-01,2.865e+00,8.865e-02,2.861e+00,1.312e-03,3.394e-03,0.000e+00,7.932e+00,0.000e+00,1.800e+00,3.662e-02,1.604e+00,0.000e+00,0.000e+00,3.662e-02,0.000e+00,1.80
2600,2600,16317,-1.999e+00,1.800e+00,2.000e-01,4.302e-01,1.129e+00,4.301e-01,6.495e-05,1.745e-05,1.000e+02,2.936e-02,1.400e+00,4.000e-01,2.112e+00,8.249e-02,2.069e+00,2.924e-02,1.360e-02,0.000e+00,7.570e+00,1.000e-01,2.000e+00,4.257e-02,1.373e+00,8.547e-04,3.846e-03,3.787e-02,0.000e+00,2.30
2700,2700,16742,-2.474e+00,1.700e+00,2.000e-01,4.198e-01,1.494e+00,4.175e-01,0.000e+00,2.330e-03,1.000e+02,1.403e+00,1.300e+00,2.000e-01,2.870e+00,6.774e-02,2.862e+00,7.757e-03,1.193e-03,0.000e+00,7.471e+00,1.000e-01,1.700e+00,2.602e-02,1.755e+00,7.916e-04,2.623e-03,2.260e-02,0.000e+00,1.90
2800,2800,17154,-1.971e+00,1.400e+00,0.000e+00,2.294e-01,1.201e+00,2.293e-01,1.060e-05,0.000e+00,1.000e+02,8.747e-01,1.100e+00,2.000e-01,2.118e+00,4.374e-02,2.116e+00,1.095e-03,1.288e-03,0.000e+00,8.397e+00,1.000e-01,1.400e+00,3.453e-02,1.138e+00,1.123e-02,0.000e+00,2.330e-02,0.000e+00,1.50
2900,2900,17553,-2.267e+00,1.500e+00,1.000e-01,3.225e-01,1.490e+00,3.225e-01,0.000e+00,1.040e-05,1.000e+02,1.675e+00,1.200e+00,1.000e-01,2.814e+00,3.910e-02,2.809e+00,4.150e-03,9.005e-04,0.000e+00,7.792e+00,1.000e-01,1.400e+00,3.226e-02,1.640e+00,7.971e-03,1.555e-03,2.273e-02,0.000e+00,1.60
3000,3000,17920,-2.438e+00,1.300e+00,0.000e+00,1.766e-01,1.615e+00,1.765e-01,1.098e-04,0.000e+00,1.000e+02,1.700e+00,1.200e+00,2.000e-01,3.126e+00,2.645e-02,3.120e+00,1.252e-03,4.902e-03,0.000e+00,8.038e+00,0.000e+00,1.500e+00,1.519e-02,1.677e+00,0.000e+00,0.000e+00,1.519e-02,0.000e+00,1.50
3100,3100,18263,-2.892e+00,1.200e+00,1.000e-01,2.099e-01,2.002e+00,2.098e-01,6.555e-05,4.691e-05,1.000e+02,2.975e+00,1.300e+00,0.000e+00,3.996e+00,2.052e-02,3.994e+00,1.084e-03,0.000e+00,0.000e+00,7.517e+00,0.000e+00,1.300e+00,9.394e-03,2.193e+00,0.000e+00,1.115e-04,9.282e-03,0.000e+00,1.40
3200,3200,18640,-2.258e+00,1.000e+00,1.000e-01,1.239e-01,1.282e+00,1.238e-01,3.497e-05,2.804e-05,1.000e+02,2.042e+00,1.200e+00,0.000e+00,3.054e+00,1.293e-02,3.054e+00,0.000e+00,0.000e+00,0.000e+00,7.916e+00,0.000e+00,1.200e+00,5.926e-03,1.890e+00,0.000e+00,0.000e+00,5.926e-03,0.000e+00,1.20
3300,3300,18989,-1.896e+00,1.200e+00,1.000e-01,6.102e-01,1.406e+00,6.100e-01,0.000e+00,1.698e-04,1.000e+02,1.876e+00,1.100e+00,0.000e+00,3.092e+00,1.572e-02,3.091e+00,1.930e-04,0.000e+00,0.000e+00,7.620e+00,0.000e+00,1.300e+00,6.623e-03,2.287e+00,0.000e+00,0.000e+00,6.623e-03,0.000e+00,1.30
3400,3400,19314,-1.373e+00,1.300e+00,0.000e+00,3.494e-01,7.221e-01,3.494e-01,8.301e-06,0.000e+00,1.000e+02,7.376e-01,1.100e+00,3.000e-01,2.055e+00,1.705e-02,2.053e+00,0.000e+00,1.873e-03,0.000e+00,8.035e+00,0.000e+00,1.300e+00,1.306e-02,1.678e+00,0.000e+00,9.412e-05,1.297e-02,0.000e+00,1.40
3500,3500,19658,-1.184e+00,1.300e+00,2.000e-01,1.953e-01,7.932e-02,1.953e-01,0.000e+00,3.095e-05,1.000e+02,-3.770e-02,1.100e+00,1.000e-01,1.076e+00,1.340e-02,1.073e+00,1.967e-03,6.452e-04,0.000e+00,8.422e+00,0.000e+00,1.500e+00,1.085e-02,1.189e+00,0.000e+00,0.000e+00,1.085e-02,0.000e+00,1.50
3600,3600,20009,-9.419e-01,1.400e+00,0.000e+00,1.418e-01,8.378e-02,1.417e-01,1.694e-04,0.000e+00,1.000e+02,1.580e+00,1.100e+00,4.000e-01,1.695e+00,1.488e-02,1.693e+00,1.139e-03,9.497e-04,0.000e+00,6.762e+00,1.000e-01,1.500e+00,1.035e-02,1.749e+00,2.371e-03,0.000e+00,7.982e-03,0.000e+00,1.60
3700,3700,20354,-1.095e+00,1.200e+00,2.000e-01,8.884e-02,8.366e-02,8.875e-02,4.770e-05,3.538e-05,1.000e+02,7.723e-01,1.300e+00,1.000e-01,1.881e+00,8.629e-03,1.880e+00,1.180e-03,3.640e-06,0.000e+00,7.823e+00,0.000e+00,1.500e+00,7.990e-03,1.885e+00,0.000e+00,0.000e+00,7.990e-03,0.000e+00,1.50
3800,3800,20687,-9.155e-01,1.200e+00,0.000e+00,1.277e-01,4.321e-02,1.276e-01,6.035e-05,0.000e+00,1.000e+02,3.261e-01,1.100e+00,1.000e-01,1.435e+00,8.682e-03,1.433e+00,7.098e-04,6.123e-04,0.000e+00,8.189e+00,0.000e+00,1.300e+00,5.106e-03,1.516e+00,0.000e+00,0.000e+00,5.106e-03,0.000e+00,1.30
3900,3900,21026,-9.555e-01,1.200e+00,1.000e-01,1.855e-01,4.096e-02,1.854e-01,1.056e-05,6.131e-05,1.000e+02,1.687e-01,1.100e+00,1.000e-01,1.276e+00,7.453e-03,1.275e+00,4.444e-04,7.281e-04,0.000e+00,8.187e+00,0.000e+00,1.500e+00,6.235e-03,1.420e+00,0.000e+00,0.000e+00,6.235e-03,0.000e+00,1.50
4000,4000,21340,-9.675e-01,1.200e+00,2.000e-01,1.544e-01,2.197e-02,1.544e-01,0.000e+00,4.620e-05,1.000e+02,9.657e-02,1.100e+00,1.000e-01,1.304e+00,7.593e-03,1.303e+00,1.323e-03,4.614e-05,0.000e+00,8.271e+00,0.000e+00,1.400e+00,4.845e-03,1.434e+00,0.000e+00,0.000e+00,4.845e-03,0.000e+00,1.40
4100,4100,21687,-9.532e-01,1.600e+00,0.000e+00,6.234e-02,1.553e-02,6.234e-02,0.000e+00,0.000e+00,1.000e+02,-2.857e-01,1.000e+00,3.000e-01,9.245e-01,1.020e-02,9.228e-01,1.341e-03,3.976e-04,0.000e+00,8.639e+00,0.000e+00,1.600e+00,7.252e-03,9.684e-01,0.000e+00,0.000e+00,7.252e-03,0.000e+00,1.60
4200,4200,22031,-5.098e-01,1.000e+00,1.000e-01,6.084e-01,1.823e-02,6.079e-01,2.776e-04,2.083e-04,1.000e+02,1.595e-01,1.200e+00,0.000e+00,1.164e+00,4.138e-03,1.164e+00,0.000e+00,0.000e+00,0.000e+00,8.050e+00,0.000e+00,1.200e+00,2.596e-03,1.752e+00,0.000e+00,0.000e+00,2.596e-03,0.000e+00,1.20
4300,4300,22351,4.735e-01,1.100e+00,0.000e+00,1.477e+00,3.270e-03,1.477e+00,0.000e+00,0.000e+00,1.000e+02,-2.487e-01,1.000e+00,0.000e+00,7.565e-01,5.148e-03,7.563e-01,1.999e-04,0.000e+00,0.000e+00,7.675e+00,0.000e+00,1.100e+00,1.742e-03,2.227e+00,0.000e+00,0.000e+00,1.742e-03,0.000e+00,1.10
