episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
1200,1200,9316,-1.471e+02,4.000e-01,4.200e+00,3.350e-01,1.470e+02,2.633e-02,1.205e-02,2.967e-01,1.000e+01,4.807e+01,3.000e-01,2.000e-01,4.949e+01,5.135e-01,3.081e+00,4.438e+01,2.028e+00,0.000e+00,4.582e+01,2.000e-01,2.800e+00,4.910e+01,4.744e-01,2.020e+00,1.906e+01,2.802e+01,0.000e+00,4.687e+01,6.000e-01,3.600e+00,4.937e+01,2.965e-01,6.186e+00,7.040e+00,3.614e+01,0.000e+00,4.90
1300,1300,10230,-1.469e+02,1.000e-01,4.600e+00,2.254e-01,1.470e+02,2.939e-03,4.306e-03,2.182e-01,1.000e+01,4.899e+01,3.000e-01,1.000e-01,4.988e+01,2.868e-01,3.255e+00,4.560e+01,1.022e+00,0.000e+00,4.537e+01,5.000e-01,3.000e+00,4.908e+01,9.092e-01,5.030e+00,1.403e+01,3.002e+01,0.000e+00,4.601e+01,4.000e-01,3.200e+00,4.923e+01,2.195e-01,4.056e+00,1.311e+01,3.207e+01,0.000e+00,4.90
1400,1400,11179,-1.432e+02,4.000e-01,3.900e+00,2.089e-01,1.440e+02,1.550e-02,1.233e-02,1.811e-01,2.000e+01,4.729e+01,4.000e-01,1.000e-01,4.829e+01,2.029e-01,4.105e+00,4.316e+01,1.026e+00,0.000e+00,4.530e+01,5.000e-01,2.600e+00,4.808e+01,2.825e-01,5.031e+00,1.704e+01,2.601e+01,0.000e+00,4.661e+01,4.000e-01,2.900e+00,4.810e+01,1.943e-01,4.027e+00,1.505e+01,2.903e+01,0.000e+00,4.80
1500,1500,12107,-1.472e+02,3.000e-01,4.200e+00,1.170e-01,1.470e+02,4.978e-03,6.174e-03,1.058e-01,1.000e+01,4.813e+01,4.000e-01,2.000e-01,4.934e+01,1.148e-01,4.091e+00,4.321e+01,2.041e+00,0.000e+00,4.632e+01,2.000e-01,2.400e+00,4.904e+01,3.215e-01,2.012e+00,2.302e+01,2.401e+01,0.000e+00,4.784e+01,2.000e-01,3.400e+00,4.907e+01,1.292e-01,2.016e+00,1.302e+01,3.403e+01,0.000e+00,4.90
1600,1600,13059,-1.432e+02,3.000e-01,4.000e+00,8.255e-02,1.440e+02,4.408e-03,6.097e-03,7.204e-02,2.000e+01,4.841e+01,2.000e-01,4.000e-01,4.812e+01,1.109e-01,2.013e+00,4.207e+01,4.038e+00,0.000e+00,4.602e+01,4.000e-01,8.000e-01,4.804e+01,1.179e-01,4.011e+00,3.603e+01,8.001e+00,0.000e+00,4.658e+01,5.000e-01,3.300e+00,4.807e+01,8.846e-02,5.043e+00,1.001e+01,3.302e+01,0.000e+00,4.80
1700,1700,13993,-1.511e+02,2.000e-01,4.400e+00,7.189e-02,1.500e+02,3.172e-03,3.709e-03,6.500e-02,0.000e+00,4.937e+01,1.000e-01,2.000e-01,5.005e+01,8.729e-02,1.004e+00,4.703e+01,2.014e+00,0.000e+00,4.707e+01,3.000e-01,2.300e+00,5.002e+01,5.547e-02,3.009e+00,2.401e+01,2.300e+01,0.000e+00,4.649e+01,4.000e-01,3.300e+00,5.006e+01,6.155e-02,4.019e+00,1.302e+01,3.302e+01,0.000e+00,5.00
1800,1800,14925,-1.512e+02,3.000e-01,4.400e+00,5.218e-02,1.500e+02,2.762e-03,3.337e-03,4.608e-02,0.000e+00,4.885e+01,3.000e-01,4.000e-01,5.003e+01,7.769e-02,3.006e+00,4.302e+01,4.005e+00,0.000e+00,4.769e+01,4.000e-01,1.400e+00,5.002e+01,2.834e-02,4.008e+00,3.201e+01,1.400e+01,0.000e+00,4.780e+01,3.000e-01,3.800e+00,5.005e+01,4.873e-02,3.017e+00,9.011e+00,3.802e+01,0.000e+00,5.00
1900,1900,15847,-1.251e+02,3.000e-01,3.700e+00,3.308e-02,1.260e+02,3.040e-03,9.197e-04,2.912e-02,3.000e+01,4.138e+01,3.000e-01,1.000e-01,4.202e+01,4.048e-02,3.010e+00,3.801e+01,1.001e+00,0.000e+00,4.140e+01,3.000e-01,1.200e+00,4.202e+01,1.789e-02,3.010e+00,2.701e+01,1.200e+01,0.000e+00,4.158e+01,2.000e-01,3.500e+00,4.202e+01,3.828e-02,2.006e+00,5.003e+00,3.501e+01,0.000e+00,4.20
2000,2000,16819,-1.443e+02,3.000e-01,4.000e+00,3.354e-02,1.440e+02,2.118e-03,2.657e-03,2.876e-02,1.000e+01,4.767e+01,2.000e-01,1.000e-01,4.802e+01,4.704e-02,2.005e+00,4.501e+01,1.000e+00,0.000e+00,4.700e+01,2.000e-01,5.000e-01,4.802e+01,1.440e-02,2.002e+00,4.101e+01,5.000e+00,0.000e+00,4.559e+01,1.000e-01,3.300e+00,4.803e+01,3.093e-02,1.005e+00,1.401e+01,3.301e+01,0.000e+00,4.80
2100,2100,17789,-1.514e+02,4.000e-01,4.400e+00,2.975e-02,1.500e+02,3.162e-03,7.968e-04,2.579e-02,0.000e+00,4.977e+01,0.000e+00,1.000e-01,5.001e+01,3.925e-02,0.000e+00,4.901e+01,1.001e+00,0.000e+00,4.840e+01,0.000e+00,9.000e-01,5.001e+01,7.193e-03,0.000e+00,4.101e+01,9.001e+00,0.000e+00,4.770e+01,2.000e-01,3.900e+00,5.002e+01,2.447e-02,2.005e+00,9.007e+00,3.901e+01,0.000e+00,5.00
