episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,889,1.685e+00,1.100e+00,1.700e+00,1.627e+01,1.169e+01,3.489e+00,7.386e+00,5.396e+00,0.000e+00,2.780e+00,1.000e+00,2.500e+00,1.717e+01,1.119e+01,3.508e+00,5.019e+00,8.643e+00,0.000e+00,-7.420e+00,7.000e-01,3.600e+00,7.665e+00,1.269e+01,8.174e-01,1.090e+00,5.757e+00,0.000e+00,-9.445e+00,1.400e+00,1.900e+00,9.511e+00,1.506e+01,2.857e+00,2.953e+00,3.701e+00,0.000e+00,5.00
200,200,1838,4.864e+00,1.600e+00,7.000e-01,1.951e+01,1.175e+01,7.431e+00,9.380e+00,2.703e+00,3.000e+01,1.109e+00,1.500e+00,1.800e+00,1.391e+01,1.010e+01,4.873e+00,2.980e+00,6.059e+00,0.000e+00,-2.177e+00,4.000e-01,3.800e+00,1.011e+01,1.379e+01,8.528e-01,1.979e-01,9.062e+00,0.000e+00,-1.050e+01,1.400e+00,1.200e+00,9.717e+00,1.761e+01,3.269e+00,3.680e+00,2.768e+00,0.000e+00,4.30
300,300,2767,-8.223e-01,1.300e+00,1.300e+00,1.496e+01,1.259e+01,3.582e+00,8.935e+00,2.447e+00,1.000e+01,-6.590e+00,1.500e+00,2.200e+00,6.440e+00,1.013e+01,2.076e+00,1.527e+00,2.837e+00,0.000e+00,-8.241e+00,6.000e-01,3.900e+00,6.019e+00,1.306e+01,2.857e-01,6.411e-02,5.669e+00,0.000e+00,4.853e+00,1.800e+00,1.700e+00,1.563e+01,7.280e+00,5.722e+00,4.216e+00,5.695e+00,0.000e+00,4.90
400,400,3631,-1.468e+00,2.600e+00,4.000e-01,1.690e+01,1.617e+01,1.199e+01,4.266e+00,6.532e-01,4.000e+01,4.205e+00,2.000e+00,1.400e+00,1.422e+01,7.511e+00,7.159e+00,1.951e+00,5.106e+00,0.000e+00,3.540e+00,4.000e-01,3.500e+00,1.347e+01,1.273e+01,5.208e-01,1.562e-01,1.280e+01,0.000e+00,-1.118e+01,1.300e+00,1.900e+00,5.365e+00,1.354e+01,1.768e+00,1.178e+00,2.419e+00,0.000e+00,4.10
500,500,4538,-1.873e+01,2.100e+00,1.500e+00,2.324e+00,1.775e+01,1.910e+00,2.255e-01,1.878e-01,1.000e+01,-4.917e+00,1.100e+00,2.500e+00,1.298e+01,1.510e+01,3.224e+00,2.803e+00,6.957e+00,0.000e+00,1.067e+01,6.000e-01,4.200e+00,2.078e+01,9.512e+00,2.824e-01,0.000e+00,2.050e+01,0.000e+00,2.878e+00,1.300e+00,1.900e+00,1.399e+01,7.714e+00,4.002e+00,4.437e+00,5.552e+00,0.000e+00,4.80
600,600,5459,-7.389e+00,1.600e+00,1.400e+00,2.837e+00,7.526e+00,2.638e+00,1.288e-01,7.025e-02,1.000e+01,-7.295e+00,1.100e+00,2.500e+00,2.081e+00,6.376e+00,9.191e-01,4.672e-01,6.950e-01,0.000e+00,-1.962e+00,1.000e-01,4.600e+00,3.083e+00,4.645e+00,2.495e-03,1.149e-03,3.079e+00,0.000e+00,7.246e+00,1.900e+00,2.200e+00,1.280e+01,2.257e+00,5.107e+00,1.600e+00,6.096e+00,0.000e+00,4.80
700,700,6391,-1.137e+01,1.200e+00,1.300e+00,7.788e-01,8.554e+00,6.599e-01,1.022e-01,1.663e-02,0.000e+00,-8.959e+00,1.600e+00,2.200e+00,9.638e-01,7.023e+00,5.376e-01,1.529e-01,2.734e-01,0.000e+00,4.233e-01,2.000e-01,4.300e+00,3.655e+00,1.432e+00,4.830e-03,3.825e-03,3.647e+00,0.000e+00,8.210e+00,1.400e+00,1.600e+00,1.445e+01,2.844e+00,4.473e+00,5.249e+00,4.732e+00,0.000e+00,5.00
800,800,7326,-1.265e+01,1.300e+00,1.300e+00,3.818e-01,1.033e+01,3.426e-01,2.129e-02,1.797e-02,1.000e+01,-1.471e+01,1.000e+00,2.900e+00,3.333e+00,1.554e+01,1.431e+00,7.359e-01,1.166e+00,0.000e+00,1.369e+01,5.000e-01,4.000e+00,1.620e+01,7.034e-01,3.967e-01,1.660e-01,1.564e+01,0.000e+00,4.457e+00,1.100e+00,2.400e+00,1.372e+01,7.065e+00,3.601e+00,3.185e+00,6.936e+00,0.000e+00,4.70
900,900,8252,-8.068e+00,1.000e+00,1.700e+00,2.004e+00,6.772e+00,1.269e+00,5.168e-01,2.189e-01,2.000e+01,-6.485e+00,1.400e+00,1.900e+00,1.457e+00,5.142e+00,9.587e-01,3.269e-01,1.714e-01,0.000e+00,6.683e+00,0.000e+00,4.500e+00,6.523e+00,6.402e-01,0.000e+00,1.634e-03,6.522e+00,0.000e+00,-6.307e-01,1.900e+00,1.600e+00,6.270e+00,3.701e+00,3.163e+00,1.243e+00,1.864e+00,0.000e+00,4.60
1000,1000,9183,2.048e+00,1.400e+00,1.600e+00,1.188e+01,6.633e+00,5.376e+00,3.743e+00,2.763e+00,0.000e+00,-1.093e+01,1.500e+00,2.900e+00,1.084e+00,9.012e+00,6.990e-01,7.905e-02,3.062e-01,0.000e+00,4.954e+00,0.000e+00,4.900e+00,1.013e+01,3.973e+00,0.000e+00,8.823e-02,1.004e+01,0.000e+00,-7.174e+00,1.400e+00,2.200e+00,2.514e+00,5.988e+00,1.262e+00,4.100e-01,8.425e-01,0.000e+00,5.00
1100,1100,10127,-1.120e+01,8.000e-01,9.000e-01,2.206e+00,1.100e+01,1.859e+00,2.280e-01,1.193e-01,0.000e+00,-8.974e+00,1.400e+00,2.800e+00,1.353e+00,7.327e+00,9.396e-01,1.704e-01,2.430e-01,0.000e+00,1.243e+01,1.000e-01,4.900e+00,1.560e+01,1.969e+00,2.114e-03,0.000e+00,1.560e+01,0.000e+00,-2.559e+00,2.000e+00,1.800e+00,9.343e+00,8.202e+00,4.834e+00,1.557e+00,2.951e+00,0.000e+00,5.00
