episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
8500,8500,29032,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,5.524e-07,9.268e-08,5.522e-07,2.047e-10,0.000e+00,1.000e+02,1.286e-01,-7.778e-02,9.900e+00,9.900e+00,0.000e+00,1.100e+00,9.268e-08,5.524e-07,0.000e+00,0.000e+00,9.268e-08,0.000e+00,2.829e+00,3.675e+00,1.10
9000,9000,30255,-1.000e+00,-1.000e+00,1.100e+00,0.000e+00,6.151e-07,1.388e-07,6.151e-07,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,1.388e-07,6.151e-07,0.000e+00,6.836e-08,7.047e-08,0.000e+00,2.700e+00,3.759e+00,1.10
9500,9500,31465,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,3.209e-07,5.316e-08,3.209e-07,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,5.316e-08,3.209e-07,0.000e+00,0.000e+00,5.316e-08,0.000e+00,2.571e+00,3.889e+00,1.00
10000,10000,32694,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,1.833e-07,3.996e-08,1.832e-07,7.069e-11,0.000e+00,1.000e+02,1.286e-01,-7.778e-02,9.900e+00,9.900e+00,0.000e+00,1.100e+00,3.996e-08,1.833e-07,0.000e+00,0.000e+00,3.996e-08,0.000e+00,2.829e+00,3.675e+00,1.10
10500,10500,33869,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,1.377e-07,3.448e-08,1.376e-07,5.366e-11,0.000e+00,1.000e+02,1.286e-01,-7.778e-02,9.900e+00,9.900e+00,0.000e+00,1.100e+00,3.448e-08,1.377e-07,0.000e+00,0.000e+00,3.448e-08,0.000e+00,2.829e+00,3.675e+00,1.10
11000,11000,35050,-1.000e+00,-1.000e+00,1.100e+00,0.000e+00,1.583e-07,3.789e-08,1.583e-07,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,3.789e-08,1.583e-07,0.000e+00,1.923e-08,1.866e-08,0.000e+00,2.700e+00,3.759e+00,1.10
11500,11500,36253,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,7.300e-08,1.582e-08,7.298e-08,2.913e-11,0.000e+00,1.000e+02,1.286e-01,-7.778e-02,9.900e+00,9.900e+00,0.000e+00,1.100e+00,1.582e-08,7.300e-08,0.000e+00,0.000e+00,1.582e-08,0.000e+00,2.829e+00,3.675e+00,1.10
12000,12000,37451,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,6.094e-08,1.408e-08,6.094e-08,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,1.408e-08,6.094e-08,0.000e+00,0.000e+00,1.408e-08,0.000e+00,2.571e+00,3.889e+00,1.00
12500,12500,38645,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,4.140e-08,1.211e-08,4.140e-08,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,1.211e-08,4.140e-08,0.000e+00,0.000e+00,1.211e-08,0.000e+00,2.571e+00,3.889e+00,1.00
13000,13000,39830,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,2.924e-08,1.010e-08,2.924e-08,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,1.010e-08,2.924e-08,0.000e+00,0.000e+00,1.010e-08,0.000e+00,2.571e+00,3.889e+00,1.00
13500,13500,41026,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,2.033e-08,8.209e-09,2.033e-08,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,8.209e-09,2.033e-08,0.000e+00,0.000e+00,8.209e-09,0.000e+00,2.571e+00,3.889e+00,1.00
14000,14000,42220,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,1.764e-08,5.127e-09,1.764e-08,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,5.127e-09,1.764e-08,0.000e+00,0.000e+00,5.127e-09,0.000e+00,2.571e+00,3.889e+00,1.00
14500,14500,43408,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,1.144e-08,4.315e-09,1.143e-08,5.005e-12,0.000e+00,1.000e+02,1.286e-01,-7.778e-02,9.900e+00,9.900e+00,0.000e+00,1.100e+00,4.315e-09,1.144e-08,0.000e+00,0.000e+00,4.315e-09,0.000e+00,2.829e+00,3.675e+00,1.10
15000,15000,44609,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,7.820e-09,3.276e-09,7.820e-09,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,3.276e-09,7.820e-09,0.000e+00,0.000e+00,3.276e-09,0.000e+00,2.571e+00,3.889e+00,1.00
15500,15500,45773,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,5.720e-09,2.654e-09,5.720e-09,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,2.654e-09,5.720e-09,0.000e+00,0.000e+00,2.654e-09,0.000e+00,2.571e+00,3.889e+00,1.00
