episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
2200,2200,18795,-5.119e+01,2.000e-01,4.400e+00,1.273e-02,5.000e+01,2.838e-03,2.229e-03,7.665e-03,0.000e+00,4.999e+01,0.000e+00,0.000e+00,5.000e+01,1.273e-02,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
2300,2300,19723,-5.129e+01,3.000e-01,4.500e+00,1.185e-02,5.000e+01,3.606e-03,9.643e-04,7.276e-03,0.000e+00,4.959e+01,0.000e+00,3.000e-01,5.000e+01,1.185e-02,0.000e+00,4.700e+01,3.000e+00,0.000e+00,5.00
2400,2400,20682,-5.109e+01,1.000e-01,4.700e+00,7.782e-03,5.000e+01,1.058e-03,8.495e-04,5.875e-03,0.000e+00,4.999e+01,0.000e+00,0.000e+00,5.000e+01,7.782e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
2500,2500,21627,-5.119e+01,2.000e-01,4.300e+00,8.779e-03,5.000e+01,1.934e-03,1.944e-03,4.901e-03,0.000e+00,4.999e+01,0.000e+00,0.000e+00,5.000e+01,8.779e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
2600,2600,22590,-5.119e+01,2.000e-01,4.400e+00,7.372e-03,5.000e+01,1.711e-03,1.367e-03,4.294e-03,0.000e+00,4.999e+01,0.000e+00,0.000e+00,5.000e+01,7.372e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
2700,2700,23535,-5.119e+01,2.000e-01,4.300e+00,6.656e-03,5.000e+01,1.506e-03,1.504e-03,3.646e-03,0.000e+00,4.999e+01,0.000e+00,0.000e+00,5.000e+01,6.656e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
2800,2800,24455,-5.110e+01,1.000e-01,4.600e+00,4.750e-03,5.000e+01,6.610e-04,7.875e-04,3.302e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.000e+01,4.750e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
2900,2900,25402,-5.109e+01,1.000e-01,4.200e+00,5.068e-03,5.000e+01,6.182e-04,1.705e-03,2.745e-03,0.000e+00,4.999e+01,0.000e+00,0.000e+00,5.000e+01,5.068e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
3000,3000,26342,-5.139e+01,4.000e-01,4.200e+00,5.700e-03,5.000e+01,2.226e-03,8.716e-04,2.602e-03,0.000e+00,4.979e+01,0.000e+00,1.000e-01,5.000e+01,5.700e-03,0.000e+00,4.900e+01,1.000e+00,0.000e+00,5.00
3100,3100,27277,-5.120e+01,2.000e-01,4.500e+00,3.884e-03,5.000e+01,1.003e-03,5.816e-04,2.299e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.000e+01,3.884e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
3200,3200,28245,-5.120e+01,2.000e-01,4.300e+00,3.777e-03,5.000e+01,9.158e-04,8.826e-04,1.979e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.000e+01,3.777e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
