episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
8500,8500,55782,1.955e-01,-1.800e+00,5.000e-01,3.000e+00,2.586e+00,5.901e-01,1.000e+00,3.825e-01,1.203e+00,5.000e+01,8.229e+00,-3.593e-01,1.805e+00,3.800e+00,0.000e+00,3.700e+00,5.901e-01,2.586e+00,0.000e+00,3.915e-01,1.986e-01,0.000e+00,1.051e+01,6.333e-01,3.90
9000,9000,59279,2.409e+00,-1.400e+00,4.000e-01,3.200e+00,3.811e+00,1.563e-03,8.000e-01,8.050e-01,2.206e+00,4.000e+01,8.872e+00,-1.203e-01,-6.093e-01,3.200e+00,0.000e+00,4.100e+00,1.563e-03,3.811e+00,0.000e+00,0.000e+00,1.563e-03,0.000e+00,1.210e+01,8.718e-01,4.10
9500,9500,62831,-3.028e-01,-1.300e+00,5.000e-01,2.300e+00,1.000e+00,2.934e-03,9.999e-01,1.923e-04,1.436e-08,5.000e+01,6.430e+00,-9.924e-02,3.403e+00,4.400e+00,0.000e+00,3.200e+00,2.934e-03,1.000e+00,0.000e+00,0.000e+00,2.934e-03,0.000e+00,8.229e+00,1.633e+00,3.20
10000,10000,66522,1.600e+00,-1.600e+00,6.000e-01,2.600e+00,5.000e+00,1.800e+00,1.200e+00,7.999e-01,3.001e+00,5.000e+01,8.243e+00,-1.794e-01,7.000e-01,3.900e+00,1.000e-01,3.400e+00,1.800e+00,5.000e+00,2.000e-01,3.998e-01,1.201e+00,0.000e+00,1.123e+01,9.867e-01,3.70
10500,10500,70135,2.599e+00,-1.400e+00,6.000e-01,2.100e+00,5.000e+00,1.001e+00,1.200e+00,9.999e-01,2.800e+00,6.000e+01,6.615e+00,-2.901e-01,1.101e+00,5.100e+00,1.000e-01,3.100e+00,1.001e+00,5.000e+00,2.000e-01,0.000e+00,8.010e-01,0.000e+00,1.003e+01,1.288e+00,3.20
11000,11000,73670,1.400e+00,-4.000e-01,4.000e-01,2.800e+00,3.800e+00,1.999e+00,8.000e-01,9.998e-01,2.000e+00,5.000e+01,8.885e+00,-5.049e-02,1.100e+00,2.900e+00,1.000e-01,3.400e+00,1.999e+00,3.800e+00,2.000e-01,5.993e-01,1.200e+00,0.000e+00,1.076e+01,8.646e-01,3.80
11500,11500,77551,2.001e+00,-1.600e+00,5.000e-01,2.900e+00,6.200e+00,2.599e+00,1.000e+00,2.200e+00,3.000e+00,4.000e+01,1.004e+01,-2.046e-01,-8.012e-01,2.800e+00,0.000e+00,4.200e+00,2.599e+00,6.200e+00,0.000e+00,5.997e-01,1.999e+00,0.000e+00,1.421e+01,3.380e-01,4.50
12000,12000,81692,2.499e+00,7.000e-01,2.000e-01,2.500e+00,5.800e+00,4.000e+00,4.000e-01,2.800e+00,2.600e+00,3.000e+01,9.772e+00,3.394e-01,-2.099e+00,-3.000e-01,3.000e-01,3.300e+00,4.000e+00,5.800e+00,6.000e-01,1.000e+00,2.401e+00,0.000e+00,1.201e+01,7.704e-02,4.10
12500,12500,86081,6.200e+00,-6.000e-01,2.000e-01,6.000e-01,9.399e+00,2.599e+00,4.000e-01,7.799e+00,1.200e+00,2.000e+01,7.243e+00,-1.342e-01,-6.200e+00,6.000e-01,0.000e+00,4.100e+00,2.599e+00,9.399e+00,0.000e+00,1.200e+00,1.400e+00,0.000e+00,1.631e+01,1.326e-01,4.70
13000,13000,90715,8.208e+00,-4.000e-01,0.000e+00,4.000e-01,9.400e+00,7.918e-01,0.000e+00,9.000e+00,4.000e-01,0.000e+00,7.423e+00,-4.092e-02,-1.041e+01,-1.800e+00,3.000e-01,4.000e+00,7.918e-01,9.400e+00,5.910e-01,1.984e-01,2.465e-03,0.000e+00,1.624e+01,-1.122e-01,5.00
13500,13500,95367,8.298e+00,5.000e-01,1.000e-01,5.000e-01,8.200e+00,4.012e-01,2.000e-01,7.800e+00,2.000e-01,2.000e+01,6.515e+00,3.241e-01,-8.098e+00,-3.000e-01,2.000e-01,3.400e+00,4.012e-01,8.200e+00,3.981e-01,7.007e-06,3.032e-03,0.000e+00,1.446e+01,-1.906e-02,4.60
14000,14000,100034,9.141e+00,0.000e+00,0.000e+00,0.000e+00,9.994e+00,8.529e-01,0.000e+00,9.994e+00,0.000e+00,0.000e+00,6.817e+00,0.000e+00,-1.064e+01,-1.500e+00,4.000e-01,4.400e+00,8.529e-01,9.994e+00,7.945e-01,4.551e-06,5.837e-02,0.000e+00,1.711e+01,-9.332e-02,5.00
14500,14500,104740,-2.127e+00,-1.000e-01,1.000e-01,0.000e+00,2.000e-01,2.227e+00,2.000e-01,7.599e-06,0.000e+00,1.000e+01,6.557e+00,0.000e+00,7.266e-01,-1.300e+00,1.100e+00,2.600e+00,2.227e+00,2.000e-01,1.616e+00,3.725e-01,2.377e-01,0.000e+00,7.843e+00,1.052e-01,4.60
15000,15000,109390,-1.437e+00,-2.000e-01,0.000e+00,2.000e-01,7.747e-06,1.237e+00,0.000e+00,7.746e-06,3.889e-11,0.000e+00,6.872e+00,-2.222e-02,-7.633e-01,-2.000e+00,1.200e+00,2.600e+00,1.237e+00,7.747e-06,1.028e+00,5.244e-03,2.033e-01,0.000e+00,8.229e+00,-4.747e-01,5.00
15500,15500,113883,-1.632e+00,5.000e-01,2.000e-01,4.000e-01,1.200e+00,3.331e+00,4.000e-01,7.997e-01,2.528e-09,2.000e+01,7.172e+00,8.038e-02,7.318e-01,-1.400e+00,1.700e+00,2.700e+00,3.331e+00,1.200e+00,2.050e+00,1.957e-01,1.086e+00,0.000e+00,8.100e+00,-3.222e-01,4.90
16000,16000,117957,5.004e-01,1.300e+00,2.000e-01,2.800e+00,1.200e+00,2.000e+00,4.000e-01,1.568e-06,8.000e-01,4.000e+01,9.586e+00,1.949e-01,9.959e-02,-7.000e-01,5.000e-01,2.900e+00,2.000e+00,1.200e+00,9.985e-01,2.011e-01,7.999e-01,0.000e+00,9.186e+00,-2.404e-01,4.30
16500,16500,121519,1.003e+00,2.800e+00,3.000e-01,2.000e+00,1.200e+00,2.997e+00,6.000e-01,2.169e-06,6.000e-01,5.000e+01,8.015e+00,6.775e-01,6.971e-01,-1.100e+00,9.000e-01,1.900e+00,2.997e+00,1.200e+00,1.796e+00,4.010e-01,7.999e-01,0.000e+00,6.343e+00,-3.756e-01,3.80
