episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,2.474e+00,1.120e+00,-6.000e-01,-1.954e+00,1.120e+00,2.474e+00,-2.160e+00,-8.064e-01
2000,2000,20000,2.990e+00,3.229e-01,-2.600e-01,-2.927e+00,3.229e-01,2.990e+00,-2.480e+00,1.873e-01
3000,3000,30000,2.991e+00,2.495e+00,-8.000e-02,-5.763e-01,2.495e+00,2.991e+00,-2.840e+00,-2.344e+00
4000,4000,40000,2.924e+00,2.966e+00,0.000e+00,4.202e-02,2.966e+00,2.924e+00,-3.000e+00,-3.042e+00
5000,5000,50000,1.444e+00,2.280e+00,-4.000e-02,7.955e-01,2.280e+00,1.444e+00,-2.920e+00,-3.756e+00
6000,6000,60000,4.617e-02,4.431e-02,0.000e+00,-1.861e-03,4.431e-02,4.617e-02,-3.000e+00,-2.998e+00
7000,7000,70000,4.056e-02,1.114e-02,0.000e+00,-2.941e-02,1.114e-02,4.056e-02,-3.000e+00,-2.971e+00
8000,8000,80000,1.916e+00,6.500e-03,-2.000e-02,-1.929e+00,6.500e-03,1.916e+00,-2.960e+00,-1.051e+00
9000,9000,90000,2.216e+00,3.452e-03,0.000e+00,-2.212e+00,3.452e-03,2.216e+00,-3.000e+00,-7.877e-01
10000,10000,100000,8.298e-02,2.202e-03,0.000e+00,-8.078e-02,2.202e-03,8.298e-02,-3.000e+00,-2.919e+00
11000,11000,110000,1.987e-02,1.127e-03,0.000e+00,-1.874e-02,1.127e-03,1.987e-02,-3.000e+00,-2.981e+00
12000,12000,120000,8.935e-03,7.085e-04,0.000e+00,-8.227e-03,7.085e-04,8.935e-03,-3.000e+00,-2.992e+00
13000,13000,130000,4.955e-03,4.027e-04,0.000e+00,-4.553e-03,4.027e-04,4.955e-03,-3.000e+00,-2.995e+00
14000,14000,140000,2.716e-03,2.555e-04,0.000e+00,-2.461e-03,2.555e-04,2.716e-03,-3.000e+00,-2.998e+00
15000,15000,150000,1.138e-03,1.518e-04,0.000e+00,-9.860e-04,1.518e-04,1.138e-03,-3.000e+00,-2.999e+00
16000,16000,160000,7.211e-04,9.249e-05,0.000e+00,-6.287e-04,9.249e-05,7.211e-04,-3.000e+00,-2.999e+00
17000,17000,170000,4.805e-04,5.683e-05,0.000e+00,-4.237e-04,5.683e-05,4.805e-04,-3.000e+00,-3.000e+00
18000,18000,180000,3.921e-04,3.445e-05,0.000e+00,-3.576e-04,3.445e-05,3.921e-04,-3.000e+00,-3.000e+00
19000,19000,190000,2.325e+00,2.040e-05,0.000e+00,-2.325e+00,2.040e-05,2.325e+00,-3.000e+00,-6.747e-01
20000,20000,200000,1.074e-02,1.346e-05,-4.000e-02,-5.073e-02,1.346e-05,1.074e-02,-2.980e+00,-2.969e+00
