episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
1200,1200,6763,-9.170e-01,4.000e-01,2.000e-01,4.812e+00,4.829e+00,2.278e+00,2.315e+00,2.200e-01,8.000e+01,-2.532e+00,6.000e-01,1.000e+00,3.052e+00,6.484e+00,2.872e+00,1.326e-01,4.727e-02,0.000e+00,5.657e+00,2.000e-01,1.900e+00,4.425e+00,4.768e+00,4.528e-01,2.020e-01,3.771e+00,0.000e+00,3.792e+00,1.800e+00,2.000e-01,9.944e+00,6.152e+00,9.869e+00,4.574e-02,2.971e-02,0.000e+00,2.20
1300,1300,7254,-1.705e+00,2.000e-01,6.000e-01,1.400e+00,5.406e+00,1.182e+00,1.046e-01,1.139e-01,9.000e+01,-8.015e-02,9.000e-01,7.000e-01,4.307e+00,4.187e+00,4.093e+00,7.852e-02,1.356e-01,0.000e+00,8.160e+00,0.000e+00,2.000e+00,4.430e+00,4.170e+00,0.000e+00,6.122e-01,3.817e+00,0.000e+00,2.126e+00,1.800e+00,3.000e-01,9.265e+00,5.639e+00,9.138e+00,1.500e-02,1.124e-01,0.000e+00,2.30
1400,1400,7779,-4.407e+00,1.000e-01,6.000e-01,1.047e+00,7.754e+00,5.924e-01,2.307e-01,2.239e-01,7.000e+01,-1.529e+00,1.200e+00,2.000e+00,6.988e+00,6.317e+00,6.430e+00,3.764e-02,5.208e-01,0.000e+00,3.591e+00,2.000e-01,2.700e+00,6.132e+00,6.042e+00,4.237e-01,7.105e-01,4.998e+00,0.000e+00,4.745e+00,3.000e+00,0.000e+00,1.434e+01,8.397e+00,1.424e+01,1.044e-01,0.000e+00,0.000e+00,3.30
1500,1500,8244,1.565e+00,3.000e-01,3.000e-01,2.029e+00,1.964e+00,1.784e+00,1.280e-01,1.172e-01,1.000e+02,4.287e+00,9.000e-01,3.000e-01,5.276e+00,2.089e+00,5.198e+00,4.873e-02,2.870e-02,0.000e+00,6.319e+00,1.000e-01,1.000e+00,2.278e+00,2.659e+00,2.554e-01,5.107e-01,1.512e+00,0.000e+00,-2.971e+00,1.200e+00,1.000e-01,1.668e+00,4.539e+00,1.662e+00,4.772e-03,5.978e-04,0.000e+00,1.40
1600,1600,8800,1.676e+00,4.000e-01,3.000e-01,2.986e+00,1.709e+00,2.362e+00,4.145e-01,2.095e-01,6.000e+01,1.765e+00,8.000e-01,1.600e+00,4.520e+00,1.555e+00,4.276e+00,4.106e-02,2.025e-01,0.000e+00,7.225e+00,0.000e+00,2.800e+00,5.272e+00,2.948e+00,0.000e+00,7.059e-01,4.566e+00,0.000e+00,-7.666e+00,3.000e+00,1.000e-01,8.572e-01,7.423e+00,8.570e-01,1.416e-04,9.937e-05,0.000e+00,3.20
1700,1700,9337,5.714e-01,3.000e-01,3.000e-01,2.502e+00,2.031e+00,1.741e+00,7.308e-01,3.018e-02,9.000e+01,2.856e+00,9.000e-01,6.000e-01,5.617e+00,1.061e+00,4.988e+00,5.601e-01,6.867e-02,0.000e+00,5.800e+00,0.000e+00,2.700e+00,4.557e-01,2.756e+00,0.000e+00,1.794e-01,2.763e-01,0.000e+00,-4.527e+00,2.100e+00,2.000e-01,1.766e-01,2.904e+00,1.757e-01,6.206e-04,2.487e-04,0.000e+00,2.90
1800,1800,9884,-3.635e-01,2.000e-01,3.000e-01,1.277e+00,2.140e+00,1.179e+00,6.033e-02,3.698e-02,8.000e+01,5.165e+00,1.000e+00,9.000e-01,6.363e+00,4.984e-01,5.756e+00,4.298e-01,1.772e-01,0.000e+00,2.582e+00,3.000e-01,2.000e+00,2.087e-01,2.726e+00,4.641e-02,3.156e-02,1.308e-01,0.000e+00,-2.684e+00,2.100e+00,3.000e-01,1.417e-01,2.626e+00,1.414e-01,0.000e+00,2.512e-04,0.000e+00,2.40
1900,1900,10381,3.641e-01,3.000e-01,1.000e-01,2.144e+00,2.380e+00,1.705e+00,3.964e-01,4.274e-02,1.000e+02,6.633e+00,1.200e+00,7.000e-01,6.902e+00,7.696e-01,6.665e+00,1.132e-02,2.257e-01,0.000e+00,6.531e+00,1.000e-01,2.000e+00,1.669e-01,3.036e+00,7.654e-03,1.182e-02,1.474e-01,0.000e+00,-4.728e+00,1.600e+00,3.000e-01,6.993e-02,3.098e+00,6.931e-02,3.889e-04,2.232e-04,0.000e+00,2.20
2000,2000,10928,9.928e-02,2.000e-01,2.000e-01,1.353e+00,9.541e-01,1.168e+00,9.616e-02,8.916e-02,8.000e+01,3.199e+00,7.000e-01,1.300e+00,3.112e+00,5.126e-01,3.072e+00,3.243e-03,3.690e-02,0.000e+00,4.763e+00,1.000e-01,2.400e+00,2.199e-01,1.657e+00,9.722e-03,0.000e+00,2.101e-01,0.000e+00,-2.162e+00,2.000e+00,4.000e-01,1.157e-01,1.677e+00,1.149e-01,4.991e-05,7.149e-04,0.000e+00,2.50
2100,2100,11406,5.153e-01,1.000e-01,2.000e-01,7.748e-01,2.159e+00,5.962e-01,8.902e-02,8.962e-02,1.000e+02,4.342e+00,1.100e+00,3.000e-01,6.121e+00,2.789e-01,6.081e+00,1.166e-02,2.814e-02,0.000e+00,5.973e+00,0.000e+00,2.200e+00,1.254e-01,2.352e+00,0.000e+00,4.015e-03,1.214e-01,0.000e+00,-3.630e+00,1.800e+00,1.000e-01,6.770e-02,2.298e+00,6.740e-02,2.727e-04,3.128e-05,0.000e+00,2.30
