episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
100,100,1000,-3.920e+00,0.000e+00,0.000e+00,1.186e-01,4.039e+00,0.000e+00,1.186e-01,0.000e+00,0.000e+00,6.200e-01,2.100e+00,1.800e+00,4.039e+00,1.186e-01,1.580e+00,9.980e-01,1.461e+00,0.000e+00,5.00
200,200,2000,-3.209e+00,0.000e+00,0.000e+00,2.236e-02,3.232e+00,0.000e+00,2.236e-02,0.000e+00,0.000e+00,-5.907e-01,1.900e+00,2.100e+00,3.232e+00,2.236e-02,1.214e+00,6.724e-01,1.345e+00,0.000e+00,5.00
300,300,3000,-2.347e+00,0.000e+00,0.000e+00,9.479e-03,2.357e+00,0.000e+00,9.479e-03,0.000e+00,0.000e+00,-6.527e-01,1.700e+00,2.000e+00,2.357e+00,9.479e-03,7.831e-01,6.412e-01,9.324e-01,0.000e+00,5.00
400,400,4000,-1.547e+00,0.000e+00,0.000e+00,5.453e-03,1.553e+00,0.000e+00,5.453e-03,0.000e+00,0.000e+00,-1.853e+00,1.400e+00,2.000e+00,1.553e+00,5.453e-03,4.076e-01,5.656e-01,5.794e-01,0.000e+00,5.00
500,500,5000,-9.644e-01,0.000e+00,0.000e+00,3.162e-03,9.676e-01,0.000e+00,3.162e-03,0.000e+00,0.000e+00,-1.936e+00,1.700e+00,1.400e+00,9.676e-01,3.162e-03,3.090e-01,4.014e-01,2.572e-01,0.000e+00,5.00
600,600,6000,-5.940e-01,0.000e+00,0.000e+00,1.885e-03,5.959e-01,0.000e+00,1.885e-03,0.000e+00,0.000e+00,-3.206e+00,1.600e+00,1.700e+00,5.959e-01,1.885e-03,1.829e-01,2.279e-01,1.851e-01,0.000e+00,5.00
700,700,7000,-3.954e-01,0.000e+00,0.000e+00,1.264e-03,3.967e-01,0.000e+00,1.264e-03,0.000e+00,0.000e+00,-2.705e+00,1.800e+00,1.900e+00,3.967e-01,1.264e-03,1.402e-01,1.179e-01,1.387e-01,0.000e+00,5.00
800,800,8000,-2.605e-01,0.000e+00,0.000e+00,8.638e-04,2.614e-01,0.000e+00,8.638e-04,0.000e+00,0.000e+00,-2.939e+00,1.300e+00,1.900e+00,2.614e-01,8.638e-04,6.151e-02,1.062e-01,9.365e-02,0.000e+00,5.00
900,900,9000,-1.808e-01,0.000e+00,0.000e+00,5.876e-04,1.814e-01,0.000e+00,5.876e-04,0.000e+00,0.000e+00,-3.119e+00,1.600e+00,2.000e+00,1.814e-01,5.876e-04,5.700e-02,5.719e-02,6.718e-02,0.000e+00,5.00
1000,1000,10000,-1.319e-01,0.000e+00,0.000e+00,3.926e-04,1.323e-01,0.000e+00,3.926e-04,0.000e+00,0.000e+00,-3.268e+00,1.900e+00,9.000e-01,1.323e-01,3.926e-04,4.556e-02,6.744e-02,1.931e-02,0.000e+00,5.00
