episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,1.541e+00,2.136e-05,-6.400e-01,-2.181e+00,2.136e-05,1.541e+00,-2.680e+00,-1.139e+00
2000,2000,20000,2.095e+00,5.151e-06,-4.000e-01,-2.495e+00,5.151e-06,2.095e+00,-2.800e+00,-7.049e-01
3000,3000,30000,2.877e+00,2.383e-06,-4.000e-02,-2.917e+00,2.383e-06,2.877e+00,-2.980e+00,-1.029e-01
4000,4000,40000,2.997e+00,1.005e-06,0.000e+00,-2.997e+00,1.005e-06,2.997e+00,-3.000e+00,-2.586e-03
5000,5000,50000,2.038e+00,1.877e-07,0.000e+00,-2.038e+00,1.877e-07,2.038e+00,-3.000e+00,-9.621e-01
6000,6000,60000,5.511e-02,1.554e-08,0.000e+00,-5.511e-02,1.554e-08,5.511e-02,-3.000e+00,-2.945e+00
7000,7000,70000,2.302e+00,9.402e-09,0.000e+00,-2.302e+00,9.402e-09,2.302e+00,-3.000e+00,-6.978e-01
8000,8000,80000,2.293e+00,0.000e+00,-4.000e-02,-2.333e+00,0.000e+00,2.293e+00,-2.980e+00,-6.872e-01
9000,9000,90000,2.404e+00,0.000e+00,0.000e+00,-2.404e+00,0.000e+00,2.404e+00,-3.000e+00,-5.962e-01
10000,10000,100000,1.206e-01,0.000e+00,0.000e+00,-1.206e-01,0.000e+00,1.206e-01,-3.000e+00,-2.879e+00
11000,11000,110000,2.259e+00,1.015e-09,-4.000e-02,-2.299e+00,1.015e-09,2.259e+00,-2.980e+00,-7.214e-01
12000,12000,120000,2.298e+00,0.000e+00,0.000e+00,-2.298e+00,0.000e+00,2.298e+00,-3.000e+00,-7.025e-01
13000,13000,130000,2.381e+00,0.000e+00,0.000e+00,-2.381e+00,0.000e+00,2.381e+00,-3.000e+00,-6.191e-01
14000,14000,140000,2.435e+00,0.000e+00,0.000e+00,-2.435e+00,0.000e+00,2.435e+00,-3.000e+00,-5.652e-01
15000,15000,150000,2.364e+00,0.000e+00,0.000e+00,-2.364e+00,0.000e+00,2.364e+00,-3.000e+00,-6.362e-01
16000,16000,160000,2.196e+00,0.000e+00,0.000e+00,-2.196e+00,0.000e+00,2.196e+00,-3.000e+00,-8.043e-01
17000,17000,170000,2.857e+00,0.000e+00,0.000e+00,-2.857e+00,0.000e+00,2.857e+00,-3.000e+00,-1.430e-01
18000,18000,180000,2.921e+00,0.000e+00,0.000e+00,-2.921e+00,0.000e+00,2.921e+00,-3.000e+00,-7.850e-02
19000,19000,190000,2.880e+00,0.000e+00,0.000e+00,-2.880e+00,0.000e+00,2.880e+00,-3.000e+00,-1.200e-01
20000,20000,200000,2.965e+00,0.000e+00,0.000e+00,-2.965e+00,0.000e+00,2.965e+00,-3.000e+00,-3.491e-02
