episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
2200,2200,22000,-1.676e-02,0.000e+00,0.000e+00,3.144e-07,1.676e-02,0.000e+00,3.144e-07,0.000e+00,0.000e+00,-2.183e+00,5.000e-01,1.000e+00,1.676e-02,3.144e-07,1.678e-03,1.258e-02,2.504e-03,0.000e+00,5.00
2300,2300,23000,-1.473e-02,0.000e+00,0.000e+00,2.909e-07,1.473e-02,0.000e+00,2.909e-07,0.000e+00,0.000e+00,-2.485e+00,1.200e+00,1.100e+00,1.473e-02,2.909e-07,3.607e-03,8.538e-03,2.585e-03,0.000e+00,5.00
2400,2400,24000,-1.155e-02,0.000e+00,0.000e+00,2.020e-07,1.155e-02,0.000e+00,2.020e-07,0.000e+00,0.000e+00,-1.888e+00,3.000e-01,1.300e+00,1.155e-02,2.020e-07,6.675e-04,8.520e-03,2.359e-03,0.000e+00,5.00
2500,2500,25000,-1.096e-02,0.000e+00,0.000e+00,2.018e-07,1.096e-02,0.000e+00,2.018e-07,0.000e+00,0.000e+00,-2.589e+00,9.000e-01,1.600e+00,1.096e-02,2.018e-07,1.953e-03,6.275e-03,2.730e-03,0.000e+00,5.00
2600,2600,26000,-9.423e-03,0.000e+00,0.000e+00,5.773e-08,9.423e-03,0.000e+00,5.773e-08,0.000e+00,0.000e+00,-2.291e+00,4.000e-01,1.100e+00,9.423e-03,5.773e-08,7.069e-04,6.910e-03,1.805e-03,0.000e+00,5.00
2700,2700,27000,-8.897e-03,0.000e+00,0.000e+00,4.791e-08,8.897e-03,0.000e+00,4.791e-08,0.000e+00,0.000e+00,-1.891e+00,8.000e-01,7.000e-01,8.897e-03,4.791e-08,1.388e-03,6.329e-03,1.180e-03,0.000e+00,5.00
2800,2800,28000,-7.442e-03,0.000e+00,0.000e+00,1.740e-08,7.442e-03,0.000e+00,1.740e-08,0.000e+00,0.000e+00,-1.693e+00,4.000e-01,1.000e+00,7.442e-03,1.740e-08,6.767e-04,5.626e-03,1.139e-03,0.000e+00,5.00
2900,2900,29000,-6.956e-03,0.000e+00,0.000e+00,3.956e-08,6.956e-03,0.000e+00,3.956e-08,0.000e+00,0.000e+00,-2.993e+00,1.100e+00,1.300e+00,6.956e-03,3.956e-08,1.592e-03,3.974e-03,1.390e-03,0.000e+00,5.00
3000,3000,30000,-6.313e-03,0.000e+00,0.000e+00,3.857e-08,6.313e-03,0.000e+00,3.857e-08,0.000e+00,0.000e+00,-2.294e+00,7.000e-01,1.100e+00,6.313e-03,3.857e-08,8.977e-04,4.337e-03,1.078e-03,0.000e+00,5.00
3100,3100,31000,-5.550e-03,0.000e+00,0.000e+00,3.215e-08,5.550e-03,0.000e+00,3.215e-08,0.000e+00,0.000e+00,-1.494e+00,6.000e-01,6.000e-01,5.550e-03,3.215e-08,7.993e-04,4.144e-03,6.073e-04,0.000e+00,5.00
3200,3200,32000,-4.658e-03,0.000e+00,0.000e+00,5.231e-09,4.658e-03,0.000e+00,5.231e-09,0.000e+00,0.000e+00,-1.195e+00,3.000e-01,5.000e-01,4.658e-03,5.231e-09,2.822e-04,3.994e-03,3.815e-04,0.000e+00,5.00
