episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
100,100,634,-2.042e+01,5.000e-01,1.700e+00,2.578e+00,2.800e+01,4.233e-01,5.016e-01,1.653e+00,9.000e+01,2.662e+01,1.000e+00,1.200e+00,2.800e+01,2.578e+00,1.000e+01,6.000e+00,1.200e+01,0.000e+00,2.80
200,200,1273,-1.938e+01,3.000e-01,1.700e+00,2.218e+00,2.600e+01,2.522e-01,4.905e-01,1.475e+00,7.000e+01,2.448e+01,8.000e-01,1.000e+00,2.600e+01,2.218e+00,8.000e+00,8.000e+00,1.000e+01,0.000e+00,2.60
300,300,1884,-2.511e+01,3.000e-01,2.500e+00,1.786e+00,3.300e+01,2.085e-01,3.055e-01,1.272e+00,7.000e+01,2.931e+01,9.000e-01,1.300e+00,3.300e+01,1.786e+00,9.000e+00,1.100e+01,1.300e+01,0.000e+00,3.30
400,400,2463,-1.686e+01,5.000e-01,1.700e+00,1.036e+00,2.200e+01,3.239e-01,0.000e+00,7.123e-01,9.000e+01,2.376e+01,5.000e-01,1.100e+00,2.200e+01,1.036e+00,5.000e+00,6.000e+00,1.100e+01,0.000e+00,2.20
500,500,3107,-2.402e+01,3.000e-01,2.500e+00,8.815e-01,3.000e+01,1.463e-01,6.360e-02,6.716e-01,7.000e+01,2.842e+01,8.000e-01,1.600e+00,3.000e+01,8.815e-01,8.000e+00,6.000e+00,1.600e+01,0.000e+00,3.00
600,600,3723,-3.027e+01,4.000e-01,2.600e+00,8.323e-01,3.500e+01,1.603e-01,1.420e-01,5.301e-01,7.000e+01,3.377e+01,8.000e-01,1.400e+00,3.500e+01,8.323e-01,8.000e+00,1.300e+01,1.400e+01,0.000e+00,3.50
700,700,4391,-2.253e+01,4.000e-01,2.100e+00,3.729e-01,2.700e+01,1.040e-01,3.581e-02,2.331e-01,8.000e+01,2.813e+01,6.000e-01,1.100e+00,2.700e+01,3.729e-01,6.000e+00,1.000e+01,1.100e+01,0.000e+00,2.70
800,800,5118,-4.101e+01,4.000e-01,3.600e+00,1.916e-01,4.200e+01,4.823e-02,1.637e-02,1.270e-01,4.000e+01,4.121e+01,4.000e-01,1.800e+00,4.200e+01,1.916e-01,4.000e+00,2.000e+01,1.800e+01,0.000e+00,4.20
900,900,5885,-2.493e+01,4.000e-01,2.200e+00,7.365e-02,2.700e+01,2.532e-02,5.141e-03,4.319e-02,7.000e+01,2.973e+01,3.000e-01,1.500e+00,2.700e+01,7.365e-02,3.000e+00,9.000e+00,1.500e+01,0.000e+00,2.70
1000,1000,6652,-4.592e+01,0.000e+00,4.200e+00,8.160e-02,4.800e+01,0.000e+00,2.343e-02,5.818e-02,3.000e+01,4.582e+01,3.000e-01,2.400e+00,4.800e+01,8.160e-02,3.000e+00,2.100e+01,2.400e+01,0.000e+00,4.80
1100,1100,7458,-3.385e+01,1.000e-01,3.300e+00,5.187e-02,3.800e+01,4.462e-03,1.319e-02,3.422e-02,6.000e+01,3.745e+01,5.000e-01,1.200e+00,3.800e+01,5.187e-02,5.000e+00,2.100e+01,1.200e+01,0.000e+00,3.80
1200,1200,8268,-4.405e+01,2.000e-01,3.900e+00,4.957e-02,4.400e+01,7.906e-03,8.342e-03,3.333e-02,2.000e+01,4.255e+01,2.000e-01,1.900e+00,4.400e+01,4.957e-02,2.000e+00,2.300e+01,1.900e+01,0.000e+00,4.40
