episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
1200,1200,8697,-6.288e+00,0.000e+00,0.000e+00,2.713e-01,6.559e+00,0.000e+00,2.713e-01,0.000e+00,9.000e+01,-4.575e-01,1.900e+00,7.000e-01,7.951e+00,6.608e+00,7.548e+00,3.056e-01,9.666e-02,0.000e+00,1.346e+01,2.000e-01,2.100e+00,1.070e+01,4.743e+00,6.619e-01,3.520e+00,6.521e+00,0.000e+00,-2.315e+00,2.900e+00,1.000e-01,1.704e+00,2.718e+00,1.699e+00,3.436e-03,9.563e-04,0.000e+00,3.40
1300,1300,9266,-4.358e+00,0.000e+00,0.000e+00,2.077e-01,4.566e+00,0.000e+00,2.077e-01,0.000e+00,9.000e+01,1.013e+00,2.000e+00,7.000e-01,6.756e+00,3.843e+00,6.691e+00,4.231e-02,2.210e-02,0.000e+00,9.561e+00,3.000e-01,2.200e+00,5.333e+00,3.272e+00,8.311e-01,1.139e+00,3.363e+00,0.000e+00,-2.716e+00,2.500e+00,2.000e-01,7.799e-01,1.396e+00,7.507e-01,2.721e-02,1.963e-03,0.000e+00,3.30
1400,1400,9812,-3.368e+00,0.000e+00,0.000e+00,1.369e-01,3.505e+00,0.000e+00,1.369e-01,0.000e+00,8.000e+01,2.957e+00,1.600e+00,8.000e-01,4.961e+00,1.105e+00,4.893e+00,3.912e-02,2.976e-02,0.000e+00,3.552e+00,5.000e-01,1.600e+00,1.803e+00,2.751e+00,5.920e-01,3.804e-01,8.311e-01,0.000e+00,1.593e-01,2.600e+00,3.000e-01,1.277e+00,8.178e-01,1.270e+00,0.000e+00,7.037e-03,0.000e+00,2.90
1500,1500,10356,-2.404e+00,0.000e+00,0.000e+00,1.235e-01,2.527e+00,0.000e+00,1.235e-01,0.000e+00,8.000e+01,-2.973e-01,1.500e+00,4.000e-01,3.049e+00,1.646e+00,3.020e+00,2.666e-02,2.758e-03,0.000e+00,6.948e+00,5.000e-01,1.900e+00,2.600e+00,1.951e+00,8.516e-01,3.445e-01,1.404e+00,0.000e+00,-7.472e-01,2.600e+00,1.000e-01,1.135e+00,7.823e-01,1.133e+00,0.000e+00,1.873e-03,0.000e+00,2.70
1600,1600,10876,-1.997e+00,0.000e+00,0.000e+00,7.109e-01,2.708e+00,0.000e+00,7.109e-01,0.000e+00,1.000e+02,4.551e-01,1.600e+00,2.000e-01,4.089e+00,2.434e+00,4.082e+00,4.226e-03,2.348e-03,0.000e+00,8.392e+00,0.000e+00,1.400e+00,1.344e+00,2.453e+00,0.000e+00,3.832e-01,9.612e-01,0.000e+00,1.499e-01,1.700e+00,2.000e-01,1.985e+00,5.349e-01,1.928e+00,1.511e-02,4.201e-02,0.000e+00,2.00
1700,1700,11358,1.002e+00,0.000e+00,0.000e+00,3.727e+00,2.725e+00,0.000e+00,3.727e+00,0.000e+00,1.000e+02,-8.567e+00,2.000e+00,8.000e-01,2.498e+00,9.265e+00,2.491e+00,0.000e+00,6.444e-03,0.000e+00,1.071e+01,1.000e-01,2.000e+00,3.864e+00,2.258e+00,2.129e-01,9.982e-01,2.653e+00,0.000e+00,2.159e+00,2.200e+00,5.000e-01,4.777e+00,6.182e-01,4.250e+00,6.944e-02,4.576e-01,0.000e+00,2.80
1800,1800,11833,2.193e+00,0.000e+00,0.000e+00,3.684e+00,1.491e+00,0.000e+00,3.684e+00,0.000e+00,1.000e+02,-6.288e+00,2.100e+00,1.000e-01,1.387e+00,7.675e+00,1.385e+00,7.003e-04,1.056e-03,0.000e+00,9.710e+00,2.000e-01,1.300e+00,2.947e+00,1.437e+00,2.893e-01,1.020e+00,1.638e+00,0.000e+00,1.185e+00,1.900e+00,1.000e-01,3.002e+00,4.177e-01,2.745e+00,1.855e-01,7.219e-02,0.000e+00,2.30
1900,1900,12345,3.249e+00,0.000e+00,0.000e+00,3.609e+00,3.596e-01,0.000e+00,3.609e+00,0.000e+00,1.000e+02,-7.529e+00,1.800e+00,2.000e-01,2.341e-01,6.563e+00,2.334e-01,3.265e-04,3.599e-04,0.000e+00,1.024e+01,3.000e-01,1.300e+00,1.715e+00,6.733e-01,2.731e-01,3.907e-01,1.051e+00,0.000e+00,8.381e-01,1.900e+00,0.000e+00,2.273e+00,2.354e-01,2.130e+00,1.439e-01,0.000e+00,0.000e+00,2.10
2000,2000,12807,3.070e+00,0.000e+00,0.000e+00,4.071e+00,1.001e+00,0.000e+00,4.071e+00,0.000e+00,1.000e+02,-7.001e+00,1.800e+00,3.000e-01,1.908e-01,7.092e+00,1.898e-01,5.133e-04,5.510e-04,0.000e+00,8.522e+00,4.000e-01,1.500e+00,1.624e+00,1.102e+00,3.731e-01,2.558e-01,9.950e-01,0.000e+00,1.709e+00,2.000e+00,3.000e-01,3.534e+00,2.251e-01,3.308e+00,0.000e+00,2.265e-01,0.000e+00,2.30
2100,2100,13283,2.750e+00,0.000e+00,0.000e+00,2.935e+00,1.849e-01,0.000e+00,2.935e+00,0.000e+00,1.000e+02,-5.739e+00,1.400e+00,2.000e-01,2.946e-01,4.734e+00,2.935e-01,0.000e+00,1.075e-03,0.000e+00,1.013e+01,2.000e-01,1.200e+00,1.170e+00,6.375e-01,1.657e-01,1.559e-01,8.483e-01,0.000e+00,-2.435e-01,1.400e+00,1.000e-01,1.280e+00,1.237e-01,1.172e+00,5.896e-02,4.962e-02,0.000e+00,1.60
2200,2200,13752,3.834e+00,0.000e+00,0.000e+00,3.937e+00,1.031e-01,0.000e+00,3.937e+00,0.000e+00,1.000e+02,-7.373e+00,1.300e+00,5.000e-01,1.588e-01,5.932e+00,1.558e-01,1.412e-03,1.565e-03,0.000e+00,9.264e+00,1.000e-01,1.800e+00,1.182e+00,1.017e+00,5.799e-02,1.226e-01,1.001e+00,0.000e+00,7.748e-01,2.100e+00,0.000e+00,1.856e+00,8.167e-02,1.856e+00,0.000e+00,0.000e+00,0.000e+00,2.10
2300,2300,14217,5.338e+00,0.000e+00,0.000e+00,5.645e+00,3.063e-01,0.000e+00,5.645e+00,0.000e+00,1.000e+02,-8.362e+00,2.400e+00,2.000e-01,4.567e-01,7.318e+00,4.539e-01,1.863e-03,9.510e-04,0.000e+00,8.845e+00,5.000e-01,1.300e+00,1.233e+00,1.187e+00,3.030e-01,5.011e-01,4.284e-01,0.000e+00,7.770e-02,2.500e+00,0.000e+00,1.699e+00,2.214e-01,1.566e+00,1.333e-01,0.000e+00,0.000e+00,2.90
2400,2400,14664,3.258e+00,0.000e+00,0.000e+00,3.319e+00,6.190e-02,0.000e+00,3.319e+00,0.000e+00,1.000e+02,-5.519e+00,1.200e+00,4.000e-01,1.544e-01,4.173e+00,1.526e-01,4.005e-04,1.309e-03,0.000e+00,9.569e+00,1.000e-01,1.500e+00,6.234e-01,4.547e-01,5.623e-02,4.481e-02,5.224e-01,0.000e+00,-4.078e-01,1.600e+00,0.000e+00,6.503e-01,5.808e-02,6.270e-01,2.334e-02,0.000e+00,0.000e+00,1.70
