episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
1200,1200,9812,-1.413e+02,2.000e-01,2.000e-01,9.489e+00,1.500e+02,3.128e-01,8.985e+00,1.913e-01,0.000e+00,4.065e+01,3.000e-01,2.900e+00,5.015e+01,6.702e+00,3.015e+00,1.806e+01,2.907e+01,0.000e+00,5.277e+01,0.000e+00,5.000e+00,6.168e+01,7.910e+00,0.000e+00,0.000e+00,6.168e+01,0.000e+00,4.090e+01,2.000e-01,1.600e+00,5.130e+01,8.006e+00,2.050e+00,3.269e+01,1.656e+01,0.000e+00,5.00
1300,1300,10769,-1.472e+02,1.000e-01,3.000e-01,3.592e+00,1.500e+02,4.737e-02,3.447e+00,9.732e-02,0.000e+00,4.606e+01,5.000e-01,2.300e+00,5.013e+01,1.669e+00,5.027e+00,2.204e+01,2.305e+01,0.000e+00,4.851e+01,0.000e+00,4.900e+00,5.324e+01,3.531e+00,0.000e+00,1.030e+00,5.221e+01,0.000e+00,4.494e+01,2.000e-01,2.500e+00,5.067e+01,2.425e+00,2.053e+00,2.328e+01,2.534e+01,0.000e+00,5.00
1400,1400,11731,-1.504e+02,3.000e-01,2.000e-01,5.770e-01,1.500e+02,3.645e-02,5.285e-01,1.205e-02,0.000e+00,4.614e+01,2.000e-01,2.700e+00,5.010e+01,1.060e+00,2.013e+00,2.104e+01,2.704e+01,0.000e+00,5.026e+01,1.000e-01,4.600e+00,5.235e+01,5.979e-01,1.041e+00,3.071e+00,4.824e+01,0.000e+00,4.553e+01,1.000e-01,2.700e+00,5.040e+01,1.770e+00,1.022e+00,2.217e+01,2.721e+01,0.000e+00,5.00
1500,1500,12673,-1.507e+02,4.000e-01,1.000e-01,2.840e-01,1.500e+02,2.207e-02,2.590e-01,2.894e-03,0.000e+00,4.616e+01,5.000e-01,2.600e+00,5.007e+01,1.013e+00,5.019e+00,1.902e+01,2.603e+01,0.000e+00,5.046e+01,0.000e+00,4.800e+00,5.212e+01,3.623e-01,0.000e+00,2.043e+00,5.008e+01,0.000e+00,4.550e+01,1.000e-01,2.400e+00,5.038e+01,1.486e+00,1.010e+00,2.519e+01,2.418e+01,0.000e+00,5.00
1600,1600,13643,-1.502e+02,1.000e-01,1.000e-01,2.125e-01,1.500e+02,3.169e-03,2.077e-01,1.608e-03,0.000e+00,4.670e+01,1.000e-01,2.000e+00,5.003e+01,5.318e-01,1.001e+00,2.901e+01,2.001e+01,0.000e+00,4.952e+01,1.000e-01,4.800e+00,5.114e+01,2.191e-01,1.013e+00,1.008e+00,4.912e+01,0.000e+00,4.627e+01,3.000e-01,3.200e+00,5.021e+01,8.396e-01,3.050e+00,1.506e+01,3.210e+01,0.000e+00,5.00
1700,1700,14607,-1.501e+02,0.000e+00,1.000e-01,1.364e-01,1.500e+02,0.000e+00,1.356e-01,8.777e-04,1.000e+01,4.707e+01,7.000e-01,1.200e+00,5.002e+01,3.549e-01,7.010e+00,3.101e+01,1.200e+01,0.000e+00,4.926e+01,3.000e-01,4.300e+00,5.069e+01,1.246e-01,3.037e+00,4.024e+00,4.363e+01,0.000e+00,4.643e+01,3.000e-01,2.400e+00,5.013e+01,4.965e-01,3.031e+00,2.305e+01,2.405e+01,0.000e+00,5.00
1800,1800,15567,-1.505e+02,1.000e-01,2.000e-01,1.224e-01,1.500e+02,1.860e-03,1.188e-01,1.752e-03,0.000e+00,4.751e+01,5.000e-01,1.400e+00,5.002e+01,2.074e-01,5.005e+00,3.101e+01,1.400e+01,0.000e+00,4.927e+01,0.000e+00,5.000e+00,5.039e+01,1.234e-01,0.000e+00,0.000e+00,5.039e+01,0.000e+00,4.720e+01,1.000e-01,2.800e+00,5.008e+01,2.840e-01,1.003e+00,2.104e+01,2.804e+01,0.000e+00,5.00
1900,1900,16533,-1.509e+02,1.000e-01,4.000e-01,7.952e-02,1.500e+02,1.554e-03,7.473e-02,3.237e-03,0.000e+00,4.755e+01,0.000e+00,1.900e+00,5.001e+01,1.644e-01,0.000e+00,3.101e+01,1.901e+01,0.000e+00,4.912e+01,0.000e+00,4.900e+00,5.029e+01,6.711e-02,0.000e+00,1.002e+00,4.928e+01,0.000e+00,4.735e+01,1.000e-01,3.300e+00,5.005e+01,2.009e-01,1.003e+00,1.602e+01,3.303e+01,0.000e+00,5.00
2000,2000,17497,-1.505e+02,1.000e-01,2.000e-01,5.594e-02,1.500e+02,1.289e-03,5.373e-02,9.191e-04,0.000e+00,4.822e+01,4.000e-01,1.100e+00,5.001e+01,8.848e-02,4.003e+00,3.500e+01,1.100e+01,0.000e+00,4.915e+01,0.000e+00,5.000e+00,5.019e+01,4.335e-02,0.000e+00,0.000e+00,5.019e+01,0.000e+00,4.698e+01,1.000e-01,3.000e+00,5.002e+01,1.477e-01,1.001e+00,1.901e+01,3.001e+01,0.000e+00,5.00
2100,2100,18457,-1.508e+02,2.000e-01,2.000e-01,3.426e-02,1.500e+02,2.632e-03,3.097e-02,6.574e-04,0.000e+00,4.874e+01,1.000e-01,7.000e-01,5.001e+01,6.435e-02,1.001e+00,4.200e+01,7.001e+00,0.000e+00,4.891e+01,0.000e+00,4.900e+00,5.014e+01,2.336e-02,0.000e+00,1.001e+00,4.914e+01,0.000e+00,4.761e+01,0.000e+00,2.700e+00,5.002e+01,1.049e-01,0.000e+00,2.301e+01,2.701e+01,0.000e+00,5.00
