episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
1500,1500,11491,-7.541e-01,4.000e-01,2.200e+00,3.919e+00,5.973e+00,1.348e+00,1.293e+00,1.277e+00,5.000e+01,-1.688e+00,1.000e+00,2.100e+00,4.668e+00,6.456e+00,2.923e+00,1.897e-01,1.556e+00,0.000e+00,2.642e+00,2.800e+00,0.000e+00,9.787e+00,5.945e+00,9.626e+00,1.616e-01,0.000e+00,0.000e+00,3.30
1600,1600,12147,2.332e+00,5.000e-01,2.000e+00,3.605e+00,4.672e+00,1.897e+00,1.290e-01,1.578e+00,7.000e+01,1.476e-02,8.000e-01,1.600e+00,2.935e+00,3.520e+00,2.289e+00,2.325e-01,4.137e-01,0.000e+00,-4.701e-02,2.300e+00,4.000e-01,5.591e+00,3.938e+00,5.587e+00,1.255e-03,2.303e-03,0.000e+00,2.90
1700,1700,12746,1.791e+00,4.000e-01,2.500e+00,1.890e+00,4.200e+00,1.242e+00,1.067e-01,5.416e-01,7.000e+01,-2.235e+00,1.000e+00,2.000e+00,2.877e+00,3.712e+00,2.254e+00,1.192e-01,5.035e-01,0.000e+00,1.544e+00,3.000e+00,2.000e-01,5.614e+00,2.470e+00,5.503e+00,1.106e-01,8.481e-04,0.000e+00,3.40
1800,1800,13363,1.024e+00,6.000e-01,1.700e+00,2.800e+00,4.176e+00,1.965e+00,6.217e-01,2.140e-01,8.000e+01,6.008e-01,6.000e-01,1.700e+00,3.339e+00,5.338e+00,2.210e+00,3.514e-01,7.780e-01,0.000e+00,1.975e+00,2.500e+00,0.000e+00,6.747e+00,3.372e+00,6.745e+00,1.722e-03,0.000e+00,0.000e+00,2.70
1900,1900,13973,6.772e+00,5.000e-01,1.900e+00,4.735e+00,1.663e+00,1.984e+00,1.480e+00,1.271e+00,9.000e+01,6.076e-01,7.000e-01,2.100e+00,2.479e+00,4.171e+00,2.136e+00,2.240e-03,3.411e-01,0.000e+00,-2.979e+00,2.500e+00,3.000e-01,2.313e+00,3.692e+00,2.308e+00,1.652e-05,5.400e-03,0.000e+00,2.90
2000,2000,14558,2.052e+00,3.000e-01,3.000e+00,3.057e+00,5.105e+00,1.152e+00,6.399e-01,1.266e+00,7.000e+01,1.493e+00,1.200e+00,2.500e+00,5.290e+00,2.297e+00,3.831e+00,1.488e-02,1.444e+00,0.000e+00,-2.146e+00,3.500e+00,0.000e+00,3.104e+00,4.050e+00,3.102e+00,2.099e-03,0.000e+00,0.000e+00,3.90
2100,2100,15157,1.871e-01,1.000e-01,3.500e+00,7.222e-01,3.735e+00,3.729e-01,2.724e-01,7.689e-02,6.000e+01,3.478e-01,8.000e-01,2.300e+00,2.725e+00,6.769e-01,2.105e+00,4.674e-01,1.525e-01,0.000e+00,-6.349e-01,3.300e+00,4.000e-01,2.226e+00,1.261e+00,2.225e+00,3.720e-05,3.964e-04,0.000e+00,4.10
2200,2200,15790,6.023e+00,1.000e-01,2.000e+00,1.699e+00,3.877e+00,3.955e-01,2.230e-01,1.081e+00,9.000e+01,1.258e+00,1.200e+00,9.000e-01,3.983e+00,9.250e-01,3.851e+00,2.833e-02,1.043e-01,0.000e+00,-1.981e+00,1.900e+00,1.000e-01,2.131e+00,3.012e+00,2.130e+00,2.164e-04,1.011e-05,0.000e+00,2.30
2300,2300,16357,7.441e+00,3.000e-01,2.600e+00,3.162e+00,3.421e+00,1.175e+00,4.439e-01,1.543e+00,9.000e+01,-3.741e-01,1.300e+00,1.400e+00,4.102e+00,2.476e+00,3.708e+00,3.756e-01,1.856e-02,0.000e+00,-2.967e+00,2.900e+00,1.000e-01,1.948e+00,3.315e+00,1.947e+00,6.484e-05,1.020e-04,0.000e+00,3.20
2400,2400,16925,6.073e+00,2.000e-01,2.000e+00,1.427e+00,2.354e+00,7.720e-01,2.693e-01,3.854e-01,9.000e+01,-3.554e-02,1.000e+00,1.200e+00,1.793e+00,1.128e+00,1.450e+00,1.808e-02,3.245e-01,0.000e+00,-1.137e+00,2.100e+00,1.000e-01,1.375e+00,1.112e+00,1.375e+00,1.450e-05,1.007e-05,0.000e+00,2.40
