episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
2300,2300,14320,1.092e+00,7.000e-01,1.300e+00,1.040e+00,7.479e-01,1.034e+00,6.234e-03,8.662e-05,7.000e+01,2.908e+00,7.000e-01,1.500e+00,7.479e-01,1.040e+00,6.245e-01,1.962e-02,1.038e-01,0.000e+00,3.00
2400,2400,14927,-3.738e-02,1.100e+00,1.100e+00,2.173e+00,1.040e-02,1.941e+00,1.943e-01,3.788e-02,7.000e+01,3.437e+00,0.000e+00,2.200e+00,1.040e-02,2.173e+00,0.000e+00,8.947e-03,1.453e-03,0.000e+00,3.10
2500,2500,15503,-1.862e+00,1.200e+00,7.000e-01,1.760e+00,2.522e+00,1.583e+00,1.716e-01,4.951e-03,1.000e+02,8.362e+00,6.000e-01,1.800e+00,2.522e+00,1.760e+00,1.168e+00,2.298e-01,1.124e+00,0.000e+00,2.80
2600,2600,16080,-2.640e+00,1.200e+00,1.600e+00,2.307e+00,2.847e+00,1.971e+00,3.190e-01,1.608e-02,6.000e+01,3.240e+00,6.000e-01,2.600e+00,2.847e+00,2.307e+00,1.004e+00,2.420e-01,1.601e+00,0.000e+00,4.10
2700,2700,16641,-8.488e-01,1.100e+00,6.000e-01,2.086e+00,1.535e+00,2.085e+00,3.493e-04,7.637e-06,9.000e+01,7.949e+00,4.000e-01,1.400e+00,1.535e+00,2.086e+00,7.722e-01,1.809e-02,7.443e-01,0.000e+00,2.20
2800,2800,17226,-1.849e+00,1.000e+00,1.200e+00,1.681e+00,1.330e+00,1.484e+00,1.969e-01,3.553e-05,6.000e+01,4.249e+00,2.000e-01,2.700e+00,1.330e+00,1.681e+00,3.574e-01,9.631e-03,9.631e-01,0.000e+00,3.40
2900,2900,17775,-3.620e-01,1.000e+00,8.000e-01,1.629e+00,1.491e+00,1.432e+00,1.966e-01,3.102e-05,1.000e+02,7.662e+00,3.000e-01,2.000e+00,1.491e+00,1.629e+00,5.656e-01,1.139e-03,9.244e-01,0.000e+00,2.40
3000,3000,18403,-1.691e+00,7.000e-01,1.400e+00,1.295e+00,3.385e+00,1.243e+00,3.703e-03,4.863e-02,7.000e+01,3.891e+00,1.000e+00,2.500e+00,3.385e+00,1.295e+00,1.641e+00,1.899e-04,1.744e+00,0.000e+00,3.70
3100,3100,19023,-1.654e+00,1.600e+00,8.000e-01,2.871e+00,2.125e+00,2.651e+00,1.645e-01,5.525e-02,9.000e+01,6.554e+00,4.000e-01,2.000e+00,2.125e+00,2.871e+00,7.525e-01,3.976e-01,9.745e-01,0.000e+00,3.00
3200,3200,19658,-1.102e+00,1.000e+00,1.100e+00,1.826e+00,3.228e+00,1.626e+00,1.959e-01,4.316e-03,8.000e+01,5.402e+00,8.000e-01,2.100e+00,3.228e+00,1.826e+00,1.335e+00,3.895e-01,1.503e+00,0.000e+00,3.40
