episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,547,1.842e+00,7.000e-01,1.200e+00,4.027e+00,5.085e+00,1.055e+00,1.202e+00,1.770e+00,7.000e+01,-7.247e-01,5.000e-01,5.000e-01,4.204e+00,5.928e+00,9.546e-01,2.448e+00,8.008e-01,0.000e+00,4.464e+00,1.000e+00,8.000e-01,8.452e+00,5.588e+00,3.656e+00,2.478e+00,2.317e+00,0.000e+00,-7.812e-01,1.000e+00,7.000e-01,4.391e+00,4.472e+00,1.774e+00,1.365e+00,1.253e+00,0.000e+00,2.60
200,200,1132,-2.451e+00,1.200e+00,9.000e-01,2.038e+00,3.389e+00,1.258e+00,3.375e-01,4.425e-01,8.000e+01,-2.351e+00,6.000e-01,1.200e+00,1.581e+00,4.032e+00,4.510e-01,5.432e-01,5.872e-01,0.000e+00,5.259e+00,1.000e+00,1.200e+00,6.560e+00,2.301e+00,3.031e+00,1.158e+00,2.371e+00,0.000e+00,1.043e+00,1.000e+00,8.000e-01,1.897e+00,2.354e+00,7.553e-01,6.465e-01,4.953e-01,0.000e+00,2.90
300,300,1700,6.852e-01,7.000e-01,1.000e+00,1.153e+00,1.568e+00,4.734e-01,3.149e-01,3.650e-01,8.000e+01,-1.933e-01,8.000e-01,1.400e+00,8.100e-01,2.003e+00,4.393e-01,1.155e-01,2.552e-01,0.000e+00,1.083e+00,9.000e-01,1.400e+00,1.861e+00,1.078e+00,9.032e-01,3.177e-01,6.397e-01,0.000e+00,1.256e-01,7.000e-01,8.000e-01,1.546e+00,7.203e-01,5.986e-01,4.918e-01,4.555e-01,0.000e+00,2.70
400,400,2311,-1.635e+00,7.000e-01,7.000e-01,2.277e+00,5.612e+00,1.204e+00,4.763e-01,5.972e-01,8.000e+01,6.966e+00,1.100e+00,5.000e-01,8.252e+00,1.686e+00,4.959e+00,1.782e+00,1.511e+00,0.000e+00,1.162e+00,4.000e-01,1.100e+00,2.399e+00,4.336e+00,6.655e-01,8.037e-01,9.295e-01,0.000e+00,-6.932e-01,9.000e-01,1.000e+00,2.191e+00,3.484e+00,1.362e+00,3.214e-01,5.071e-01,0.000e+00,2.30
500,500,2912,-4.408e+00,1.200e+00,1.100e+00,4.161e+00,9.868e+00,3.606e+00,3.909e-02,5.161e-01,8.000e+01,9.099e+00,4.000e-01,1.100e+00,1.368e+01,4.981e+00,2.299e+00,5.912e+00,5.469e+00,0.000e+00,5.253e+00,6.000e-01,1.300e+00,9.931e+00,6.478e+00,3.063e+00,2.650e+00,4.218e+00,0.000e+00,-6.044e+00,1.200e+00,1.000e+00,1.995e+00,8.438e+00,1.313e+00,1.613e-01,5.203e-01,0.000e+00,2.60
600,600,3522,-2.692e+00,1.100e+00,1.300e+00,4.732e+00,8.424e+00,3.532e+00,8.497e-01,3.503e-01,7.000e+01,-3.801e-01,8.000e-01,1.700e+00,5.740e+00,7.321e+00,3.125e+00,1.467e+00,1.149e+00,0.000e+00,1.963e+00,1.000e+00,1.500e+00,9.930e+00,7.966e+00,4.940e+00,2.143e+00,2.847e+00,0.000e+00,4.508e+00,8.000e-01,1.200e+00,1.031e+01,7.000e+00,3.516e+00,3.365e+00,3.427e+00,0.000e+00,3.50
700,700,4124,-8.575e+00,1.100e+00,2.300e+00,2.930e+00,9.306e+00,2.475e+00,1.592e-01,2.960e-01,3.000e+01,-1.240e+01,3.000e-01,2.000e+00,2.831e+00,1.474e+01,1.175e+00,6.295e-01,1.027e+00,0.000e+00,1.675e+00,1.000e-01,2.600e+00,1.057e+01,8.998e+00,3.025e-01,3.858e+00,6.412e+00,0.000e+00,1.360e+01,1.100e+00,1.300e+00,2.270e+01,5.996e+00,6.559e+00,8.523e+00,7.618e+00,0.000e+00,3.90
800,800,4772,-9.437e+00,8.000e-01,9.000e-01,2.229e+00,1.067e+01,1.808e+00,2.826e-01,1.379e-01,6.000e+01,4.410e+00,6.000e-01,1.700e+00,7.792e+00,4.782e+00,3.146e+00,1.392e+00,3.253e+00,0.000e+00,2.274e+00,7.000e-01,1.500e+00,7.625e+00,4.651e+00,3.362e+00,1.500e+00,2.764e+00,0.000e+00,3.953e+00,7.000e-01,1.400e+00,4.851e+00,2.399e+00,2.689e+00,6.344e-01,1.528e+00,0.000e+00,2.90
900,900,5391,-3.634e+00,1.200e+00,1.300e+00,4.045e+00,7.379e+00,3.672e+00,1.450e-01,2.282e-01,9.000e+01,6.407e+00,1.000e+00,1.500e+00,8.689e+00,3.482e+00,5.659e+00,1.098e+00,1.932e+00,0.000e+00,1.868e+00,2.000e-01,2.100e+00,3.566e+00,6.398e+00,9.731e-01,1.300e+00,1.292e+00,0.000e+00,1.259e+00,9.000e-01,1.500e+00,6.363e+00,5.404e+00,3.606e+00,3.005e-01,2.457e+00,0.000e+00,3.10
1000,1000,6030,6.728e-01,1.000e+00,1.700e+00,6.885e+00,6.413e+00,5.622e+00,3.523e-01,9.108e-01,8.000e+01,2.068e+00,7.000e-01,2.000e+00,7.395e+00,6.927e+00,3.831e+00,1.043e+00,2.521e+00,0.000e+00,1.234e+00,7.000e-01,1.700e+00,4.998e+00,5.965e+00,3.584e+00,8.757e-01,5.385e-01,0.000e+00,-1.275e+00,9.000e-01,1.000e+00,7.870e+00,7.844e+00,4.275e+00,2.004e+00,1.591e+00,0.000e+00,3.30
