episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
8500,8500,49522,1.000e+01,1.000e+01,0.000e+00,1.000e+00,1.615e-07,3.009e-04,0.000e+00,5.439e-09,1.560e-07,1.000e+02,2.829e+00,3.630e+00,-1.100e+00,-1.100e+00,1.100e+00,1.000e-01,3.009e-04,1.615e-07,3.009e-04,0.000e+00,6.056e-10,0.000e+00,2.571e-01,-7.778e-02,1.20
9000,9000,51675,1.000e+01,1.000e+01,0.000e+00,1.000e+00,8.698e-07,2.619e-04,0.000e+00,1.457e-08,8.552e-07,1.000e+02,2.700e+00,3.759e+00,-9.997e-01,-1.000e+00,1.100e+00,0.000e+00,2.619e-04,8.698e-07,2.619e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.10
9500,9500,53797,1.000e+01,1.000e+01,0.000e+00,1.000e+00,2.420e-07,1.752e-04,0.000e+00,0.000e+00,2.420e-07,1.000e+02,2.571e+00,3.889e+00,-9.998e-01,-1.000e+00,1.000e+00,0.000e+00,1.752e-04,2.420e-07,1.752e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.00
10000,10000,55886,8.700e+00,8.700e+00,0.000e+00,1.400e+00,1.058e-06,1.079e-04,0.000e+00,6.073e-08,9.974e-07,9.000e+01,3.729e+00,3.269e+00,-1.100e+00,-1.100e+00,9.000e-01,5.000e-01,1.079e-04,1.058e-06,1.079e-04,7.615e-09,2.991e-10,0.000e+00,1.414e+00,-8.642e-02,1.50
10500,10500,57982,9.900e+00,9.900e+00,0.000e+00,1.300e+00,5.772e-07,9.079e-05,0.000e+00,0.000e+00,5.772e-07,1.000e+02,3.343e+00,3.587e+00,-1.200e+00,-1.200e+00,1.000e+00,2.000e-01,9.079e-05,5.772e-07,9.079e-05,5.190e-13,2.174e-10,0.000e+00,6.429e-01,-4.667e-02,1.30
11000,11000,60085,9.800e+00,9.800e+00,0.000e+00,1.100e+00,1.390e-07,8.796e-05,0.000e+00,3.171e-08,1.073e-07,1.000e+02,2.957e+00,3.624e+00,-1.100e+00,-1.100e+00,1.100e+00,1.000e-01,8.796e-05,1.390e-07,8.796e-05,0.000e+00,1.741e-10,0.000e+00,2.571e-01,-7.778e-02,1.20
11500,11500,62108,1.000e+01,1.000e+01,0.000e+00,1.000e+00,6.573e-08,6.868e-05,0.000e+00,0.000e+00,6.573e-08,1.000e+02,2.571e+00,3.889e+00,-9.999e-01,-1.000e+00,1.000e+00,0.000e+00,6.868e-05,6.573e-08,6.868e-05,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.00
12000,12000,64172,1.000e+01,1.000e+01,0.000e+00,1.000e+00,3.246e-08,4.989e-05,0.000e+00,0.000e+00,3.246e-08,1.000e+02,2.571e+00,3.889e+00,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,4.989e-05,3.246e-08,4.989e-05,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.00
12500,12500,66193,9.800e+00,9.800e+00,0.000e+00,1.100e+00,4.316e-08,3.320e-05,0.000e+00,1.632e-08,2.684e-08,1.000e+02,2.957e+00,3.624e+00,-1.100e+00,-1.100e+00,1.000e+00,1.000e-01,3.320e-05,4.316e-08,3.320e-05,2.153e-09,1.088e-12,0.000e+00,3.857e-01,-5.185e-02,1.20
13000,13000,68241,9.900e+00,9.900e+00,1.000e-01,1.000e+00,2.539e-05,3.344e-05,6.996e-06,0.000e+00,1.840e-05,1.000e+02,2.571e+00,3.850e+00,-1.000e+00,-1.000e+00,1.100e+00,0.000e+00,3.344e-05,2.539e-05,3.344e-05,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.10
13500,13500,70266,9.900e+00,9.900e+00,0.000e+00,1.200e+00,6.863e-08,2.254e-05,0.000e+00,4.448e-10,6.818e-08,1.000e+02,3.214e+00,3.487e+00,-1.200e+00,-1.200e+00,1.100e+00,1.000e-01,2.254e-05,6.863e-08,2.254e-05,9.639e-14,4.147e-11,0.000e+00,3.857e-01,-7.778e-02,1.30
14000,14000,72277,1.000e+01,1.000e+01,0.000e+00,1.000e+00,1.421e-08,1.763e-05,0.000e+00,0.000e+00,1.421e-08,1.000e+02,2.571e+00,3.889e+00,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,1.763e-05,1.421e-08,1.763e-05,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.00
14500,14500,74305,9.900e+00,9.900e+00,1.000e-01,1.000e+00,2.139e-05,1.666e-05,5.564e-06,0.000e+00,1.582e-05,1.000e+02,2.571e+00,3.850e+00,-1.000e+00,-1.000e+00,1.100e+00,0.000e+00,1.666e-05,2.139e-05,1.666e-05,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.10
15000,15000,76340,9.999e-01,1.000e+00,0.000e+00,1.000e-01,2.439e-08,7.523e-05,0.000e+00,2.371e-08,6.827e-10,1.000e+01,6.043e+00,3.889e-01,-1.100e+00,-1.100e+00,4.500e+00,1.000e-01,7.523e-05,2.439e-08,7.523e-05,0.000e+00,2.508e-10,0.000e+00,2.571e-01,-7.778e-02,4.60
15500,15500,78476,-7.581e-05,0.000e+00,0.000e+00,0.000e+00,2.409e-08,7.583e-05,0.000e+00,2.409e-08,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-9.999e-01,-1.000e+00,5.000e+00,0.000e+00,7.583e-05,2.409e-08,7.583e-05,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
16000,16000,80684,-5.199e-05,0.000e+00,0.000e+00,0.000e+00,2.328e-08,5.201e-05,0.000e+00,2.328e-08,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.200e+00,-1.200e+00,4.800e+00,0.000e+00,5.201e-05,2.328e-08,5.201e-05,3.608e-09,0.000e+00,0.000e+00,2.571e-01,-3.111e-01,5.00
16500,16500,82650,-4.195e-05,0.000e+00,0.000e+00,0.000e+00,1.511e-08,4.196e-05,0.000e+00,1.511e-08,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,5.000e+00,0.000e+00,4.196e-05,1.511e-08,4.196e-05,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
17000,17000,84740,-2.999e-05,0.000e+00,0.000e+00,0.000e+00,9.518e-09,3.000e-05,0.000e+00,9.518e-09,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,5.000e+00,0.000e+00,3.000e-05,9.518e-09,3.000e-05,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
17500,17500,86795,-2.480e-05,0.000e+00,0.000e+00,0.000e+00,4.575e-10,2.480e-05,0.000e+00,4.575e-10,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,4.900e+00,0.000e+00,2.480e-05,4.575e-10,2.480e-05,1.760e-10,0.000e+00,0.000e+00,1.286e-01,-7.778e-02,5.00
