episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
100,100,822,-5.251e-01,1.700e+00,1.100e+00,9.849e+00,7.674e+00,3.821e+00,3.515e+00,2.513e+00,4.000e+01,-2.985e+00,9.000e-01,1.800e+00,7.408e+00,1.079e+01,1.512e+00,2.745e+00,3.150e+00,0.000e+00,-1.897e-01,1.200e+00,1.700e+00,9.930e+00,8.720e+00,2.697e+00,3.196e+00,4.037e+00,0.000e+00,4.40
200,200,1673,-7.870e-01,1.000e+00,1.900e+00,7.717e+00,6.604e+00,1.884e+00,2.424e+00,3.409e+00,1.000e+01,-5.330e+00,7.000e-01,2.300e+00,6.429e+00,8.659e+00,9.498e-01,2.088e+00,3.390e+00,0.000e+00,-1.383e+00,5.000e-01,2.500e+00,8.875e+00,7.758e+00,1.047e+00,2.744e+00,5.085e+00,0.000e+00,4.60
300,300,2519,-2.295e+00,1.800e+00,1.000e+00,5.869e+00,5.364e+00,3.280e+00,1.344e+00,1.245e+00,3.000e+01,2.035e+00,6.000e-01,2.400e+00,7.796e+00,6.061e+00,9.773e-01,2.130e+00,4.689e+00,0.000e+00,-3.740e+00,9.000e-01,2.100e+00,5.935e+00,8.175e+00,1.395e+00,1.770e+00,2.770e+00,0.000e+00,4.40
400,400,3356,1.688e+00,1.100e+00,1.700e+00,4.692e+00,3.004e+00,1.814e+00,8.232e-01,2.054e+00,3.000e+01,-1.130e+00,1.000e+00,1.800e+00,4.525e+00,4.155e+00,1.182e+00,9.439e-01,2.399e+00,0.000e+00,-4.258e+00,6.000e-01,1.400e+00,3.510e+00,5.568e+00,7.221e-01,1.498e+00,1.290e+00,0.000e+00,3.80
500,500,4213,-2.515e+00,1.300e+00,2.000e+00,3.201e+00,2.417e+00,1.687e+00,5.660e-01,9.487e-01,1.000e+01,-5.426e-01,1.100e+00,1.700e+00,3.881e+00,2.024e+00,1.123e+00,1.235e+00,1.524e+00,0.000e+00,-4.242e+00,1.000e+00,2.400e+00,2.208e+00,4.850e+00,8.067e-01,4.954e-01,9.063e-01,0.000e+00,4.70
600,600,5076,3.272e-01,1.500e+00,1.600e+00,3.680e+00,1.053e+00,2.288e+00,5.870e-01,8.052e-01,2.000e+01,-1.427e+00,5.000e-01,2.800e+00,1.622e+00,1.550e+00,3.870e-01,2.927e-01,9.427e-01,0.000e+00,-5.600e+00,7.000e-01,2.700e+00,1.133e+00,3.833e+00,3.728e-01,2.918e-01,4.683e-01,0.000e+00,4.50
700,700,5914,-4.946e-01,1.300e+00,1.900e+00,3.404e+00,6.982e-01,2.047e+00,6.449e-01,7.113e-01,1.000e+01,-2.176e+00,9.000e-01,2.000e+00,1.391e+00,1.167e+00,5.718e-01,3.752e-01,4.443e-01,0.000e+00,-4.529e+00,6.000e-01,2.700e+00,7.189e-01,3.648e+00,2.535e-01,1.707e-01,2.947e-01,0.000e+00,4.60
800,800,6773,7.629e-01,7.000e-01,2.100e+00,2.927e+00,1.364e+00,1.367e+00,6.047e-01,9.557e-01,2.000e+01,-1.723e+00,1.300e+00,1.400e+00,2.179e+00,1.403e+00,1.373e+00,3.880e-01,4.185e-01,0.000e+00,-4.939e+00,1.200e+00,2.400e+00,1.231e+00,3.570e+00,6.906e-01,1.100e-01,4.303e-01,0.000e+00,4.40
900,900,7659,-4.925e-01,6.000e-01,2.300e+00,2.158e+00,8.505e-01,1.345e+00,2.189e-01,5.940e-01,2.000e+01,7.860e-01,6.000e-01,1.500e+00,2.877e+00,1.091e+00,1.126e+00,9.524e-01,7.984e-01,0.000e+00,-5.794e+00,8.000e-01,2.200e+00,6.769e-01,3.770e+00,3.834e-01,1.172e-01,1.762e-01,0.000e+00,4.20
1000,1000,8498,-1.259e+00,1.400e+00,1.800e+00,2.473e+00,1.033e+00,2.169e+00,1.397e-01,1.646e-01,1.000e+01,-8.666e-01,8.000e-01,2.000e+00,2.104e+00,1.071e+00,1.434e+00,4.115e-01,2.588e-01,0.000e+00,-5.074e+00,7.000e-01,2.000e+00,6.494e-01,3.123e+00,2.348e-01,2.466e-01,1.680e-01,0.000e+00,4.80
