episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A2_reward_total,A2_n_lever,A2_n_door,steps_per_eps
5600,5600,23428,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
5700,5700,23854,-1.000e+00,1.000e-01,4.500e+00,1.000e-01,0.000e+00,4.600e+00,4.60
5800,5800,24286,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
5900,5900,24717,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
6000,6000,25163,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
6100,6100,25619,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
6200,6200,26071,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
6300,6300,26521,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
6400,6400,26953,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
6500,6500,27374,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
6600,6600,27813,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
6700,6700,28256,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
6800,6800,28705,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
6900,6900,29157,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
7000,7000,29603,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
7100,7100,30044,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
7200,7200,30480,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
7300,7300,30909,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
7400,7400,31361,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
7500,7500,31777,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
7600,7600,32199,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
7700,7700,32661,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
7800,7800,33094,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
7900,7900,33551,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
8000,8000,33977,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
8100,8100,34411,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
8200,8200,34859,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
8300,8300,35301,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
8400,8400,35742,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
8500,8500,36185,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
8600,8600,36626,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
8700,8700,37082,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
8800,8800,37525,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
8900,8900,37968,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
9000,9000,38425,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
9100,9100,38864,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
9200,9200,39297,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
9300,9300,39749,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
9400,9400,40165,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
9500,9500,40604,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
9600,9600,41035,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
9700,9700,41465,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
9800,9800,41914,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
9900,9900,42335,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
10000,10000,42794,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
10100,10100,43233,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
10200,10200,43680,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
10300,10300,44125,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
10400,10400,44572,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
10500,10500,45008,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
10600,10600,45449,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
10700,10700,45884,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
10800,10800,46308,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
10900,10900,46755,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
11000,11000,47205,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
11100,11100,47628,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
11200,11200,48056,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
11300,11300,48495,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
11400,11400,48934,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
11500,11500,49376,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
11600,11600,49812,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
11700,11700,50261,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
11800,11800,50702,-1.000e+00,0.000e+00,4.900e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
11900,11900,51109,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
12000,12000,51556,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
12100,12100,51991,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
12200,12200,52429,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
12300,12300,52863,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
12400,12400,53306,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
12500,12500,53748,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
12600,12600,54198,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
12700,12700,54649,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
12800,12800,55075,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
12900,12900,55504,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
13000,13000,55947,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
13100,13100,56390,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
13200,13200,56843,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
13300,13300,57296,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
13400,13400,57740,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
13500,13500,58180,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
13600,13600,58620,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
13700,13700,59051,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
13800,13800,59491,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
13900,13900,59943,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
14000,14000,60375,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
14100,14100,60802,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
14200,14200,61261,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
14300,14300,61709,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
14400,14400,62136,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
14500,14500,62581,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
14600,14600,63035,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
14700,14700,63495,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
14800,14800,63929,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
14900,14900,64381,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
15000,15000,64813,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
15100,15100,65254,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
15200,15200,65678,-1.200e+00,0.000e+00,4.900e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
15300,15300,66097,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
15400,15400,66524,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
15500,15500,66969,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
15600,15600,67425,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
15700,15700,67833,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
15800,15800,68252,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
15900,15900,68707,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
16000,16000,69154,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
16100,16100,69598,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
16200,16200,70049,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
16300,16300,70467,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
16400,16400,70927,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
16500,16500,71346,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
16600,16600,71800,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
16700,16700,72213,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
16800,16800,72667,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
16900,16900,73130,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
17000,17000,73571,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
17100,17100,73997,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
17200,17200,74435,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
17300,17300,74871,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
17400,17400,75301,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
17500,17500,75729,0.000e+00,0.000e+00,4.800e+00,-1.100e+00,1.000e-01,4.700e+00,4.80
17600,17600,76180,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
17700,17700,76626,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
17800,17800,77064,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
17900,17900,77501,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
18000,18000,77938,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
18100,18100,78389,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
