episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
2200,2200,17487,-5.119e+01,2.000e-01,4.600e+00,1.050e-02,5.000e+01,2.002e-03,1.646e-03,6.851e-03,0.000e+00,4.939e+01,0.000e+00,3.000e-01,5.000e+01,1.050e-02,0.000e+00,4.700e+01,3.000e+00,0.000e+00,5.00
2300,2300,18437,-5.099e+01,0.000e+00,4.600e+00,7.616e-03,5.000e+01,0.000e+00,2.826e-03,4.790e-03,0.000e+00,4.999e+01,0.000e+00,0.000e+00,5.000e+01,7.616e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
2400,2400,19403,-5.099e+01,0.000e+00,4.600e+00,6.432e-03,5.000e+01,0.000e+00,2.438e-03,3.994e-03,0.000e+00,4.999e+01,0.000e+00,0.000e+00,5.000e+01,6.432e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
2500,2500,20338,-5.099e+01,0.000e+00,4.400e+00,7.161e-03,5.000e+01,0.000e+00,3.467e-03,3.694e-03,0.000e+00,4.979e+01,0.000e+00,1.000e-01,5.000e+01,7.161e-03,0.000e+00,4.900e+01,1.000e+00,0.000e+00,5.00
2600,2600,21281,-4.729e+01,3.000e-01,4.100e+00,7.208e-03,4.700e+01,1.741e-03,1.586e-03,3.882e-03,1.000e+01,4.689e+01,1.000e-01,0.000e+00,4.700e+01,7.208e-03,1.000e+00,4.600e+01,0.000e+00,0.000e+00,4.70
2700,2700,22220,-5.109e+01,1.000e-01,4.300e+00,6.360e-03,5.000e+01,6.043e-04,2.794e-03,2.962e-03,0.000e+00,4.999e+01,0.000e+00,0.000e+00,5.000e+01,6.360e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
2800,2800,23170,-5.120e+01,2.000e-01,4.600e+00,4.642e-03,5.000e+01,1.052e-03,8.075e-04,2.783e-03,0.000e+00,4.990e+01,0.000e+00,1.000e-01,5.000e+01,4.642e-03,0.000e+00,4.900e+01,1.000e+00,0.000e+00,5.00
2900,2900,24104,-5.120e+01,2.000e-01,4.500e+00,4.658e-03,5.000e+01,1.002e-03,1.131e-03,2.524e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.000e+01,4.658e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
3000,3000,25046,-5.120e+01,2.000e-01,4.700e+00,3.390e-03,5.000e+01,8.751e-04,3.256e-04,2.189e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.000e+01,3.390e-03,0.000e+00,5.000e+01,0.000e+00,0.000e+00,5.00
3100,3100,25983,-4.720e+01,3.000e-01,4.300e+00,3.110e-03,4.600e+01,1.245e-03,0.000e+00,1.865e-03,1.000e+01,4.700e+01,0.000e+00,1.000e-01,4.600e+01,3.110e-03,0.000e+00,4.500e+01,1.000e+00,0.000e+00,4.60
