episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
100,100,827,-6.293e+00,2.100e+00,5.000e-01,7.819e+00,1.191e+01,3.996e+00,2.962e+00,8.615e-01,2.000e+01,6.650e-01,6.000e-01,1.400e+00,1.127e+01,8.902e+00,1.495e+00,6.400e+00,3.372e+00,0.000e+00,2.282e-01,1.700e+00,1.900e+00,1.014e+01,8.417e+00,4.182e+00,1.745e+00,4.218e+00,0.000e+00,4.40
200,200,1676,9.797e-01,7.000e-01,1.400e+00,9.553e+00,9.673e+00,1.992e+00,4.330e+00,3.231e+00,4.000e+01,1.474e+00,6.000e-01,7.000e-01,1.130e+01,8.122e+00,1.670e+00,7.924e+00,1.702e+00,0.000e+00,-4.654e+00,1.200e+00,2.200e+00,6.124e+00,9.178e+00,2.281e+00,8.105e-01,3.033e+00,0.000e+00,4.10
300,300,2530,-3.823e+00,1.100e+00,1.400e+00,6.197e+00,9.021e+00,2.653e+00,1.772e+00,1.772e+00,4.000e+01,3.017e+00,6.000e-01,1.100e+00,1.046e+01,7.141e+00,1.643e+00,6.152e+00,2.664e+00,0.000e+00,-1.594e+00,1.600e+00,1.700e+00,6.480e+00,6.973e+00,3.111e+00,1.106e+00,2.263e+00,0.000e+00,4.00
400,400,3381,-5.073e+00,8.000e-01,1.600e+00,5.897e+00,8.070e+00,1.877e+00,2.252e+00,1.768e+00,2.000e+01,-1.166e+00,9.000e-01,7.000e-01,8.353e+00,7.420e+00,2.100e+00,5.123e+00,1.130e+00,0.000e+00,1.140e+00,1.100e+00,2.100e+00,6.423e+00,5.183e+00,2.804e+00,1.539e+00,2.080e+00,0.000e+00,4.30
500,500,4223,-2.660e+00,1.100e+00,1.200e+00,4.781e+00,6.741e+00,2.410e+00,1.482e+00,8.892e-01,4.000e+01,-7.393e-02,6.000e-01,1.200e+00,7.569e+00,6.243e+00,1.228e+00,4.251e+00,2.090e+00,0.000e+00,-8.661e-01,1.700e+00,1.600e+00,6.148e+00,5.514e+00,4.005e+00,5.807e-01,1.563e+00,0.000e+00,4.00
600,600,5091,1.356e+00,2.000e+00,1.500e+00,8.366e+00,3.810e+00,6.012e+00,1.004e+00,1.349e+00,3.000e+01,-1.357e+00,8.000e-01,1.300e+00,6.021e+00,6.078e+00,1.435e+00,3.140e+00,1.446e+00,0.000e+00,-5.799e+00,1.000e+00,2.600e+00,1.742e+00,6.241e+00,8.505e-01,2.162e-01,6.754e-01,0.000e+00,4.50
700,700,5935,2.859e+00,2.000e+00,1.000e+00,9.453e+00,3.894e+00,7.391e+00,1.269e+00,7.928e-01,5.000e+01,2.636e+00,5.000e-01,9.000e-01,5.690e+00,5.455e+00,8.363e-01,3.631e+00,1.223e+00,0.000e+00,-7.295e+00,1.200e+00,2.300e+00,1.883e+00,7.678e+00,1.414e+00,1.142e-01,3.557e-01,0.000e+00,4.20
800,800,6781,3.763e+00,2.300e+00,7.000e-01,9.880e+00,3.218e+00,8.660e+00,8.074e-01,4.132e-01,3.000e+01,-1.520e+00,6.000e-01,9.000e-01,3.802e+00,5.522e+00,9.469e-01,2.220e+00,6.345e-01,0.000e+00,-6.643e+00,1.100e+00,1.800e+00,1.349e+00,6.292e+00,1.002e+00,1.369e-01,2.107e-01,0.000e+00,4.10
900,900,7606,-2.547e+00,1.700e+00,9.000e-01,4.408e+00,4.355e+00,4.276e+00,9.219e-02,3.992e-02,2.000e+01,-1.577e+00,1.300e+00,8.000e-01,4.066e+00,3.344e+00,2.232e+00,1.285e+00,5.489e-01,0.000e+00,-1.476e+00,1.700e+00,2.200e+00,2.675e+00,3.451e+00,2.081e+00,1.924e-01,4.020e-01,0.000e+00,4.80
1000,1000,8430,3.899e+00,2.500e+00,8.000e-01,8.492e+00,2.593e+00,8.341e+00,1.015e-01,4.947e-02,5.000e+01,-3.144e+00,9.000e-01,8.000e-01,2.172e+00,4.717e+00,1.367e+00,5.037e-01,3.013e-01,0.000e+00,-1.454e+00,1.200e+00,1.900e+00,1.471e+00,4.826e+00,1.073e+00,5.526e-02,3.427e-01,0.000e+00,3.70
