episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,-5.000e+00,1.779e+00,-1.620e+00,5.159e+00,1.779e+00,-5.000e+00,-1.140e+00,-7.919e+00
2000,2000,20000,-5.000e+00,2.976e+00,-1.760e+00,6.216e+00,2.976e+00,-5.000e+00,-6.200e-01,-8.596e+00
3000,3000,30000,-5.000e+00,2.984e+00,-2.320e+00,5.664e+00,2.984e+00,-5.000e+00,-3.400e-01,-8.324e+00
4000,4000,40000,-5.000e+00,2.819e+00,-2.440e+00,5.379e+00,2.819e+00,-5.000e+00,-2.800e-01,-8.099e+00
5000,5000,50000,-5.000e+00,8.825e-01,-2.760e+00,3.123e+00,8.825e-01,-5.000e+00,-1.200e-01,-6.003e+00
6000,6000,60000,-5.000e+00,1.863e-02,-2.760e+00,2.259e+00,1.863e-02,-5.000e+00,-1.200e-01,-5.139e+00
7000,7000,70000,-5.000e+00,1.863e-02,-3.000e+00,2.019e+00,1.863e-02,-5.000e+00,0.000e+00,-5.019e+00
8000,8000,80000,-5.000e+00,1.958e+00,-2.880e+00,4.078e+00,1.958e+00,-5.000e+00,-6.000e-02,-7.018e+00
9000,9000,90000,-5.000e+00,1.126e-02,-2.920e+00,2.091e+00,1.126e-02,-5.000e+00,-4.000e-02,-5.051e+00
10000,10000,100000,-5.000e+00,5.331e-03,-3.000e+00,2.005e+00,5.331e-03,-5.000e+00,0.000e+00,-5.005e+00
11000,11000,110000,-5.000e+00,2.618e-03,-2.880e+00,2.123e+00,2.618e-03,-5.000e+00,-6.000e-02,-5.063e+00
12000,12000,120000,-5.000e+00,1.434e-03,-2.900e+00,2.101e+00,1.434e-03,-5.000e+00,-8.000e-02,-5.081e+00
13000,13000,130000,-5.000e+00,2.283e+00,-2.960e+00,4.323e+00,2.283e+00,-5.000e+00,-2.000e-02,-7.303e+00
14000,14000,140000,-5.000e+00,2.143e+00,-3.000e+00,4.143e+00,2.143e+00,-5.000e+00,0.000e+00,-7.143e+00
15000,15000,150000,-5.000e+00,2.076e-01,-3.000e+00,2.208e+00,2.076e-01,-5.000e+00,0.000e+00,-5.208e+00
16000,16000,160000,-5.000e+00,9.053e-01,-2.940e+00,2.965e+00,9.053e-01,-5.000e+00,-6.000e-02,-5.965e+00
17000,17000,170000,-5.000e+00,5.928e-02,-3.000e+00,2.059e+00,5.928e-02,-5.000e+00,0.000e+00,-5.059e+00
18000,18000,180000,-5.000e+00,2.688e-02,-3.000e+00,2.027e+00,2.688e-02,-5.000e+00,0.000e+00,-5.027e+00
19000,19000,190000,-5.000e+00,6.903e-01,-2.920e+00,2.770e+00,6.903e-01,-5.000e+00,-1.600e-01,-5.850e+00
20000,20000,200000,-5.000e+00,8.058e-01,-3.000e+00,2.806e+00,8.058e-01,-5.000e+00,0.000e+00,-5.806e+00
