episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
500,500,3993,-1.662e+00,-1.400e+00,9.000e-01,1.400e+00,3.649e-01,6.264e-01,2.958e-01,7.950e-03,6.115e-02,3.000e+01,6.749e+00,-2.630e-01,-1.385e-01,-4.000e-01,1.000e+00,1.300e+00,6.264e-01,3.649e-01,2.582e-01,2.352e-01,1.329e-01,0.000e+00,6.361e+00,6.687e-02,4.60
1000,1000,8011,2.246e+00,1.500e+00,6.000e-01,1.800e+00,1.053e+00,3.077e-01,1.037e+00,6.221e-04,1.548e-02,8.000e+01,5.678e+00,4.636e-01,2.554e+00,3.300e+00,3.000e-01,1.700e+00,3.077e-01,1.053e+00,2.421e-01,2.733e-02,3.824e-02,0.000e+00,5.973e+00,4.427e-01,3.20
1500,1500,11996,2.131e+00,2.100e+00,8.000e-01,1.400e+00,1.844e+00,1.813e+00,1.432e+00,9.596e-03,4.026e-01,8.000e+01,4.897e+00,7.037e-01,1.969e+00,2.000e+00,1.000e+00,1.300e+00,1.813e+00,1.844e+00,1.402e+00,2.160e-01,1.947e-01,0.000e+00,4.502e+00,7.978e-01,2.90
2000,2000,15910,3.295e+00,3.400e+00,6.000e-01,1.100e+00,1.354e+00,1.458e+00,9.890e-01,5.104e-05,3.645e-01,9.000e+01,4.270e+00,7.905e-01,2.905e+00,2.800e+00,7.000e-01,1.000e+00,1.458e+00,1.354e+00,1.252e+00,2.051e-01,9.932e-04,0.000e+00,3.857e+00,8.893e-01,2.70
2500,2500,19385,-6.057e+00,0.000e+00,0.000e+00,0.000e+00,1.903e-04,6.057e+00,0.000e+00,1.903e-04,0.000e+00,0.000e+00,7.863e+00,0.000e+00,2.857e+00,-3.200e+00,2.600e+00,1.700e+00,6.057e+00,1.903e-04,5.022e+00,5.734e-01,4.615e-01,0.000e+00,5.271e+00,-6.805e-01,5.00
3000,3000,22721,4.649e+00,4.900e+00,3.000e-01,1.800e+00,7.418e-01,9.925e-01,5.454e-01,4.791e-05,1.963e-01,8.000e+01,5.198e+00,1.515e+00,9.507e-01,7.000e-01,7.000e-01,1.100e+00,9.925e-01,7.418e-01,9.922e-01,2.508e-04,1.663e-05,0.000e+00,3.729e+00,2.268e-01,2.50
3500,3500,26283,5.567e+00,4.700e+00,4.000e-01,1.700e+00,2.390e+00,1.523e+00,7.929e-01,3.998e-01,1.197e+00,8.000e+01,5.286e+00,1.678e+00,-5.672e-01,3.000e-01,1.000e+00,1.300e+00,1.523e+00,2.390e+00,1.522e+00,7.372e-05,4.593e-04,0.000e+00,4.327e+00,2.638e-01,2.40
4000,4000,29701,-4.035e+00,0.000e+00,0.000e+00,0.000e+00,7.526e-05,4.035e+00,0.000e+00,7.526e-05,0.000e+00,0.000e+00,7.733e+00,0.000e+00,2.354e-01,-3.800e+00,2.600e+00,1.900e+00,4.035e+00,7.526e-05,4.032e+00,3.090e-03,1.008e-04,0.000e+00,5.529e+00,-7.817e-01,5.00
4500,4500,32513,5.894e+00,6.300e+00,3.000e-01,1.800e+00,9.935e-01,1.400e+00,5.952e-01,8.893e-06,3.982e-01,8.000e+01,5.072e+00,2.152e+00,2.065e-01,-2.000e-01,1.000e+00,1.200e+00,1.400e+00,9.935e-01,1.400e+00,4.953e-05,2.836e-06,0.000e+00,3.343e+00,2.519e-01,2.40
5000,5000,35728,1.063e+01,9.600e+00,3.000e-01,1.100e+00,1.198e+00,1.722e-01,5.998e-01,1.012e-06,5.985e-01,1.000e+02,2.978e+00,3.405e+00,-2.126e+00,-1.100e+00,1.400e+00,1.000e-01,1.722e-01,1.198e+00,1.722e-01,0.000e+00,2.023e-09,0.000e+00,2.571e-01,-7.778e-02,1.50
