episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,615,-2.720e+00,2.000e-01,9.000e-01,8.465e+00,9.385e+00,5.972e-01,5.649e+00,2.219e+00,4.000e+01,5.950e+00,1.500e+00,8.000e-01,1.053e+01,3.381e+00,4.842e+00,3.385e+00,2.304e+00,0.000e+00,-6.359e+00,8.000e-01,1.100e+00,2.764e+00,8.023e+00,7.458e-01,1.327e+00,6.910e-01,0.000e+00,-1.072e+00,9.000e-01,2.000e+00,5.707e+00,6.679e+00,1.664e+00,9.035e-01,3.140e+00,0.000e+00,3.50
200,200,1249,-3.371e+00,6.000e-01,1.000e+00,3.404e+00,8.275e+00,8.214e-01,1.648e+00,9.348e-01,7.000e+01,7.793e+00,1.700e+00,6.000e-01,9.190e+00,1.298e+00,5.202e+00,2.420e+00,1.568e+00,0.000e+00,-5.992e+00,8.000e-01,1.300e+00,2.508e+00,7.600e+00,9.076e-01,8.203e-01,7.800e-01,0.000e+00,3.170e+00,8.000e-01,1.800e+00,5.609e+00,3.538e+00,1.502e+00,1.160e+00,2.946e+00,0.000e+00,3.30
300,300,1888,-2.552e+00,1.000e-01,2.100e+00,3.230e+00,8.382e+00,1.645e-01,1.214e+00,1.852e+00,6.000e+01,4.358e+00,1.200e+00,1.100e+00,7.152e+00,8.941e-01,3.197e+00,1.960e+00,1.995e+00,0.000e+00,-2.606e+00,1.100e+00,1.400e+00,3.036e+00,5.742e+00,1.381e+00,7.954e-01,8.594e-01,0.000e+00,1.200e+00,8.000e-01,1.700e+00,5.038e+00,3.438e+00,1.422e+00,1.308e+00,2.308e+00,0.000e+00,3.40
400,400,2564,-2.175e+00,4.000e-01,2.500e+00,2.576e+00,8.651e+00,4.570e-01,7.176e-01,1.402e+00,6.000e+01,2.615e+00,1.400e+00,9.000e-01,5.578e+00,6.634e-01,2.874e+00,1.761e+00,9.434e-01,0.000e+00,-4.156e+00,7.000e-01,1.600e+00,3.545e+00,5.601e+00,1.102e+00,1.524e+00,9.193e-01,0.000e+00,2.016e+00,1.000e+00,2.000e+00,6.801e+00,3.584e+00,2.175e+00,1.513e+00,3.113e+00,0.000e+00,3.90
500,500,3237,1.614e+00,2.000e-01,2.300e+00,5.054e+00,7.540e+00,2.649e-01,1.689e+00,3.100e+00,9.000e+01,-1.509e+00,1.400e+00,9.000e-01,3.485e+00,4.094e+00,2.105e+00,9.138e-01,4.661e-01,0.000e+00,-4.170e+00,7.000e-01,2.000e+00,3.525e-01,7.522e+00,2.223e-01,7.601e-02,5.423e-02,0.000e+00,8.765e+00,1.700e+00,1.200e+00,1.222e+01,1.960e+00,6.489e+00,2.156e+00,3.579e+00,0.000e+00,3.60
600,600,3921,1.205e+00,1.000e-01,2.600e+00,2.392e+00,6.787e+00,1.315e-01,6.359e-01,1.624e+00,9.000e+01,1.256e+00,1.300e+00,5.000e-01,3.418e+00,1.062e+00,2.252e+00,1.051e+00,1.145e-01,0.000e+00,-1.497e+00,8.000e-01,1.500e+00,9.873e-01,5.484e+00,6.638e-01,1.889e-01,1.346e-01,0.000e+00,4.236e+00,1.200e+00,1.300e+00,7.956e+00,1.420e+00,3.570e+00,1.716e+00,2.670e+00,0.000e+00,3.30
700,700,4562,-5.639e+00,4.000e-01,3.700e+00,2.152e+00,8.491e+00,5.668e-01,2.274e-01,1.358e+00,3.000e+01,-1.591e+00,1.300e+00,1.000e+00,3.717e+00,2.408e+00,2.087e+00,9.931e-01,6.362e-01,0.000e+00,-2.943e+00,5.000e-01,2.400e+00,3.160e+00,5.103e+00,1.066e+00,1.066e+00,1.028e+00,0.000e+00,5.273e+00,8.000e-01,2.300e+00,1.049e+01,3.521e+00,2.583e+00,3.016e+00,4.895e+00,0.000e+00,4.30
800,800,5236,-3.072e+00,0.000e+00,3.600e+00,6.387e+00,1.026e+01,0.000e+00,1.639e+00,4.748e+00,3.000e+01,-1.272e+00,1.200e+00,1.500e+00,5.650e+00,3.922e+00,3.300e+00,1.452e+00,8.977e-01,0.000e+00,-7.029e+00,5.000e-01,3.100e+00,2.336e+00,8.465e+00,1.531e+00,3.530e-01,4.512e-01,0.000e+00,5.273e+00,1.100e+00,2.500e+00,1.261e+01,4.342e+00,5.053e+00,2.040e+00,5.522e+00,0.000e+00,4.30
900,900,5952,-3.090e+00,1.000e-01,3.300e+00,8.783e+00,1.407e+01,3.934e-01,3.285e-01,8.061e+00,4.000e+01,-7.828e+00,1.500e+00,1.100e+00,1.272e+00,6.700e+00,1.119e+00,9.355e-02,5.886e-02,0.000e+00,8.728e+00,3.000e-01,3.100e+00,1.402e+01,6.088e+00,1.285e+00,3.999e-01,1.233e+01,0.000e+00,2.590e+00,4.000e-01,2.900e+00,1.404e+01,1.125e+01,2.104e+00,8.993e-01,1.104e+01,0.000e+00,3.50
1000,1000,6716,-1.089e+00,2.000e-01,3.500e+00,1.635e+01,1.694e+01,9.029e-01,2.074e+00,1.338e+01,2.000e+01,-4.796e+00,1.600e+00,1.200e+00,1.991e+00,3.387e+00,1.519e+00,2.292e-01,2.428e-01,0.000e+00,9.094e+00,2.000e-01,3.900e+00,1.717e+01,9.076e+00,1.014e+00,4.774e-01,1.568e+01,0.000e+00,-6.309e+00,3.000e-01,3.600e+00,1.167e+01,1.778e+01,1.726e+00,1.371e+00,8.575e+00,0.000e+00,4.20
