episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
500,500,3210,1.479e+00,4.100e+00,7.000e-01,1.300e+00,5.577e-01,3.179e+00,3.807e-01,1.038e-01,7.321e-02,8.000e+01,5.510e+00,9.685e-01,3.021e+00,4.000e-01,1.600e+00,7.000e-01,3.179e+00,5.577e-01,2.632e+00,3.269e-01,2.204e-01,0.000e+00,2.916e+00,4.228e-01,3.10
1000,1000,6339,2.704e+00,5.300e+00,5.000e-01,2.100e+00,9.986e-01,3.594e+00,5.568e-01,1.457e-01,2.961e-01,7.000e+01,7.986e+00,1.207e+00,1.957e-01,-2.400e+00,1.600e+00,1.000e+00,3.594e+00,9.986e-01,2.895e+00,3.439e-01,3.556e-01,0.000e+00,4.063e+00,-4.666e-01,3.60
1500,1500,9236,3.011e+00,3.500e+00,5.000e-01,2.200e+00,7.402e-01,1.229e+00,6.136e-01,5.026e-03,1.216e-01,8.000e+01,6.226e+00,1.011e+00,1.889e+00,1.400e+00,7.000e-01,1.100e+00,1.229e+00,7.402e-01,1.149e+00,7.072e-03,7.304e-02,0.000e+00,4.538e+00,1.995e-01,3.10
2000,2000,12091,4.665e+00,6.200e+00,3.000e-01,1.900e+00,6.616e-01,2.197e+00,4.893e-01,8.651e-03,1.636e-01,9.000e+01,5.543e+00,1.668e+00,1.935e+00,4.000e-01,9.000e-01,5.000e-01,2.197e+00,6.616e-01,1.784e+00,2.212e-01,1.922e-01,0.000e+00,2.577e+00,8.674e-02,2.40
2500,2500,15041,4.885e+00,5.900e+00,1.000e-01,2.500e+00,3.603e-01,1.376e+00,1.774e-01,3.435e-03,1.795e-01,7.000e+01,6.815e+00,1.697e+00,-5.848e-01,-1.600e+00,8.000e-01,1.600e+00,1.376e+00,3.603e-01,1.375e+00,2.933e-04,2.053e-04,0.000e+00,4.760e+00,-3.232e-01,2.90
3000,3000,17793,5.747e+00,5.800e+00,3.000e-01,2.400e+00,1.348e+00,1.402e+00,5.717e-01,2.910e-03,7.739e-01,8.000e+01,6.488e+00,1.515e+00,-4.466e-01,-5.000e-01,8.000e-01,1.300e+00,1.402e+00,1.348e+00,1.397e+00,4.403e-03,4.351e-04,0.000e+00,4.483e+00,1.219e-01,2.90
3500,3500,20546,5.577e+00,6.200e+00,2.000e-01,2.200e+00,7.706e-01,1.393e+00,3.812e-01,1.916e-01,1.979e-01,8.000e+01,5.971e+00,1.909e+00,2.267e-02,-6.000e-01,9.000e-01,1.300e+00,1.393e+00,7.706e-01,1.393e+00,1.087e-04,4.541e-05,0.000e+00,3.858e+00,-7.346e-02,2.60
4000,4000,23244,8.201e+00,9.600e+00,0.000e+00,1.700e+00,5.284e-04,1.400e+00,0.000e+00,0.000e+00,5.284e-04,1.000e+02,4.372e+00,2.928e+00,9.902e-02,-1.300e+00,1.000e+00,5.000e-01,1.400e+00,5.284e-04,1.399e+00,8.750e-04,3.893e-05,0.000e+00,1.543e+00,-2.556e-01,1.70
4500,4500,25914,6.366e+00,7.000e+00,2.000e-01,2.200e+00,5.938e-01,1.227e+00,3.904e-01,7.811e-03,1.956e-01,9.000e+01,6.293e+00,1.807e+00,-1.664e-01,-8.000e-01,1.000e+00,1.200e+00,1.227e+00,5.938e-01,1.200e+00,2.324e-03,2.469e-02,0.000e+00,3.730e+00,-2.080e-01,2.70
5000,5000,28527,6.678e+00,6.700e+00,4.000e-01,2.200e+00,1.366e+00,1.388e+00,7.811e-01,5.938e-04,5.848e-01,1.000e+02,6.083e+00,1.709e+00,4.219e-01,4.000e-01,1.000e+00,1.600e+00,1.388e+00,1.366e+00,1.198e+00,1.907e-01,1.183e-05,0.000e+00,4.400e+00,-2.032e-01,2.80
