episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,1.801e+00,9.174e-01,-9.800e-01,-1.863e+00,9.174e-01,1.801e+00,-1.820e+00,-9.368e-01
2000,2000,20000,2.990e+00,1.522e-04,-8.000e-02,-3.070e+00,1.522e-04,2.990e+00,-2.840e+00,1.500e-01
3000,3000,30000,2.993e+00,7.646e-06,-2.000e-02,-3.013e+00,7.646e-06,2.993e+00,-2.960e+00,3.251e-02
4000,4000,40000,2.926e+00,4.105e-06,0.000e+00,-2.926e+00,4.105e-06,2.926e+00,-3.000e+00,-7.396e-02
5000,5000,50000,2.343e-01,1.544e-05,-2.000e-02,-2.542e-01,1.544e-05,2.343e-01,-2.960e+00,-2.726e+00
6000,6000,60000,3.136e-02,4.185e-06,-2.000e-02,-5.136e-02,4.185e-06,3.136e-02,-2.960e+00,-2.929e+00
7000,7000,70000,1.188e-02,3.103e-06,0.000e+00,-1.188e-02,3.103e-06,1.188e-02,-3.000e+00,-2.988e+00
8000,8000,80000,3.999e-03,3.382e-06,-2.000e-02,-2.400e-02,3.382e-06,3.999e-03,-2.960e+00,-2.956e+00
9000,9000,90000,2.686e-03,2.919e-06,0.000e+00,-2.683e-03,2.919e-06,2.686e-03,-3.000e+00,-2.997e+00
10000,10000,100000,5.048e-01,3.040e-06,-2.000e-01,-7.048e-01,3.040e-06,5.048e-01,-2.900e+00,-2.395e+00
11000,11000,110000,7.393e-01,3.358e-06,-2.000e-02,-7.593e-01,3.358e-06,7.393e-01,-2.960e+00,-2.221e+00
12000,12000,120000,3.181e-01,1.494e-06,0.000e+00,-3.181e-01,1.494e-06,3.181e-01,-3.000e+00,-2.682e+00
13000,13000,130000,5.151e-02,1.392e-06,0.000e+00,-5.151e-02,1.392e-06,5.151e-02,-3.000e+00,-2.948e+00
14000,14000,140000,2.943e+00,1.253e-06,0.000e+00,-2.943e+00,1.253e-06,2.943e+00,-3.000e+00,-5.742e-02
15000,15000,150000,6.413e-01,1.062e-06,0.000e+00,-6.413e-01,1.062e-06,6.413e-01,-3.000e+00,-2.359e+00
16000,16000,160000,5.772e-01,7.502e-07,-8.000e-02,-6.572e-01,7.502e-07,5.772e-01,-2.960e+00,-2.383e+00
17000,17000,170000,2.692e+00,4.873e-07,0.000e+00,-2.692e+00,4.873e-07,2.692e+00,-3.000e+00,-3.084e-01
18000,18000,180000,6.992e-01,4.845e-08,-1.200e-01,-8.192e-01,4.845e-08,6.992e-01,-2.940e+00,-2.241e+00
19000,19000,190000,2.652e+00,3.267e-08,0.000e+00,-2.652e+00,3.267e-08,2.652e+00,-3.000e+00,-3.483e-01
20000,20000,200000,8.056e-01,2.770e-08,-4.000e-02,-8.456e-01,2.770e-08,8.056e-01,-2.980e+00,-2.174e+00
21000,21000,210000,5.512e-01,1.919e-08,0.000e+00,-5.512e-01,1.919e-08,5.512e-01,-3.000e+00,-2.449e+00
22000,22000,220000,4.962e-01,1.330e-08,0.000e+00,-4.962e-01,1.330e-08,4.962e-01,-3.000e+00,-2.504e+00
23000,23000,230000,4.177e-01,9.326e-09,0.000e+00,-4.177e-01,9.326e-09,4.177e-01,-3.000e+00,-2.582e+00
24000,24000,240000,2.471e+00,0.000e+00,0.000e+00,-2.471e+00,0.000e+00,2.471e+00,-3.000e+00,-5.290e-01
25000,25000,250000,5.954e-01,0.000e+00,0.000e+00,-5.954e-01,0.000e+00,5.954e-01,-3.000e+00,-2.405e+00
26000,26000,260000,5.269e-01,0.000e+00,0.000e+00,-5.269e-01,0.000e+00,5.269e-01,-3.000e+00,-2.473e+00
27000,27000,270000,2.517e+00,0.000e+00,0.000e+00,-2.517e+00,0.000e+00,2.517e+00,-3.000e+00,-4.826e-01
28000,28000,280000,7.073e-01,0.000e+00,0.000e+00,-7.073e-01,0.000e+00,7.073e-01,-3.000e+00,-2.293e+00
29000,29000,290000,5.001e-01,0.000e+00,0.000e+00,-5.001e-01,0.000e+00,5.001e-01,-3.000e+00,-2.500e+00
30000,30000,300000,3.846e-01,0.000e+00,0.000e+00,-3.846e-01,0.000e+00,3.846e-01,-3.000e+00,-2.615e+00
