episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
100,100,753,6.834e+00,7.000e-01,2.000e+00,6.727e+00,1.592e+00,1.256e+00,1.989e+00,3.481e+00,5.000e+01,-3.050e+00,1.300e+00,1.300e+00,2.301e+00,4.151e+00,9.580e-01,5.561e-01,7.868e-01,0.000e+00,-5.584e+00,1.500e+00,7.000e-01,1.927e+00,5.211e+00,8.597e-01,7.409e-01,3.265e-01,0.000e+00,3.80
200,200,1536,9.056e-01,5.000e-01,3.000e+00,8.769e+00,5.863e+00,1.105e+00,1.453e+00,6.211e+00,4.000e+01,-1.807e+00,9.000e-01,2.800e+00,4.631e+00,7.138e+00,1.652e+00,3.981e-01,2.581e+00,0.000e+00,-2.298e+00,1.800e+00,1.300e+00,5.762e+00,6.161e+00,3.301e+00,1.329e+00,1.133e+00,0.000e+00,4.20
300,300,2303,-2.290e+00,4.000e-01,2.500e+00,3.672e+00,6.762e+00,5.461e-01,6.264e-01,2.500e+00,4.000e+01,1.921e+00,1.800e+00,1.400e+00,6.752e+00,2.731e+00,3.755e+00,6.612e-01,2.336e+00,0.000e+00,-2.430e+00,1.200e+00,1.300e+00,2.468e+00,3.398e+00,1.799e+00,3.766e-01,2.926e-01,0.000e+00,3.60
400,400,3080,-2.128e+00,6.000e-01,2.600e+00,1.436e+00,6.064e+00,2.998e-01,9.459e-02,1.042e+00,6.000e+01,7.465e-01,1.200e+00,1.700e+00,4.583e+00,3.236e+00,2.327e+00,5.950e-01,1.661e+00,0.000e+00,4.811e-01,1.700e+00,1.100e+00,5.188e+00,1.907e+00,3.855e+00,4.821e-01,8.508e-01,0.000e+00,3.60
500,500,3874,-4.660e+00,1.100e+00,2.200e+00,7.841e-01,4.644e+00,3.683e-01,1.021e-01,3.137e-01,5.000e+01,-1.027e+00,1.100e+00,2.000e+00,2.733e+00,3.159e+00,1.926e+00,2.239e-01,5.828e-01,0.000e+00,2.286e+00,1.800e+00,1.200e+00,5.471e+00,1.185e+00,4.390e+00,7.031e-01,3.780e-01,0.000e+00,4.20
600,600,4642,-4.148e+00,5.000e-01,2.100e+00,3.938e-01,5.042e+00,1.010e-01,6.134e-02,2.315e-01,6.000e+01,-4.854e-01,9.000e-01,1.800e+00,3.180e+00,3.165e+00,2.531e+00,2.223e-01,4.263e-01,0.000e+00,3.533e+00,1.700e+00,7.000e-01,6.101e+00,1.468e+00,4.664e+00,6.958e-01,7.408e-01,0.000e+00,3.60
700,700,5370,-4.255e+00,3.000e-01,3.100e+00,1.599e+00,7.555e+00,2.038e-01,4.112e-01,9.844e-01,4.000e+01,-6.799e-01,1.400e+00,2.100e+00,7.067e+00,4.647e+00,5.037e+00,4.141e-01,1.616e+00,0.000e+00,1.135e+00,2.700e+00,5.000e-01,8.501e+00,4.966e+00,7.780e+00,3.308e-01,3.905e-01,0.000e+00,4.60
800,800,6096,-4.086e+00,6.000e-01,2.700e+00,5.039e-01,6.090e+00,1.488e-01,1.089e-01,2.462e-01,6.000e+01,-4.621e-01,8.000e-01,2.200e+00,4.225e+00,3.987e+00,2.877e+00,1.087e-01,1.239e+00,0.000e+00,2.848e+00,2.700e+00,7.000e-01,7.586e+00,2.238e+00,6.979e+00,5.241e-01,8.358e-02,0.000e+00,4.20
900,900,6786,8.394e-01,3.000e-01,1.700e+00,3.291e-01,3.590e+00,1.521e-01,1.185e-02,1.651e-01,8.000e+01,-6.918e-01,9.000e-01,1.000e+00,1.858e+00,2.750e+00,1.841e+00,7.578e-03,9.990e-03,0.000e+00,3.652e+00,1.700e+00,2.000e-01,5.131e+00,9.785e-01,5.008e+00,9.798e-02,2.483e-02,0.000e+00,2.30
1000,1000,7413,4.038e+00,4.000e-01,1.500e+00,6.310e-01,3.293e+00,2.211e-01,3.490e-02,3.750e-01,1.000e+02,2.543e+00,1.200e+00,5.000e-01,4.432e+00,2.389e+00,4.119e+00,9.322e-02,2.205e-01,0.000e+00,-8.810e-01,1.600e+00,4.000e-01,2.880e+00,2.261e+00,2.828e+00,7.986e-03,4.386e-02,0.000e+00,2.30
1100,1100,8011,4.996e+00,2.000e-01,1.200e+00,4.905e-01,3.995e+00,1.763e-01,5.779e-02,2.564e-01,1.000e+02,1.059e-01,1.200e+00,6.000e-01,3.425e+00,2.719e+00,3.368e+00,1.702e-03,5.505e-02,0.000e+00,1.598e+00,1.600e+00,1.000e-01,4.450e+00,1.651e+00,4.419e+00,1.739e-03,2.849e-02,0.000e+00,1.90
1200,1200,8554,4.892e+00,2.000e-01,1.900e+00,7.646e-01,4.073e+00,1.796e-01,0.000e+00,5.851e-01,9.000e+01,1.984e-01,1.300e+00,2.000e-01,4.603e+00,3.104e+00,4.582e+00,1.797e-02,2.852e-03,0.000e+00,5.098e-01,1.800e+00,1.000e-01,4.332e+00,2.522e+00,4.301e+00,2.700e-02,4.313e-03,0.000e+00,2.10
1300,1300,9065,5.226e+00,0.000e+00,1.500e+00,2.160e-01,4.390e+00,0.000e+00,2.576e-02,1.902e-01,1.000e+02,1.167e+00,1.400e+00,2.000e-01,4.507e+00,1.940e+00,4.481e+00,2.346e-02,2.139e-03,0.000e+00,4.077e-01,1.700e+00,2.000e-01,3.588e+00,1.981e+00,3.587e+00,0.000e+00,1.011e-03,0.000e+00,1.90
1400,1400,9595,4.657e+00,3.000e-01,1.300e+00,3.075e-01,3.850e+00,1.575e-01,4.304e-03,1.457e-01,1.000e+02,1.999e+00,1.300e+00,5.000e-01,3.483e+00,1.084e+00,3.474e+00,8.731e-03,6.849e-04,0.000e+00,-5.643e-02,1.700e+00,0.000e+00,2.978e+00,1.834e+00,2.963e+00,1.451e-02,0.000e+00,0.000e+00,1.90
1500,1500,10054,6.279e+00,1.000e-01,1.200e+00,3.180e-01,3.739e+00,1.048e-01,1.494e-02,1.983e-01,1.000e+02,1.894e+00,1.200e+00,3.000e-01,3.784e+00,5.902e-01,3.778e+00,0.000e+00,6.282e-03,0.000e+00,-7.726e-01,1.400e+00,0.000e+00,2.316e+00,2.088e+00,2.315e+00,1.141e-03,0.000e+00,0.000e+00,1.50
1600,1600,10483,4.376e+00,1.000e-01,1.800e+00,2.153e-01,3.040e+00,6.098e-02,2.088e-02,1.335e-01,9.000e+01,2.431e+00,1.300e+00,7.000e-01,3.807e+00,3.755e-01,3.759e+00,3.390e-03,4.414e-02,0.000e+00,-2.007e+00,1.800e+00,3.000e-01,1.264e+00,1.871e+00,1.264e+00,3.858e-04,2.343e-04,0.000e+00,2.30
