episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
2300,2300,14231,6.045e+00,2.000e-01,1.800e+00,1.116e+00,1.372e+00,3.991e-01,3.508e-01,3.665e-01,9.000e+01,8.551e-01,7.000e-01,1.100e+00,1.372e+00,1.116e+00,1.371e+00,1.666e-04,2.534e-04,0.000e+00,2.20
2400,2400,14831,5.655e+00,0.000e+00,2.700e+00,1.950e-02,1.564e+00,0.000e+00,0.000e+00,1.950e-02,8.000e+01,4.498e-02,8.000e-01,1.800e+00,1.564e+00,1.950e-02,1.564e+00,3.176e-04,5.914e-04,0.000e+00,2.70
2500,2500,15416,3.852e+00,1.000e-01,2.900e+00,1.139e+00,1.987e+00,1.978e-01,4.273e-01,5.140e-01,6.000e+01,-1.452e+00,8.000e-01,1.700e+00,1.987e+00,1.139e+00,1.587e+00,8.613e-04,3.998e-01,0.000e+00,3.30
2600,2600,16026,5.043e+00,0.000e+00,2.900e+00,3.769e-02,1.395e+00,0.000e+00,0.000e+00,3.769e-02,7.000e+01,-7.431e-01,7.000e-01,1.200e+00,1.395e+00,3.769e-02,1.393e+00,7.667e-04,3.056e-04,0.000e+00,2.90
2700,2700,16635,6.363e+00,0.000e+00,2.400e+00,4.472e-01,1.984e+00,0.000e+00,2.532e-01,1.940e-01,9.000e+01,-3.631e-01,1.000e+00,1.300e+00,1.984e+00,4.472e-01,1.983e+00,2.500e-04,3.626e-04,0.000e+00,2.60
2800,2800,17228,4.065e+00,0.000e+00,2.900e+00,6.161e-02,1.197e+00,0.000e+00,5.703e-02,4.578e-03,6.000e+01,-5.651e-01,6.000e-01,1.400e+00,1.197e+00,6.161e-02,1.196e+00,7.159e-04,2.522e-04,0.000e+00,3.00
2900,2900,17823,5.911e+00,0.000e+00,2.300e+00,4.957e-03,1.594e+00,0.000e+00,0.000e+00,4.957e-03,8.000e+01,2.892e-01,8.000e-01,1.000e+00,1.594e+00,4.957e-03,1.594e+00,3.089e-04,1.217e-04,0.000e+00,2.30
3000,3000,18397,7.221e+00,0.000e+00,2.600e+00,2.439e-03,1.982e+00,0.000e+00,0.000e+00,2.439e-03,1.000e+02,1.792e-01,1.000e+00,1.100e+00,1.982e+00,2.439e-03,1.981e+00,3.968e-04,1.748e-04,0.000e+00,2.60
3100,3100,18942,6.337e+00,0.000e+00,2.600e+00,2.832e-02,1.791e+00,0.000e+00,2.669e-02,1.632e-03,9.000e+01,6.289e-02,9.000e-01,1.000e+00,1.791e+00,2.832e-02,1.790e+00,7.988e-04,2.501e-04,0.000e+00,2.70
3200,3200,19498,3.831e+00,0.000e+00,3.700e+00,2.361e-02,1.193e+00,0.000e+00,2.201e-02,1.595e-03,6.000e+01,-1.431e+00,6.000e-01,1.900e+00,1.193e+00,2.361e-02,1.192e+00,7.522e-04,4.073e-04,0.000e+00,3.80
3300,3300,20046,4.741e+00,0.000e+00,3.100e+00,3.606e-02,1.395e+00,0.000e+00,3.375e-02,2.308e-03,7.000e+01,-1.412e-01,7.000e-01,1.800e+00,1.395e+00,3.606e-02,1.394e+00,6.487e-04,2.161e-04,0.000e+00,3.20
3400,3400,20582,6.338e+00,1.000e-01,2.200e+00,1.035e+00,1.597e+00,1.982e-01,4.471e-02,7.922e-01,8.000e+01,-9.377e-01,8.000e-01,1.100e+00,1.597e+00,1.035e+00,1.597e+00,4.517e-04,1.978e-04,0.000e+00,2.50
3500,3500,21123,6.606e+00,0.000e+00,3.000e+00,4.419e-04,1.795e+00,0.000e+00,0.000e+00,4.419e-04,9.000e+01,9.408e-02,9.000e-01,1.300e+00,1.795e+00,4.419e-04,1.794e+00,4.512e-04,1.520e-04,0.000e+00,3.00
3600,3600,21696,6.506e+00,0.000e+00,2.900e+00,2.848e-04,1.795e+00,0.000e+00,0.000e+00,2.848e-04,9.000e+01,9.422e-02,9.000e-01,1.400e+00,1.795e+00,2.848e-04,1.794e+00,3.310e-04,1.486e-04,0.000e+00,2.90
3700,3700,22227,5.941e+00,0.000e+00,2.500e+00,3.571e-02,1.595e+00,0.000e+00,3.477e-02,9.402e-04,8.000e+01,-4.055e-02,8.000e-01,1.600e+00,1.595e+00,3.571e-02,1.595e+00,3.058e-05,1.528e-04,0.000e+00,2.60
3800,3800,22753,3.909e+00,0.000e+00,3.700e+00,1.012e-03,1.192e+00,0.000e+00,0.000e+00,1.012e-03,6.000e+01,-7.088e-01,6.000e-01,2.300e+00,1.192e+00,1.012e-03,1.192e+00,2.992e-04,1.615e-04,0.000e+00,3.70
3900,3900,23276,5.990e+00,2.000e-01,1.500e+00,7.834e-01,2.193e+00,3.896e-01,0.000e+00,3.938e-01,9.000e+01,1.110e+00,9.000e-01,8.000e-01,2.193e+00,7.834e-01,1.794e+00,0.000e+00,3.997e-01,0.000e+00,1.70
4000,4000,23803,6.010e+00,0.000e+00,2.100e+00,7.993e-04,1.591e+00,0.000e+00,0.000e+00,7.993e-04,8.000e+01,2.904e-01,8.000e-01,1.100e+00,1.591e+00,7.993e-04,1.591e+00,4.444e-05,4.785e-05,0.000e+00,2.10
4100,4100,24324,5.620e+00,0.000e+00,2.400e+00,1.015e-02,1.790e+00,0.000e+00,8.589e-03,1.562e-03,8.000e+01,8.003e-02,9.000e-01,9.000e-01,1.790e+00,1.015e-02,1.790e+00,1.304e-04,5.136e-05,0.000e+00,2.50
4200,4200,24872,6.410e+00,0.000e+00,2.700e+00,5.113e-04,1.790e+00,0.000e+00,0.000e+00,5.113e-04,9.000e+01,8.954e-02,9.000e-01,1.300e+00,1.790e+00,5.113e-04,1.790e+00,1.374e-04,7.127e-05,0.000e+00,2.70
4300,4300,25378,7.509e+00,0.000e+00,1.600e+00,3.140e-04,1.992e+00,0.000e+00,0.000e+00,3.140e-04,1.000e+02,6.913e-01,1.000e+00,4.000e-01,1.992e+00,3.140e-04,1.991e+00,8.072e-05,3.099e-05,0.000e+00,1.60
4400,4400,25933,5.936e+00,0.000e+00,2.700e+00,2.118e-04,1.565e+00,0.000e+00,0.000e+00,2.118e-04,8.000e+01,-3.356e-01,8.000e-01,1.100e+00,1.565e+00,2.118e-04,1.564e+00,5.877e-05,3.056e-05,0.000e+00,2.70
4500,4500,26464,8.271e+00,0.000e+00,2.400e+00,3.307e-03,1.032e+00,0.000e+00,3.159e-03,1.477e-04,1.000e+02,-8.713e-01,1.000e+00,1.200e+00,1.032e+00,3.307e-03,1.032e+00,1.931e-05,1.804e-05,0.000e+00,2.50
4600,4600,26967,6.467e+00,0.000e+00,3.000e+00,6.590e-03,5.396e-01,0.000e+00,5.990e-03,6.007e-04,8.000e+01,-1.267e+00,9.000e-01,1.500e+00,5.396e-01,6.590e-03,5.322e-01,7.386e-03,5.015e-07,0.000e+00,3.10
4700,4700,27463,7.091e+00,0.000e+00,2.500e+00,1.938e-04,1.209e+00,0.000e+00,0.000e+00,1.938e-04,9.000e+01,-5.907e-01,9.000e-01,1.000e+00,1.209e+00,1.938e-04,1.209e+00,7.048e-05,2.822e-05,0.000e+00,2.50
4800,4800,27948,7.097e+00,0.000e+00,2.400e+00,1.494e-04,1.403e+00,0.000e+00,0.000e+00,1.494e-04,9.000e+01,-5.970e-01,9.000e-01,1.000e+00,1.403e+00,1.494e-04,1.403e+00,5.736e-06,9.643e-05,0.000e+00,2.40
4900,4900,28447,6.804e+00,0.000e+00,1.900e+00,1.690e-04,1.796e+00,0.000e+00,0.000e+00,1.690e-04,9.000e+01,3.957e-01,9.000e-01,7.000e-01,1.796e+00,1.690e-04,1.796e+00,3.187e-05,2.035e-05,0.000e+00,1.90
5000,5000,28945,6.302e+00,0.000e+00,3.000e+00,3.280e-03,1.001e+00,0.000e+00,3.130e-03,1.493e-04,8.000e+01,-1.102e+00,8.000e-01,1.400e+00,1.001e+00,3.280e-03,1.001e+00,4.644e-05,2.818e-05,0.000e+00,3.10
5100,5100,29400,6.501e+00,0.000e+00,2.400e+00,1.457e-04,9.991e-01,0.000e+00,0.000e+00,1.457e-04,8.000e+01,-5.011e-01,8.000e-01,1.200e+00,9.991e-01,1.457e-04,9.991e-01,3.005e-06,1.312e-05,0.000e+00,2.40
5200,5200,29889,7.402e+00,0.000e+00,2.600e+00,8.278e-05,7.981e-01,0.000e+00,0.000e+00,8.278e-05,9.000e+01,-9.020e-01,9.000e-01,1.300e+00,7.981e-01,8.278e-05,7.980e-01,6.670e-05,1.234e-05,0.000e+00,2.60
5300,5300,30348,6.301e+00,0.000e+00,2.100e+00,6.196e-05,1.399e+00,0.000e+00,0.000e+00,6.196e-05,8.000e+01,9.892e-02,8.000e-01,8.000e-01,1.399e+00,6.196e-05,1.399e+00,9.698e-05,7.684e-06,0.000e+00,2.10
5400,5400,30796,8.096e+00,0.000e+00,2.100e+00,4.862e-05,1.204e+00,0.000e+00,0.000e+00,4.862e-05,1.000e+02,-1.956e-01,1.000e+00,7.000e-01,1.204e+00,4.862e-05,1.204e+00,2.907e-04,8.500e-05,0.000e+00,2.10
5500,5500,31258,5.286e+00,1.000e-01,2.100e+00,2.762e-01,2.590e+00,1.424e-01,0.000e+00,1.338e-01,8.000e+01,9.141e-01,9.000e-01,1.100e+00,2.590e+00,2.762e-01,1.799e+00,7.252e-08,7.913e-01,0.000e+00,2.20
5600,5600,31687,6.998e+00,0.000e+00,2.600e+00,2.047e-05,1.402e+00,0.000e+00,0.000e+00,2.047e-05,9.000e+01,1.893e-03,9.000e-01,1.000e+00,1.402e+00,2.047e-05,1.402e+00,2.322e-04,5.047e-05,0.000e+00,2.60
5700,5700,32142,8.100e+00,0.000e+00,1.200e+00,1.482e-05,1.800e+00,0.000e+00,0.000e+00,1.482e-05,1.000e+02,7.001e-01,1.000e+00,2.000e-01,1.800e+00,1.482e-05,1.800e+00,0.000e+00,1.222e-05,0.000e+00,1.20
5800,5800,32625,8.296e+00,0.000e+00,1.700e+00,5.162e-06,1.404e+00,0.000e+00,0.000e+00,5.162e-06,1.000e+02,1.036e-01,1.000e+00,5.000e-01,1.404e+00,5.162e-06,1.403e+00,1.469e-04,3.818e-05,0.000e+00,1.70
5900,5900,33072,8.297e+00,0.000e+00,2.100e+00,4.524e-06,1.203e+00,0.000e+00,0.000e+00,4.524e-06,1.000e+02,-1.974e-01,1.000e+00,9.000e-01,1.203e+00,4.524e-06,1.202e+00,1.891e-04,3.834e-05,0.000e+00,2.10
6000,6000,33482,7.801e+00,0.000e+00,1.200e+00,3.363e-06,1.999e+00,0.000e+00,0.000e+00,3.363e-06,1.000e+02,9.991e-01,1.000e+00,0.000e+00,1.999e+00,3.363e-06,1.999e+00,1.312e-04,0.000e+00,0.000e+00,1.20
6100,6100,33892,7.299e+00,0.000e+00,2.900e+00,4.097e-06,1.001e+00,0.000e+00,0.000e+00,4.097e-06,9.000e+01,-7.988e-01,9.000e-01,1.500e+00,1.001e+00,4.097e-06,1.001e+00,1.136e-04,2.914e-05,0.000e+00,2.90
6200,6200,34306,8.299e+00,0.000e+00,1.600e+00,2.524e-06,1.401e+00,0.000e+00,0.000e+00,2.524e-06,1.000e+02,1.007e-01,1.000e+00,5.000e-01,1.401e+00,2.524e-06,1.401e+00,3.199e-05,1.252e-05,0.000e+00,1.60
6300,6300,34707,7.499e+00,0.000e+00,2.800e+00,2.981e-06,8.008e-01,0.000e+00,0.000e+00,2.981e-06,9.000e+01,-9.992e-01,9.000e-01,1.000e+00,8.008e-01,2.981e-06,8.008e-01,5.461e-05,1.924e-05,0.000e+00,2.80
6400,6400,35100,8.101e+00,0.000e+00,1.700e+00,2.714e-06,1.599e+00,0.000e+00,0.000e+00,2.714e-06,1.000e+02,3.993e-01,1.000e+00,5.000e-01,1.599e+00,2.714e-06,1.599e+00,3.284e-05,3.890e-06,0.000e+00,1.70
6500,6500,35515,6.301e+00,0.000e+00,2.000e+00,2.579e-06,1.399e+00,0.000e+00,0.000e+00,2.579e-06,8.000e+01,2.994e-01,8.000e-01,1.100e+00,1.399e+00,2.579e-06,1.399e+00,1.543e-05,6.357e-06,0.000e+00,2.00
6600,6600,35913,7.901e+00,0.000e+00,1.600e+00,1.066e-06,1.799e+00,0.000e+00,0.000e+00,1.066e-06,1.000e+02,6.986e-01,1.000e+00,2.000e-01,1.799e+00,1.066e-06,1.799e+00,3.912e-05,8.369e-07,0.000e+00,1.60
6700,6700,36305,8.101e+00,0.000e+00,1.800e+00,6.021e-07,1.599e+00,0.000e+00,0.000e+00,6.021e-07,1.000e+02,3.992e-01,1.000e+00,5.000e-01,1.599e+00,6.021e-07,1.599e+00,2.602e-05,2.934e-06,0.000e+00,1.80
6800,6800,36683,7.301e+00,0.000e+00,1.900e+00,5.945e-07,1.199e+00,0.000e+00,0.000e+00,5.945e-07,9.000e+01,-3.006e-01,9.000e-01,6.000e-01,1.199e+00,5.945e-07,1.199e+00,1.425e-05,8.199e-06,0.000e+00,1.90
6900,6900,37079,7.902e+00,0.000e+00,2.100e+00,6.060e-07,1.598e+00,0.000e+00,0.000e+00,6.060e-07,1.000e+02,-2.346e-03,1.000e+00,6.000e-01,1.598e+00,6.060e-07,1.598e+00,2.357e-05,3.987e-06,0.000e+00,2.10
7000,7000,37445,7.904e+00,0.000e+00,1.800e+00,5.567e-07,1.796e+00,0.000e+00,0.000e+00,5.567e-07,1.000e+02,4.959e-01,1.000e+00,4.000e-01,1.796e+00,5.567e-07,1.796e+00,1.556e-05,5.915e-07,0.000e+00,1.80
7100,7100,37819,7.203e+00,1.000e-01,1.500e+00,9.081e-04,1.398e+00,9.076e-04,0.000e+00,5.244e-07,1.000e+02,1.297e+00,9.000e-01,6.000e-01,1.398e+00,9.081e-04,1.398e+00,5.346e-06,2.981e-06,0.000e+00,1.60
7200,7200,38180,7.714e+00,0.000e+00,1.800e+00,5.370e-07,1.786e+00,0.000e+00,0.000e+00,5.370e-07,1.000e+02,6.864e-01,1.000e+00,2.000e-01,1.786e+00,5.370e-07,1.786e+00,3.259e-05,1.903e-06,0.000e+00,1.80
7300,7300,38566,8.200e+00,0.000e+00,1.300e+00,4.761e-07,1.500e+00,0.000e+00,0.000e+00,4.761e-07,1.000e+02,3.001e-01,1.000e+00,2.000e-01,1.500e+00,4.761e-07,1.500e+00,1.641e-06,1.092e-06,0.000e+00,1.30
7400,7400,38908,7.401e+00,0.000e+00,1.800e+00,5.211e-07,1.199e+00,0.000e+00,0.000e+00,5.211e-07,9.000e+01,-1.008e-01,9.000e-01,8.000e-01,1.199e+00,5.211e-07,1.199e+00,2.008e-05,2.247e-05,0.000e+00,1.80
7500,7500,39243,8.004e+00,0.000e+00,2.000e+00,5.065e-07,1.396e+00,0.000e+00,0.000e+00,5.065e-07,1.000e+02,9.637e-02,1.000e+00,5.000e-01,1.396e+00,5.065e-07,1.396e+00,9.792e-05,1.256e-05,0.000e+00,2.00
7600,7600,39600,8.005e+00,0.000e+00,1.700e+00,4.726e-07,1.595e+00,0.000e+00,0.000e+00,4.726e-07,1.000e+02,1.953e-01,1.000e+00,4.000e-01,1.595e+00,4.726e-07,1.595e+00,2.908e-05,1.339e-05,0.000e+00,1.70
