episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,888,4.238e+00,1.500e+00,2.400e+00,1.705e+01,9.617e+00,5.417e+00,2.441e+00,9.197e+00,1.000e+01,1.999e+00,1.900e+00,2.000e+00,1.398e+01,8.979e+00,5.698e+00,2.186e+00,6.094e+00,0.000e+00,-9.030e+00,1.600e+00,1.900e+00,5.892e+00,1.232e+01,2.018e+00,1.134e+00,2.740e+00,0.000e+00,-9.008e+00,1.300e+00,1.500e+00,6.241e+00,1.225e+01,1.542e+00,2.884e+00,1.815e+00,0.000e+00,4.70
200,200,1792,-4.493e+00,1.300e+00,1.500e+00,4.585e+00,7.479e+00,1.449e+00,1.281e+00,1.855e+00,4.000e+01,7.787e+00,1.100e+00,1.500e+00,1.038e+01,1.494e+00,2.987e+00,3.154e+00,4.241e+00,0.000e+00,-4.509e+00,1.300e+00,1.100e+00,2.123e+00,5.232e+00,8.650e-01,6.846e-01,5.738e-01,0.000e+00,-3.785e+00,9.000e-01,1.000e+00,3.116e+00,6.001e+00,6.493e-01,1.757e+00,7.099e-01,0.000e+00,3.80
300,300,2703,-4.152e+00,1.200e+00,2.100e+00,8.107e+00,9.059e+00,1.868e+00,2.191e+00,4.048e+00,1.000e+01,3.142e+00,1.400e+00,2.000e+00,1.248e+01,6.236e+00,3.712e+00,3.183e+00,5.583e+00,0.000e+00,-5.617e+00,2.000e+00,9.000e-01,5.087e+00,7.704e+00,2.347e+00,1.730e+00,1.011e+00,0.000e+00,-4.073e+00,7.000e-01,1.900e+00,7.490e+00,1.016e+01,9.413e-01,3.928e+00,2.621e+00,0.000e+00,4.60
400,400,3654,-9.025e+00,1.100e+00,2.400e+00,3.064e+00,9.890e+00,7.067e-01,7.314e-01,1.626e+00,1.000e+01,7.297e+00,1.100e+00,2.800e+00,1.629e+01,5.789e+00,3.731e+00,2.887e+00,9.667e+00,0.000e+00,-3.364e+00,2.200e+00,9.000e-01,6.720e+00,6.784e+00,3.395e+00,2.161e+00,1.164e+00,0.000e+00,-5.908e+00,6.000e-01,8.000e-01,7.372e+00,1.098e+01,8.208e-01,5.762e+00,7.895e-01,0.000e+00,4.80
500,500,4575,-8.204e+00,1.200e+00,2.000e+00,2.148e+00,8.352e+00,6.163e-01,3.224e-01,1.209e+00,2.000e+01,8.554e+00,1.200e+00,2.200e+00,1.382e+01,3.262e+00,3.936e+00,2.556e+00,7.325e+00,0.000e+00,-2.312e+00,1.900e+00,1.500e+00,5.406e+00,5.018e+00,2.670e+00,9.352e-01,1.801e+00,0.000e+00,-6.338e+00,7.000e-01,5.000e-01,4.589e+00,9.327e+00,5.285e-01,3.769e+00,2.912e-01,0.000e+00,4.20
600,600,5500,-1.176e+01,1.500e+00,1.700e+00,1.938e+00,9.995e+00,6.060e-01,4.932e-01,8.386e-01,2.000e+01,9.778e+00,1.200e+00,2.500e+00,1.619e+01,3.614e+00,4.132e+00,3.476e+00,8.584e+00,0.000e+00,1.343e+00,2.300e+00,9.000e-01,7.327e+00,3.785e+00,3.955e+00,2.089e+00,1.283e+00,0.000e+00,-8.964e+00,4.000e-01,1.100e+00,3.664e+00,1.173e+01,2.685e-01,3.162e+00,2.338e-01,0.000e+00,4.80
700,700,6431,-6.466e+00,1.800e+00,1.500e+00,1.409e+00,4.975e+00,6.115e-01,2.917e-01,5.054e-01,3.000e+01,-4.898e-01,1.100e+00,2.100e+00,3.891e+00,3.681e+00,1.004e+00,1.173e+00,1.714e+00,0.000e+00,5.270e+00,2.000e+00,1.100e+00,9.641e+00,1.271e+00,5.299e+00,2.353e+00,1.990e+00,0.000e+00,-6.114e+00,1.400e+00,3.000e-01,2.677e+00,7.691e+00,4.671e-01,2.189e+00,2.014e-02,0.000e+00,4.50
800,800,7339,-2.605e+00,9.000e-01,2.200e+00,7.034e-01,2.508e+00,1.127e-01,1.811e-01,4.095e-01,2.000e+01,-2.908e+00,1.000e+00,2.700e+00,8.678e-01,7.757e-01,2.191e-01,1.242e-01,5.244e-01,0.000e+00,1.235e+00,2.200e+00,1.200e+00,4.822e+00,4.865e-01,3.591e+00,5.665e-01,6.646e-01,0.000e+00,-5.022e+00,1.100e+00,7.000e-01,5.036e-01,3.126e+00,1.734e-01,3.210e-01,9.250e-03,0.000e+00,4.50
900,900,8292,-4.697e+00,1.500e+00,1.900e+00,5.223e-01,1.720e+00,1.658e-01,1.197e-01,2.368e-01,3.000e+01,-1.906e+00,1.200e+00,2.200e+00,3.862e-01,3.920e-01,9.842e-02,1.081e-01,1.797e-01,0.000e+00,1.297e+00,2.100e+00,1.300e+00,2.548e+00,2.512e-01,2.037e+00,1.328e-01,3.781e-01,0.000e+00,-3.594e+00,1.700e+00,5.000e-01,2.254e-01,1.319e+00,7.233e-02,1.458e-01,7.321e-03,0.000e+00,4.90
1000,1000,9201,-8.177e+00,1.600e+00,2.300e+00,2.854e-01,5.362e+00,1.098e-01,4.852e-02,1.271e-01,1.000e+01,-3.796e+00,1.100e+00,2.500e+00,2.145e-01,3.105e-01,6.217e-02,4.469e-02,1.077e-01,0.000e+00,3.791e+00,2.800e+00,1.000e+00,6.137e+00,2.456e-01,5.249e+00,5.216e-01,3.659e-01,0.000e+00,-3.118e+00,1.100e+00,9.000e-01,2.282e-01,9.466e-01,7.721e-02,1.428e-01,8.215e-03,0.000e+00,4.90
