episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,1.809e+00,2.375e+00,-1.340e+00,-7.741e-01,2.375e+00,1.809e+00,-1.100e+00,-1.666e+00
2000,2000,20000,2.875e+00,2.993e+00,-1.040e+00,-9.214e-01,2.993e+00,2.875e+00,-9.800e-01,-1.099e+00
3000,3000,30000,2.996e+00,2.996e+00,-1.000e+00,-1.000e+00,2.996e+00,2.996e+00,-1.000e+00,-1.000e+00
4000,4000,40000,2.876e+00,2.993e+00,-1.040e+00,-9.226e-01,2.993e+00,2.876e+00,-9.800e-01,-1.097e+00
5000,5000,50000,2.248e+00,2.683e+00,-1.000e+00,-5.656e-01,2.683e+00,2.248e+00,-1.000e+00,-1.434e+00
6000,6000,60000,4.566e-01,1.311e-01,-1.000e+00,-1.325e+00,1.311e-01,4.566e-01,-1.000e+00,-6.745e-01
7000,7000,70000,2.258e+00,1.159e-02,-1.000e+00,-3.247e+00,1.159e-02,2.258e+00,-1.000e+00,1.247e+00
8000,8000,80000,3.073e-01,7.888e-03,-1.000e+00,-1.299e+00,7.888e-03,3.073e-01,-1.000e+00,-7.005e-01
9000,9000,90000,3.598e-02,9.315e-03,-1.000e+00,-1.027e+00,9.315e-03,3.598e-02,-1.000e+00,-9.733e-01
10000,10000,100000,1.540e-02,6.041e-03,-1.000e+00,-1.009e+00,6.041e-03,1.540e-02,-1.000e+00,-9.906e-01
11000,11000,110000,9.814e-03,2.726e-03,-9.800e-01,-9.871e-01,2.726e-03,9.814e-03,-1.040e+00,-1.033e+00
12000,12000,120000,4.461e-03,6.116e-02,-9.800e-01,-9.233e-01,6.116e-02,4.461e-03,-1.040e+00,-1.097e+00
13000,13000,130000,1.412e-03,9.462e-01,-1.000e+00,-5.523e-02,9.462e-01,1.412e-03,-1.000e+00,-1.945e+00
14000,14000,140000,7.996e-03,1.771e-01,-9.800e-01,-8.109e-01,1.771e-01,7.996e-03,-1.040e+00,-1.209e+00
15000,15000,150000,3.628e-01,2.572e+00,-1.040e+00,1.170e+00,2.572e+00,3.628e-01,-9.800e-01,-3.190e+00
16000,16000,160000,1.308e+00,1.348e-01,-1.080e+00,-2.253e+00,1.348e-01,1.308e+00,-9.600e-01,2.132e-01
17000,17000,170000,2.572e+00,2.707e+00,-1.000e+00,-8.653e-01,2.707e+00,2.572e+00,-1.000e+00,-1.135e+00
18000,18000,180000,9.528e-02,4.272e-01,-1.100e+00,-7.681e-01,4.272e-01,9.528e-02,-9.800e-01,-1.312e+00
19000,19000,190000,2.685e+00,2.053e+00,-8.200e-01,-1.452e+00,2.053e+00,2.685e+00,-1.480e+00,-8.484e-01
20000,20000,200000,2.044e+00,8.813e-01,-1.040e+00,-2.203e+00,8.813e-01,2.044e+00,-9.800e-01,1.826e-01
21000,21000,210000,5.790e-02,1.760e-01,-1.000e+00,-8.819e-01,1.760e-01,5.790e-02,-1.000e+00,-1.118e+00
22000,22000,220000,2.030e-02,2.440e-02,-9.000e-01,-8.959e-01,2.440e-02,2.030e-02,-1.200e+00,-1.204e+00
23000,23000,230000,1.049e+00,2.576e+00,-1.700e+00,-1.732e-01,2.576e+00,1.049e+00,-6.800e-01,-2.207e+00
24000,24000,240000,9.623e-01,2.826e+00,-1.000e+00,8.632e-01,2.826e+00,9.623e-01,-1.000e+00,-2.863e+00
25000,25000,250000,3.279e-02,6.218e-01,-1.000e+00,-4.110e-01,6.218e-01,3.279e-02,-1.000e+00,-1.589e+00
26000,26000,260000,1.587e+00,2.140e-01,-3.600e-01,-1.733e+00,2.140e-01,1.587e+00,-2.520e+00,-1.147e+00
27000,27000,270000,4.909e-01,2.921e-01,-2.000e-01,-3.988e-01,2.921e-01,4.909e-01,-2.600e+00,-2.401e+00
28000,28000,280000,1.833e-01,1.420e-01,-2.400e-01,-2.813e-01,1.420e-01,1.833e-01,-2.520e+00,-2.479e+00
29000,29000,290000,4.845e-02,1.837e-01,-3.400e-01,-2.047e-01,1.837e-01,4.845e-02,-2.500e+00,-2.635e+00
30000,30000,300000,2.021e+00,2.206e-01,-2.600e-01,-2.061e+00,2.206e-01,2.021e+00,-2.540e+00,-7.391e-01
