episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
500,500,3209,2.627e-01,3.200e+00,6.000e-01,1.800e+00,1.408e+00,4.346e+00,5.698e-01,4.233e-01,4.151e-01,7.000e+01,7.975e+00,6.486e-01,2.037e+00,-9.000e-01,1.600e+00,1.300e+00,4.346e+00,1.408e+00,2.952e+00,6.683e-01,7.257e-01,0.000e+00,5.044e+00,-3.456e-01,3.90
1000,1000,6453,2.289e+00,3.400e+00,4.000e-01,1.800e+00,6.887e-01,1.800e+00,5.591e-01,4.097e-02,8.869e-02,7.000e+01,6.395e+00,8.932e-01,1.111e+00,0.000e+00,9.000e-01,1.500e+00,1.800e+00,6.887e-01,1.633e+00,1.509e-01,1.618e-02,0.000e+00,4.981e+00,9.311e-02,3.20
1500,1500,9536,1.895e+00,7.000e-01,7.000e-01,1.400e+00,1.993e+00,7.987e-01,1.372e+00,4.046e-01,2.171e-01,7.000e+01,4.978e+00,3.967e-01,1.305e+00,2.500e+00,7.000e-01,1.300e+00,7.987e-01,1.993e+00,7.651e-01,2.355e-02,1.008e-02,0.000e+00,4.965e+00,8.164e-01,3.10
2000,2000,12666,3.498e+00,2.800e+00,8.000e-01,1.500e+00,2.233e+00,1.535e+00,1.556e+00,1.550e-03,6.757e-01,8.000e+01,5.131e+00,8.125e-01,1.702e+00,2.400e+00,1.000e+00,1.300e+00,1.535e+00,2.233e+00,1.285e+00,2.178e-01,3.175e-02,0.000e+00,4.604e+00,8.306e-01,2.80
2500,2500,15699,3.010e+00,2.100e+00,9.000e-01,1.200e+00,2.466e+00,1.556e+00,1.676e+00,1.991e-01,5.911e-01,9.000e+01,4.148e+00,7.100e-01,2.790e+00,3.700e+00,8.000e-01,1.600e+00,1.556e+00,2.466e+00,1.376e+00,1.812e-04,1.802e-01,0.000e+00,4.840e+00,1.106e+00,2.70
3000,3000,18732,2.141e+00,1.700e+00,7.000e-01,2.200e+00,3.200e+00,2.759e+00,1.396e+00,4.027e-01,1.401e+00,6.000e+01,7.776e+00,5.315e-01,-1.241e+00,-8.000e-01,1.000e+00,1.900e+00,2.759e+00,3.200e+00,1.417e+00,3.267e-01,1.015e+00,0.000e+00,6.957e+00,1.434e-01,3.80
3500,3500,21873,2.413e+00,1.200e+00,6.000e-01,1.800e+00,1.987e+00,7.739e-01,1.197e+00,8.033e-04,7.898e-01,7.000e+01,5.680e+00,6.891e-01,1.187e+00,2.400e+00,4.000e-01,2.300e+00,7.739e-01,1.987e+00,7.213e-01,1.755e-04,5.243e-02,0.000e+00,6.601e+00,1.034e+00,3.10
4000,4000,24952,1.512e+00,1.300e+00,5.000e-01,2.700e+00,1.201e+00,9.897e-01,9.992e-01,1.571e-04,2.021e-01,7.000e+01,7.371e+00,2.266e-01,2.188e+00,2.400e+00,4.000e-01,2.500e+00,9.897e-01,1.201e+00,7.761e-01,1.124e-02,2.023e-01,0.000e+00,7.244e+00,6.950e-01,3.40
4500,4500,28073,2.387e+00,2.000e-01,8.000e-01,2.000e+00,2.600e+00,4.127e-01,1.599e+00,6.328e-04,1.000e+00,8.000e+01,5.542e+00,-7.064e-02,2.513e+00,4.700e+00,2.000e-01,2.500e+00,4.127e-01,2.600e+00,3.972e-01,1.298e-02,2.553e-03,0.000e+00,7.344e+00,1.479e+00,3.10
5000,5000,31339,1.393e+00,1.200e+00,4.000e-01,2.700e+00,1.401e+00,1.208e+00,7.995e-01,2.009e-01,4.005e-01,6.000e+01,8.146e+00,3.868e-01,1.107e+00,1.300e+00,3.000e-01,3.200e+00,1.208e+00,1.401e+00,5.999e-01,1.976e-01,4.109e-01,0.000e+00,9.058e+00,1.619e-01,3.90
