episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,924,-1.266e+02,5.000e-01,3.700e+00,6.018e+00,1.320e+02,3.212e-01,2.287e-01,5.468e+00,2.000e+01,4.796e+01,1.600e+00,2.300e+00,5.605e+01,4.894e+00,2.040e+01,6.313e+00,2.934e+01,0.000e+00,3.517e+01,1.300e+00,7.000e-01,4.853e+01,1.196e+01,1.460e+01,2.626e+01,7.677e+00,0.000e+00,3.576e+01,1.100e+00,9.000e-01,4.988e+01,1.162e+01,1.235e+01,2.742e+01,1.011e+01,0.000e+00,4.40
200,200,1856,-1.449e+02,0.000e+00,4.300e+00,6.094e+00,1.500e+02,0.000e+00,2.746e-01,5.819e+00,0.000e+00,5.084e+01,1.400e+00,2.600e+00,6.015e+01,5.808e+00,1.680e+01,1.186e+01,3.149e+01,0.000e+00,4.110e+01,1.200e+00,1.000e+00,5.441e+01,1.032e+01,1.328e+01,3.048e+01,1.065e+01,0.000e+00,4.327e+01,7.000e-01,8.000e-01,5.779e+01,1.232e+01,8.098e+00,4.049e+01,9.202e+00,0.000e+00,5.00
300,300,2815,-1.294e+02,1.000e-01,4.500e+00,1.174e+01,1.410e+02,3.374e-02,3.895e-02,1.167e+01,1.000e+01,3.574e+01,7.000e-01,3.200e+00,5.205e+01,1.371e+01,7.817e+00,8.858e+00,3.537e+01,0.000e+00,3.971e+01,2.000e+00,8.000e-01,5.330e+01,9.792e+00,2.259e+01,2.165e+01,9.056e+00,0.000e+00,4.611e+01,5.000e-01,3.000e-01,5.751e+01,1.011e+01,5.803e+00,4.808e+01,3.627e+00,0.000e+00,4.70
400,400,3790,-1.236e+02,0.000e+00,4.900e+00,2.739e+01,1.500e+02,0.000e+00,4.680e-02,2.734e+01,0.000e+00,2.870e+01,9.000e-01,3.300e+00,5.842e+01,2.742e+01,1.045e+01,9.307e+00,3.866e+01,0.000e+00,3.961e+01,1.000e+00,6.000e-01,6.102e+01,1.891e+01,1.228e+01,4.144e+01,7.296e+00,0.000e+00,4.930e+01,1.000e-01,0.000e+00,6.077e+01,1.127e+01,1.121e+00,5.965e+01,0.000e+00,0.000e+00,5.00
500,500,4757,-1.312e+02,1.000e-01,4.700e+00,1.986e+01,1.500e+02,1.385e-02,1.285e-02,1.983e+01,0.000e+00,3.494e+01,1.000e-01,4.400e+00,5.733e+01,2.089e+01,1.122e+00,5.636e+00,5.058e+01,0.000e+00,4.475e+01,9.000e-01,4.000e-01,6.329e+01,1.664e+01,1.182e+01,4.650e+01,4.971e+00,0.000e+00,4.624e+01,0.000e+00,5.000e-01,5.807e+01,1.103e+01,0.000e+00,5.293e+01,5.134e+00,0.000e+00,5.00
600,600,5733,-1.313e+02,1.000e-01,4.800e+00,1.984e+01,1.500e+02,3.206e-03,1.691e-03,1.984e+01,0.000e+00,3.063e+01,2.000e-01,4.300e+00,5.391e+01,2.198e+01,2.172e+00,5.417e+00,4.632e+01,0.000e+00,4.591e+01,1.100e+00,6.000e-01,6.127e+01,1.317e+01,1.358e+01,4.049e+01,7.201e+00,0.000e+00,4.972e+01,0.000e+00,2.000e-01,6.008e+01,9.959e+00,0.000e+00,5.766e+01,2.419e+00,0.000e+00,5.00
700,700,6726,-1.212e+02,0.000e+00,5.000e+00,2.975e+01,1.500e+02,0.000e+00,0.000e+00,2.975e+01,0.000e+00,2.944e+01,1.000e-01,4.100e+00,5.176e+01,2.032e+01,1.015e+00,8.259e+00,4.248e+01,0.000e+00,4.563e+01,1.900e+00,6.000e-01,6.058e+01,1.185e+01,2.307e+01,3.029e+01,7.216e+00,0.000e+00,3.968e+01,1.000e-01,2.000e-01,5.132e+01,1.124e+01,1.001e+00,4.830e+01,2.015e+00,0.000e+00,5.00
800,800,7702,-1.252e+02,0.000e+00,4.900e+00,2.584e+01,1.500e+02,0.000e+00,3.777e-03,2.583e+01,0.000e+00,3.924e+01,3.000e-01,4.300e+00,5.608e+01,1.494e+01,3.428e+00,4.678e+00,4.797e+01,0.000e+00,3.835e+01,6.000e-01,5.000e-01,5.578e+01,1.553e+01,7.328e+00,4.287e+01,5.577e+00,0.000e+00,4.258e+01,1.000e-01,0.000e+00,5.455e+01,1.176e+01,1.007e+00,5.354e+01,0.000e+00,0.000e+00,5.00
900,900,8696,-1.230e+02,1.000e-01,4.900e+00,2.810e+01,1.500e+02,4.390e-02,0.000e+00,2.806e+01,0.000e+00,3.877e+01,5.000e-01,2.800e+00,5.193e+01,1.076e+01,5.255e+00,1.765e+01,2.903e+01,0.000e+00,3.761e+01,1.300e+00,8.000e-01,5.172e+01,1.171e+01,1.327e+01,3.039e+01,8.055e+00,0.000e+00,4.052e+01,1.000e-01,0.000e+00,5.115e+01,1.044e+01,1.001e+00,5.015e+01,0.000e+00,0.000e+00,5.00
1000,1000,9693,-1.281e+02,1.000e-01,4.900e+00,2.300e+01,1.500e+02,8.062e-03,0.000e+00,2.299e+01,0.000e+00,3.164e+01,3.000e-01,4.400e+00,5.352e+01,2.048e+01,3.173e+00,3.385e+00,4.696e+01,0.000e+00,4.547e+01,1.000e+00,2.000e-01,6.063e+01,1.286e+01,1.218e+01,4.621e+01,2.238e+00,0.000e+00,4.558e+01,3.000e-01,0.000e+00,5.743e+01,1.124e+01,3.095e+00,5.433e+01,0.000e+00,0.000e+00,5.00
1100,1100,10678,-1.240e+02,0.000e+00,5.000e+00,2.696e+01,1.500e+02,0.000e+00,0.000e+00,2.696e+01,0.000e+00,2.591e+01,2.000e-01,4.100e+00,5.124e+01,2.383e+01,2.105e+00,7.230e+00,4.191e+01,0.000e+00,4.595e+01,2.900e+00,5.000e-01,6.001e+01,1.127e+01,3.474e+01,1.927e+01,5.997e+00,0.000e+00,4.668e+01,0.000e+00,1.000e-01,5.733e+01,1.045e+01,0.000e+00,5.631e+01,1.018e+00,0.000e+00,5.00
1200,1200,11671,-1.211e+02,0.000e+00,5.000e+00,2.989e+01,1.500e+02,0.000e+00,0.000e+00,2.989e+01,0.000e+00,2.596e+01,2.000e-01,4.400e+00,5.074e+01,2.338e+01,2.026e+00,4.056e+00,4.465e+01,0.000e+00,4.766e+01,4.200e+00,5.000e-01,5.995e+01,1.090e+01,5.039e+01,3.610e+00,5.959e+00,0.000e+00,4.349e+01,1.000e-01,0.000e+00,5.390e+01,1.021e+01,1.009e+00,5.289e+01,0.000e+00,0.000e+00,5.00
