episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
500,500,3152,3.489e+00,4.200e+00,7.000e-01,1.800e+00,1.438e+00,2.150e+00,9.252e-01,2.545e-01,2.587e-01,8.000e+01,6.236e+00,8.184e-01,8.112e-01,1.000e-01,1.100e+00,8.000e-01,2.150e+00,1.438e+00,1.471e+00,5.393e-01,1.388e-01,0.000e+00,4.094e+00,2.301e-01,3.30
1000,1000,6167,3.682e+00,5.100e+00,1.300e+00,1.300e+00,2.138e+00,3.556e+00,2.061e+00,3.025e-02,4.700e-02,9.000e+01,4.716e+00,9.802e-01,1.418e+00,0.000e+00,1.900e+00,5.000e-01,3.556e+00,2.138e+00,3.243e+00,1.836e-01,1.292e-01,0.000e+00,2.504e+00,-6.603e-02,3.30
1500,1500,9036,2.309e+00,2.100e+00,2.300e+00,6.000e-01,4.425e+00,4.216e+00,4.376e+00,3.073e-02,1.862e-02,7.000e+01,2.833e+00,4.383e-01,6.910e-01,9.000e-01,2.300e+00,5.000e-01,4.216e+00,4.425e+00,4.212e+00,3.308e-03,1.040e-03,0.000e+00,2.438e+00,5.831e-01,3.40
2000,2000,11812,1.232e+00,-1.000e-01,1.700e+00,2.000e-01,3.116e+00,1.783e+00,3.114e+00,4.449e-04,1.153e-03,9.000e+01,8.837e-01,1.140e-01,6.168e+00,7.500e+00,1.000e+00,9.000e-01,1.783e+00,3.116e+00,1.780e+00,5.181e-05,3.546e-03,0.000e+00,2.627e+00,2.646e+00,2.10
2500,2500,14555,3.890e+00,2.900e+00,2.600e+00,6.000e-01,4.959e+00,3.969e+00,4.958e+00,1.732e-04,1.002e-03,6.000e+01,1.787e+00,1.005e+00,-1.898e-01,8.000e-01,2.500e+00,4.000e-01,3.969e+00,4.959e+00,3.969e+00,2.752e-05,1.319e-05,0.000e+00,1.571e+00,6.107e-02,3.30
3000,3000,17558,1.542e+00,7.000e-01,2.600e+00,4.000e-01,4.586e+00,3.744e+00,4.585e+00,8.354e-04,1.537e-04,5.000e+01,1.471e+00,4.430e-01,6.582e-01,1.500e+00,2.300e+00,6.000e-01,3.744e+00,4.586e+00,3.744e+00,1.468e-05,1.190e-05,0.000e+00,2.142e+00,4.172e-01,3.30
3500,3500,20628,1.924e+00,1.100e+00,3.200e+00,2.000e-01,6.390e+00,5.565e+00,6.383e+00,0.000e+00,6.852e-03,5.000e+01,5.984e-01,6.526e-01,1.476e+00,2.300e+00,3.000e+00,3.000e-01,5.565e+00,6.390e+00,5.565e+00,2.508e-06,5.196e-06,0.000e+00,9.000e-01,1.089e+00,3.40
4000,4000,23778,7.965e-01,9.000e-01,3.600e+00,3.000e-01,5.902e+00,6.006e+00,5.902e+00,0.000e+00,1.551e-05,4.000e+01,8.269e-01,5.598e-01,1.103e+00,1.000e+00,3.400e+00,3.000e-01,6.006e+00,5.902e+00,6.006e+00,3.392e-05,1.718e-05,0.000e+00,1.029e+00,3.889e-01,3.90
4500,4500,26641,3.243e+00,4.800e+00,1.500e+00,7.000e-01,1.409e+00,2.965e+00,1.409e+00,0.000e+00,1.054e-05,9.000e+01,2.304e+00,1.599e+00,3.457e+00,1.900e+00,1.700e+00,4.000e-01,2.965e+00,1.409e+00,2.965e+00,1.023e-05,1.540e-05,0.000e+00,1.225e+00,8.640e-01,2.20
5000,5000,28919,6.354e+00,6.800e+00,1.900e+00,9.000e-01,3.589e+00,4.035e+00,3.578e+00,0.000e+00,1.109e-02,1.000e+02,3.110e+00,1.901e+00,1.646e+00,1.200e+00,2.300e+00,2.000e-01,4.035e+00,3.589e+00,4.035e+00,1.265e-05,1.384e-06,0.000e+00,9.282e-01,6.649e-01,2.80
5500,5500,31502,6.356e+00,7.000e+00,1.100e+00,1.100e+00,1.953e+00,2.598e+00,1.953e+00,0.000e+00,7.329e-04,1.000e+02,3.227e+00,2.012e+00,1.544e+00,9.000e-01,1.600e+00,4.000e-01,2.598e+00,1.953e+00,2.598e+00,6.357e-10,2.293e-06,0.000e+00,1.286e+00,6.417e-01,2.20
6000,6000,34261,7.238e+00,8.100e+00,2.000e+00,9.000e-01,3.937e+00,4.799e+00,3.936e+00,0.000e+00,1.175e-03,9.000e+01,2.999e+00,2.586e+00,-1.379e-01,-1.000e+00,2.700e+00,0.000e+00,4.799e+00,3.937e+00,4.799e+00,1.392e-05,0.000e+00,0.000e+00,2.571e-01,-1.556e-01,2.90
6500,6500,36934,4.120e+00,5.000e+00,2.100e+00,6.000e-01,4.127e+00,5.007e+00,4.117e+00,1.406e-03,8.198e-03,9.000e+01,2.413e+00,1.356e+00,3.080e+00,2.200e+00,2.500e+00,3.000e-01,5.007e+00,4.127e+00,4.996e+00,0.000e+00,1.054e-02,0.000e+00,7.718e-01,1.127e+00,2.80
7000,7000,39826,4.621e+00,5.000e+00,1.800e+00,8.000e-01,3.228e+00,3.607e+00,3.228e+00,0.000e+00,1.411e-05,9.000e+01,2.515e+00,1.474e+00,2.479e+00,2.100e+00,2.100e+00,4.000e-01,3.607e+00,3.228e+00,3.607e+00,6.236e-12,7.039e-07,0.000e+00,1.157e+00,1.089e+00,2.60
7500,7500,42543,5.382e+00,6.000e+00,2.000e+00,7.000e-01,4.181e+00,4.799e+00,3.931e+00,0.000e+00,2.500e-01,1.000e+02,2.771e+00,1.650e+00,2.918e+00,2.300e+00,2.400e+00,3.000e-01,4.799e+00,4.181e+00,4.799e+00,0.000e+00,3.372e-07,0.000e+00,7.714e-01,1.167e+00,2.70
8000,8000,45629,2.862e+00,4.000e+00,3.700e+00,5.000e-01,7.045e+00,8.183e+00,7.041e+00,0.000e+00,4.412e-03,6.000e+01,2.198e+00,1.053e+00,1.238e+00,1.000e-01,4.100e+00,1.000e-01,8.183e+00,7.045e+00,8.183e+00,0.000e+00,6.682e-09,0.000e+00,2.571e-01,3.889e-01,4.20
8500,8500,48569,7.759e+00,7.000e+00,2.400e+00,8.000e-01,5.120e+00,4.361e+00,4.538e+00,0.000e+00,5.823e-01,9.000e+01,2.904e+00,2.051e+00,-6.593e-01,1.000e-01,2.900e+00,1.000e-01,4.361e+00,5.120e+00,4.361e+00,7.494e-05,1.128e-08,0.000e+00,5.143e-01,2.333e-01,3.20
9000,9000,51694,3.470e+00,4.000e+00,3.000e+00,5.000e-01,5.850e+00,6.380e+00,5.850e+00,0.000e+00,3.787e-05,8.000e+01,2.139e+00,1.052e+00,2.630e+00,2.100e+00,3.200e+00,3.000e-01,6.380e+00,5.850e+00,6.380e+00,0.000e+00,3.704e-07,0.000e+00,8.773e-01,9.694e-01,3.50
9500,9500,54636,3.248e+00,5.100e+00,1.400e+00,6.000e-01,1.339e+00,3.191e+00,1.339e+00,0.000e+00,6.971e-07,1.000e+02,2.112e+00,1.614e+00,5.252e+00,3.400e+00,1.600e+00,4.000e-01,3.191e+00,1.339e+00,3.191e+00,0.000e+00,1.029e-10,0.000e+00,1.029e+00,1.556e+00,2.00
10000,10000,57531,2.080e+00,4.000e+00,3.000e+00,5.000e-01,4.676e+00,6.596e+00,4.676e+00,1.258e-04,2.518e-04,8.000e+01,2.328e+00,9.555e-01,4.020e+00,2.100e+00,3.300e+00,3.000e-01,6.596e+00,4.676e+00,6.596e+00,0.000e+00,2.878e-08,0.000e+00,7.966e-01,1.058e+00,3.60
10500,10500,60422,3.116e+00,4.000e+00,2.600e+00,5.000e-01,4.715e+00,5.598e+00,4.714e+00,0.000e+00,3.250e-04,8.000e+01,2.028e+00,1.153e+00,3.184e+00,2.300e+00,2.800e+00,3.000e-01,5.598e+00,4.715e+00,5.598e+00,0.000e+00,1.766e-11,0.000e+00,7.714e-01,1.167e+00,3.10
11000,11000,63252,3.060e+00,4.100e+00,2.000e+00,5.000e-01,2.156e+00,3.197e+00,2.156e+00,0.000e+00,5.928e-09,9.000e+01,1.799e+00,1.346e+00,4.240e+00,3.200e+00,2.000e+00,4.000e-01,3.197e+00,2.156e+00,3.197e+00,4.346e-05,3.482e-09,0.000e+00,1.213e+00,1.332e+00,2.50
11500,11500,66164,1.988e+00,2.000e+00,2.600e+00,3.000e-01,3.588e+00,3.600e+00,3.588e+00,0.000e+00,7.424e-11,9.000e+01,1.286e+00,6.377e-01,5.212e+00,5.200e+00,2.200e+00,6.000e-01,3.600e+00,3.588e+00,3.599e+00,4.270e-04,1.403e-04,0.000e+00,1.885e+00,1.861e+00,2.90
12000,12000,68864,6.003e+00,6.000e+00,2.700e+00,7.000e-01,5.205e+00,5.202e+00,5.205e+00,0.000e+00,1.026e-05,1.000e+02,2.771e+00,1.669e+00,2.097e+00,2.100e+00,3.000e+00,3.000e-01,5.202e+00,5.205e+00,5.200e+00,4.483e-04,1.971e-03,0.000e+00,1.060e+00,8.485e-01,3.40
12500,12500,71661,5.423e+00,7.000e+00,3.500e+00,8.000e-01,6.823e+00,8.399e+00,6.821e+00,0.000e+00,2.174e-03,9.000e+01,3.714e+00,1.564e+00,1.677e+00,1.000e-01,4.200e+00,1.000e-01,8.399e+00,6.823e+00,8.399e+00,0.000e+00,3.351e-14,0.000e+00,2.571e-01,3.889e-01,4.30
13000,13000,74332,2.175e+00,3.000e+00,2.300e+00,4.000e-01,3.375e+00,4.200e+00,3.375e+00,0.000e+00,1.886e-04,1.000e+02,1.829e+00,7.982e-01,6.225e+00,5.400e+00,2.100e+00,6.000e-01,4.200e+00,3.375e+00,4.200e+00,0.000e+00,2.183e-04,0.000e+00,1.645e+00,2.144e+00,2.70
13500,13500,76624,1.251e+00,2.800e+00,1.800e+00,6.000e-01,1.249e+00,2.798e+00,1.249e+00,0.000e+00,3.175e-06,1.000e+02,2.399e+00,6.535e-01,6.549e+00,5.000e+00,1.600e+00,8.000e-01,2.798e+00,1.249e+00,2.798e+00,0.000e+00,1.257e-04,0.000e+00,2.201e+00,2.043e+00,2.40
14000,14000,78653,1.742e+00,1.000e+00,1.500e+00,2.000e-01,2.145e+00,1.403e+00,1.765e+00,0.000e+00,3.803e-01,1.000e+02,8.000e-01,4.523e-01,6.758e+00,7.500e+00,7.000e-01,8.000e-01,1.403e+00,2.145e+00,1.200e+00,2.029e-01,9.764e-14,0.000e+00,2.404e+00,2.701e+00,1.70
14500,14500,80497,6.846e-01,1.000e+00,1.400e+00,2.000e-01,1.284e+00,1.600e+00,9.650e-01,0.000e+00,3.195e-01,1.000e+02,8.571e-01,4.200e-01,8.115e+00,7.800e+00,8.000e-01,8.000e-01,1.600e+00,1.284e+00,1.600e+00,0.000e+00,4.061e-14,0.000e+00,2.057e+00,3.111e+00,1.60
15000,15000,82198,-2.271e-01,0.000e+00,1.800e+00,1.000e-01,1.777e+00,2.004e+00,1.777e+00,0.000e+00,6.964e-07,1.000e+02,4.286e-01,2.100e-01,8.727e+00,8.500e+00,1.000e+00,9.000e-01,2.004e+00,1.777e+00,2.000e+00,0.000e+00,3.846e-03,0.000e+00,2.453e+00,3.206e+00,1.90
15500,15500,83777,-1.212e+00,-1.000e+00,1.300e+00,0.000e+00,1.883e-01,4.002e-01,1.883e-01,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.001e+01,9.800e+00,2.000e-01,1.000e+00,4.002e-01,1.883e-01,3.999e-01,2.882e-04,2.491e-10,0.000e+00,2.705e+00,3.676e+00,1.30
16000,16000,85306,-1.544e+00,-1.000e+00,1.300e+00,0.000e+00,1.565e-02,5.596e-01,1.565e-02,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.024e+01,9.700e+00,3.000e-01,1.000e+00,5.596e-01,1.565e-02,5.596e-01,0.000e+00,5.759e-11,0.000e+00,2.572e+00,3.771e+00,1.30
16500,16500,86903,-1.791e+00,-1.000e+00,1.300e+00,0.000e+00,8.907e-03,8.000e-01,8.907e-03,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.059e+01,9.800e+00,3.000e-01,1.000e+00,8.000e-01,8.907e-03,6.000e-01,0.000e+00,2.000e-01,0.000e+00,2.572e+00,3.810e+00,1.30
17000,17000,88720,-7.209e-01,1.000e-01,1.500e+00,1.000e-01,1.179e+00,2.000e+00,1.179e+00,0.000e+00,6.302e-11,9.000e+01,2.571e-01,3.889e-01,8.421e+00,7.600e+00,8.000e-01,8.000e-01,2.000e+00,1.179e+00,1.600e+00,0.000e+00,4.000e-01,0.000e+00,2.067e+00,3.021e+00,1.60
17500,17500,90743,-6.182e+00,-1.000e+00,2.800e+00,0.000e+00,1.716e-02,5.199e+00,1.716e-02,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.418e+01,9.000e+00,1.700e+00,1.000e+00,5.199e+00,1.716e-02,3.399e+00,2.000e-01,1.600e+00,0.000e+00,2.704e+00,3.406e+00,2.80
18000,18000,93026,-2.225e+00,2.000e+00,2.600e+00,3.000e-01,1.375e+00,5.600e+00,1.375e+00,0.000e+00,1.722e-09,1.000e+02,1.286e+00,6.376e-01,1.032e+01,6.100e+00,2.200e+00,7.000e-01,5.600e+00,1.375e+00,4.400e+00,0.000e+00,1.200e+00,0.000e+00,1.891e+00,2.380e+00,2.90
18500,18500,95556,-1.570e-01,1.100e+00,2.300e+00,2.000e-01,3.113e+00,4.370e+00,3.113e+00,0.000e+00,1.404e-04,9.000e+01,7.429e-01,5.742e-01,7.657e+00,6.400e+00,1.700e+00,7.000e-01,4.370e+00,3.113e+00,3.400e+00,1.795e-01,7.902e-01,0.000e+00,2.140e+00,2.270e+00,2.50
19000,19000,98105,-7.786e-01,1.000e+00,2.700e+00,2.000e-01,3.421e+00,5.200e+00,3.421e+00,0.000e+00,3.394e-06,8.000e+01,9.714e-01,3.706e-01,7.079e+00,5.300e+00,2.300e+00,6.000e-01,5.200e+00,3.421e+00,4.600e+00,0.000e+00,6.000e-01,0.000e+00,1.546e+00,2.213e+00,2.90
19500,19500,100754,-9.700e-02,2.000e+00,3.100e+00,3.000e-01,4.303e+00,6.400e+00,4.221e+00,0.000e+00,8.197e-02,7.000e+01,1.343e+00,6.129e-01,5.297e+00,3.200e+00,3.000e+00,4.000e-01,6.400e+00,4.303e+00,6.000e+00,0.000e+00,4.000e-01,0.000e+00,1.030e+00,1.476e+00,3.40
20000,20000,103323,-2.324e+00,-1.000e-01,2.900e+00,2.000e-01,3.762e+00,5.986e+00,3.762e+00,0.000e+00,1.345e-11,7.000e+01,6.857e-01,1.167e-01,7.124e+00,4.900e+00,2.400e+00,7.000e-01,5.986e+00,3.762e+00,4.786e+00,0.000e+00,1.200e+00,0.000e+00,1.912e+00,1.897e+00,3.10
20500,20500,105810,-1.004e+00,0.000e+00,2.000e+00,1.000e-01,1.399e+00,2.404e+00,1.399e+00,0.000e+00,5.920e-09,1.000e+02,4.286e-01,2.100e-01,9.204e+00,8.200e+00,1.200e+00,9.000e-01,2.404e+00,1.399e+00,2.400e+00,0.000e+00,3.736e-03,0.000e+00,2.350e+00,3.185e+00,2.10
21000,21000,108352,1.122e+00,2.900e+00,2.800e+00,6.000e-01,3.622e+00,5.400e+00,3.610e+00,0.000e+00,1.276e-02,9.000e+01,2.800e+00,7.178e-01,5.778e+00,4.000e+00,2.700e+00,7.000e-01,5.400e+00,3.622e+00,5.400e+00,0.000e+00,1.793e-05,0.000e+00,2.031e+00,1.759e+00,3.40
21500,21500,110926,-1.417e+00,-1.200e+00,2.300e+00,1.000e-01,2.383e+00,2.600e+00,2.383e+00,0.000e+00,2.679e-09,9.000e+01,3.714e-01,-8.077e-02,8.117e+00,7.900e+00,1.400e+00,1.000e+00,2.600e+00,2.383e+00,2.600e+00,0.000e+00,1.256e-07,0.000e+00,2.742e+00,2.966e+00,2.40
22000,22000,113359,1.913e-01,1.000e+00,2.000e+00,2.000e-01,1.991e+00,2.800e+00,1.991e+00,0.000e+00,1.022e-07,1.000e+02,8.571e-01,4.200e-01,8.009e+00,7.200e+00,1.400e+00,8.000e-01,2.800e+00,1.991e+00,2.800e+00,0.000e+00,6.984e-10,0.000e+00,2.058e+00,2.877e+00,2.20
22500,22500,116027,1.167e+00,3.000e+00,2.600e+00,4.000e-01,3.166e+00,5.000e+00,3.166e+00,0.000e+00,1.025e-06,9.000e+01,1.771e+00,8.229e-01,6.033e+00,4.200e+00,2.500e+00,5.000e-01,5.000e+00,3.166e+00,5.000e+00,0.000e+00,7.049e-11,0.000e+00,1.286e+00,1.828e+00,3.00
23000,23000,118603,4.686e-01,1.800e+00,2.500e+00,4.000e-01,2.669e+00,4.000e+00,2.669e+00,0.000e+00,2.269e-06,1.000e+02,1.714e+00,5.245e-01,7.231e+00,5.900e+00,2.100e+00,8.000e-01,4.000e+00,2.669e+00,4.000e+00,0.000e+00,6.247e-11,0.000e+00,2.163e+00,2.251e+00,2.90
23500,23500,121022,8.072e-01,2.000e+00,2.100e+00,3.000e-01,2.207e+00,3.400e+00,2.207e+00,0.000e+00,1.014e-05,1.000e+02,1.286e+00,6.376e-01,7.393e+00,6.200e+00,1.700e+00,7.000e-01,3.400e+00,2.207e+00,3.400e+00,0.000e+00,3.332e-14,0.000e+00,1.802e+00,2.525e+00,2.40
24000,24000,123346,-8.101e-01,-2.000e-01,1.700e+00,2.000e-01,1.190e+00,1.800e+00,1.190e+00,0.000e+00,4.960e-10,1.000e+02,6.857e-01,2.056e-01,8.810e+00,8.200e+00,9.000e-01,1.000e+00,1.800e+00,1.190e+00,1.800e+00,0.000e+00,5.645e-15,0.000e+00,2.685e+00,3.044e+00,1.90
24500,24500,125781,4.786e-02,1.900e+00,2.200e+00,4.000e-01,2.347e+00,4.200e+00,2.347e+00,0.000e+00,1.733e-06,1.000e+02,1.771e+00,5.151e-01,7.952e+00,6.100e+00,1.800e+00,8.000e-01,4.200e+00,2.347e+00,3.600e+00,0.000e+00,5.996e-01,0.000e+00,2.279e+00,2.362e+00,2.60
25000,25000,128069,-1.336e+00,-1.000e+00,1.800e+00,0.000e+00,1.264e+00,1.600e+00,1.264e+00,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,9.536e+00,9.200e+00,8.000e-01,1.000e+00,1.600e+00,1.264e+00,1.600e+00,0.000e+00,1.722e-14,0.000e+00,2.571e+00,3.578e+00,1.80
