episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,889,4.076e+00,9.000e-01,1.700e+00,1.804e+01,1.116e+01,3.119e+00,8.974e+00,5.944e+00,0.000e+00,2.825e+00,1.000e+00,2.400e+00,1.702e+01,1.100e+01,3.476e+00,5.353e+00,8.193e+00,0.000e+00,-8.927e+00,7.000e-01,3.600e+00,6.770e+00,1.330e+01,6.839e-01,9.958e-01,5.090e+00,0.000e+00,-1.017e+01,1.400e+00,1.800e+00,9.516e+00,1.589e+01,2.832e+00,3.153e+00,3.531e+00,0.000e+00,5.00
200,200,1838,8.416e+00,1.400e+00,7.000e-01,2.434e+01,1.322e+01,7.263e+00,1.427e+01,2.803e+00,2.000e+01,4.597e+00,1.500e+00,1.800e+00,1.816e+01,1.096e+01,5.827e+00,5.353e+00,6.980e+00,0.000e+00,-6.650e+00,6.000e-01,4.100e+00,9.978e+00,1.683e+01,1.186e+00,1.998e-01,8.592e+00,0.000e+00,-1.376e+01,1.100e+00,9.000e-01,7.237e+00,1.870e+01,1.856e+00,3.741e+00,1.640e+00,0.000e+00,4.80
300,300,2772,6.377e+00,7.000e-01,1.000e+00,2.220e+01,1.343e+01,2.472e+00,1.687e+01,2.860e+00,0.000e+00,-5.016e+00,1.800e+00,2.000e+00,9.870e+00,1.149e+01,3.922e+00,2.079e+00,3.869e+00,0.000e+00,-5.820e+00,5.000e-01,4.100e+00,1.247e+01,1.599e+01,6.062e-01,2.795e-01,1.158e+01,0.000e+00,-7.241e+00,1.900e+00,1.400e+00,1.246e+01,1.610e+01,4.661e+00,4.066e+00,3.732e+00,0.000e+00,5.00
400,400,3663,-8.967e+00,6.000e-01,1.100e+00,3.369e+00,1.004e+01,3.711e-01,2.641e+00,3.567e-01,0.000e+00,-6.994e+00,2.400e+00,1.400e+00,5.003e+00,9.497e+00,2.624e+00,1.316e+00,1.063e+00,0.000e+00,5.139e+00,5.000e-01,4.200e+00,1.548e+01,8.237e+00,2.615e-01,2.567e-01,1.496e+01,0.000e+00,1.217e-01,1.600e+00,2.100e+00,1.157e+01,7.648e+00,3.515e+00,2.967e+00,5.088e+00,0.000e+00,5.00
500,500,4590,-9.111e+00,1.400e+00,1.200e+00,1.043e+00,6.554e+00,3.164e-01,5.572e-01,1.695e-01,3.000e+01,-1.761e-01,1.500e+00,2.100e+00,5.262e+00,2.738e+00,2.261e+00,1.005e+00,1.996e+00,0.000e+00,-1.297e+00,4.000e-01,3.900e+00,2.240e+00,5.037e+00,7.548e-03,2.524e-03,2.230e+00,0.000e+00,2.284e+00,1.600e+00,1.500e+00,7.995e+00,2.211e+00,3.268e+00,1.831e+00,2.896e+00,0.000e+00,4.50
600,600,5520,3.840e-01,1.500e+00,4.000e-01,1.671e+01,1.433e+01,5.185e+00,1.047e+01,1.054e+00,3.000e+01,2.702e+00,9.000e-01,2.100e+00,1.284e+01,7.538e+00,3.206e+00,3.349e+00,6.284e+00,0.000e+00,-1.894e+00,3.000e-01,3.600e+00,7.637e+00,1.083e+01,7.354e-02,1.058e-01,7.458e+00,0.000e+00,-7.591e+00,1.500e+00,1.300e+00,5.137e+00,9.628e+00,2.168e+00,1.408e+00,1.562e+00,0.000e+00,4.10
700,700,6452,5.080e+00,1.000e+00,1.100e+00,2.778e+01,1.970e+01,5.533e+00,1.717e+01,5.075e+00,0.000e+00,1.068e+01,2.000e+00,1.700e+00,2.300e+01,9.418e+00,1.035e+01,4.940e+00,7.706e+00,0.000e+00,-2.153e+00,1.000e-01,4.800e+00,1.556e+01,1.641e+01,2.058e-02,1.447e-01,1.539e+01,0.000e+00,-2.371e+01,1.000e+00,3.300e+00,1.316e+00,2.212e+01,3.600e-01,1.352e-01,8.203e-01,0.000e+00,5.00
800,800,7366,1.376e+01,1.500e+00,4.000e-01,2.300e+01,7.435e+00,8.447e+00,1.249e+01,2.061e+00,3.000e+01,-6.008e-01,1.600e+00,1.300e+00,9.848e+00,7.949e+00,5.302e+00,1.785e+00,2.761e+00,0.000e+00,-7.729e-01,1.000e-01,3.800e+00,8.965e+00,1.054e+01,4.681e-03,6.221e-02,8.898e+00,0.000e+00,-1.689e+01,7.000e-01,2.600e+00,2.269e+00,1.816e+01,5.575e-01,2.011e-01,1.510e+00,0.000e+00,4.00
900,900,8303,8.270e+00,6.000e-01,4.000e-01,2.729e+01,1.732e+01,3.337e+00,2.200e+01,1.949e+00,1.000e+01,-9.878e+00,2.600e+00,1.400e+00,1.762e+00,9.439e+00,7.105e-01,7.427e-01,3.086e-01,0.000e+00,5.926e+00,0.000e+00,4.700e+00,1.815e+01,1.223e+01,0.000e+00,0.000e+00,1.815e+01,0.000e+00,-1.022e+01,9.000e-01,3.100e+00,1.038e+01,1.859e+01,2.083e+00,1.324e+00,6.968e+00,0.000e+00,4.70
1000,1000,9252,9.060e+00,7.000e-01,5.000e-01,2.930e+01,1.844e+01,3.951e+00,2.263e+01,2.714e+00,0.000e+00,-1.010e+01,3.200e+00,1.000e+00,3.251e+00,1.005e+01,2.578e+00,4.782e-01,1.946e-01,0.000e+00,3.711e+00,2.000e-01,4.700e+00,1.745e+01,1.244e+01,3.343e-01,9.959e-03,1.710e+01,0.000e+00,-1.117e+01,5.000e-01,3.800e+00,1.050e+01,1.957e+01,1.056e+00,1.293e+00,8.154e+00,0.000e+00,5.00
