episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,656,-8.723e+01,3.000e-01,3.000e+00,1.777e+01,1.080e+02,1.199e+00,1.215e+00,1.536e+01,4.000e+01,3.478e+01,8.000e-01,1.500e+00,4.819e+01,1.251e+01,1.073e+01,1.714e+01,2.032e+01,0.000e+00,2.858e+01,1.100e+00,6.000e-01,4.255e+01,1.206e+01,1.283e+01,2.252e+01,7.201e+00,0.000e+00,2.326e+01,4.000e-01,1.400e+00,3.813e+01,1.407e+01,4.418e+00,1.891e+01,1.481e+01,0.000e+00,3.60
200,200,1345,-9.491e+01,5.000e-01,3.000e+00,2.029e+01,1.140e+02,2.081e+00,1.302e+00,1.691e+01,3.000e+01,4.049e+01,5.000e-01,2.100e+00,5.119e+01,1.170e+01,6.782e+00,1.616e+01,2.825e+01,0.000e+00,2.937e+01,2.000e-01,3.000e-01,4.217e+01,1.321e+01,2.198e+00,3.665e+01,3.328e+00,0.000e+00,2.465e+01,2.000e-01,2.400e+00,3.985e+01,1.460e+01,2.314e+00,1.268e+01,2.485e+01,0.000e+00,3.80
300,300,2104,-1.101e+02,4.000e-01,3.600e+00,2.422e+01,1.350e+02,1.667e+00,2.192e+00,2.036e+01,2.000e+01,4.385e+01,8.000e-01,1.300e+00,5.645e+01,9.600e+00,1.010e+01,2.998e+01,1.637e+01,0.000e+00,2.988e+01,1.000e-01,7.000e-01,4.607e+01,1.499e+01,1.057e+00,3.769e+01,7.323e+00,0.000e+00,3.095e+01,6.000e-01,2.900e+00,4.658e+01,1.373e+01,6.287e+00,1.077e+01,2.953e+01,0.000e+00,4.50
400,400,2879,-1.177e+02,0.000e+00,4.200e+00,2.346e+01,1.410e+02,0.000e+00,1.758e+00,2.170e+01,1.000e+01,3.783e+01,5.000e-01,7.000e-01,5.110e+01,1.167e+01,5.493e+00,3.787e+01,7.731e+00,0.000e+00,3.812e+01,3.000e-01,1.800e+00,5.182e+01,1.191e+01,3.419e+00,2.834e+01,2.007e+01,0.000e+00,3.510e+01,4.000e-01,1.900e+00,4.901e+01,1.081e+01,4.413e+00,2.486e+01,1.973e+01,0.000e+00,4.70
500,500,3686,-1.160e+02,1.000e-01,4.100e+00,2.198e+01,1.380e+02,1.960e-01,7.069e-01,2.107e+01,1.000e+01,3.656e+01,2.000e-01,1.400e+00,5.026e+01,1.130e+01,2.258e+00,3.255e+01,1.545e+01,0.000e+00,3.737e+01,4.000e-01,1.300e+00,5.121e+01,1.174e+01,4.526e+00,3.218e+01,1.450e+01,0.000e+00,3.609e+01,2.000e-01,2.300e+00,4.904e+01,1.145e+01,2.249e+00,2.313e+01,2.366e+01,0.000e+00,4.60
600,600,4536,-1.316e+02,2.000e-01,4.400e+00,1.259e+01,1.440e+02,5.454e-02,7.802e-02,1.245e+01,1.000e+01,3.830e+01,1.000e-01,2.800e+00,4.969e+01,1.019e+01,1.058e+00,1.966e+01,2.897e+01,0.000e+00,4.278e+01,6.000e-01,1.300e+00,5.065e+01,5.467e+00,6.550e+00,3.042e+01,1.368e+01,0.000e+00,4.524e+01,4.000e-01,1.300e+00,5.132e+01,4.581e+00,4.140e+00,3.327e+01,1.391e+01,0.000e+00,4.80
700,700,5423,-1.258e+02,4.000e-01,4.400e+00,2.563e+01,1.500e+02,7.209e-01,2.964e-01,2.462e+01,0.000e+00,3.907e+01,2.000e-01,1.500e+00,5.162e+01,1.045e+01,2.133e+00,3.407e+01,1.541e+01,0.000e+00,3.859e+01,3.000e-01,1.500e+00,5.136e+01,1.037e+01,3.267e+00,3.278e+01,1.531e+01,0.000e+00,4.111e+01,1.000e-01,5.000e-01,5.154e+01,9.336e+00,1.023e+00,4.531e+01,5.206e+00,0.000e+00,5.00
800,800,6339,-1.215e+02,3.000e-01,4.200e+00,1.774e+01,1.380e+02,8.455e-02,1.096e-02,1.765e+01,1.000e+01,3.660e+01,4.000e-01,1.400e+00,4.669e+01,9.084e+00,4.109e+00,2.835e+01,1.423e+01,0.000e+00,3.861e+01,2.000e-01,1.400e+00,4.809e+01,7.275e+00,2.361e+00,3.144e+01,1.429e+01,0.000e+00,4.214e+01,1.000e-01,5.000e-01,4.689e+01,5.055e+00,1.002e+00,4.068e+01,5.217e+00,0.000e+00,4.60
900,900,7309,-1.266e+02,2.000e-01,4.500e+00,2.461e+01,1.500e+02,1.175e-01,6.813e-02,2.443e+01,0.000e+00,3.929e+01,1.000e-01,3.000e-01,5.066e+01,1.067e+01,1.070e+00,4.653e+01,3.058e+00,0.000e+00,4.098e+01,5.000e-01,8.000e-01,5.268e+01,9.306e+00,5.496e+00,3.843e+01,8.757e+00,0.000e+00,4.042e+01,2.000e-01,1.400e+00,5.120e+01,9.183e+00,2.009e+00,3.474e+01,1.445e+01,0.000e+00,5.00
1000,1000,8283,-1.276e+02,2.000e-01,4.600e+00,2.364e+01,1.500e+02,4.842e-02,1.589e-02,2.358e+01,0.000e+00,3.934e+01,0.000e+00,4.000e-01,5.058e+01,1.043e+01,0.000e+00,4.649e+01,4.085e+00,0.000e+00,4.229e+01,2.000e-01,1.000e+00,5.342e+01,9.131e+00,2.164e+00,4.044e+01,1.081e+01,0.000e+00,4.153e+01,0.000e+00,4.000e-01,5.116e+01,9.225e+00,0.000e+00,4.708e+01,4.074e+00,0.000e+00,5.00
