episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,906,-2.064e-01,1.200e+00,1.300e+00,1.447e+01,1.218e+01,3.957e+00,6.528e+00,3.986e+00,2.000e+01,5.294e+00,7.000e-01,3.100e+00,2.040e+01,1.361e+01,3.242e+00,3.301e+00,1.386e+01,0.000e+00,-7.814e+00,2.100e+00,1.500e+00,1.490e+01,1.971e+01,6.909e+00,3.381e+00,4.608e+00,0.000e+00,-6.373e+00,1.400e+00,1.900e+00,8.123e+00,1.240e+01,2.788e+00,2.027e+00,3.307e+00,0.000e+00,4.60
200,200,1791,-9.913e+00,1.700e+00,1.000e+00,2.645e+00,9.957e+00,1.249e+00,7.694e-01,6.266e-01,2.000e+01,5.629e+00,6.000e-01,2.700e+00,2.140e+01,1.557e+01,3.172e+00,4.419e+00,1.381e+01,0.000e+00,-8.624e+00,1.200e+00,1.200e+00,9.926e+00,1.585e+01,2.814e+00,4.480e+00,2.632e+00,0.000e+00,4.407e+00,1.500e+00,1.500e+00,1.562e+01,8.213e+00,5.680e+00,4.542e+00,5.398e+00,0.000e+00,4.30
300,300,2684,-7.615e+00,1.900e+00,6.000e-01,3.897e+00,1.001e+01,2.769e+00,7.022e-01,4.258e-01,4.000e+01,6.713e+00,1.300e+00,1.700e+00,2.277e+01,1.436e+01,6.854e+00,6.667e+00,9.247e+00,0.000e+00,-1.115e+01,1.800e+00,1.300e+00,7.655e+00,1.610e+01,3.205e+00,2.018e+00,2.432e+00,0.000e+00,5.150e+00,1.200e+00,1.400e+00,1.446e+01,8.306e+00,4.677e+00,5.611e+00,4.169e+00,0.000e+00,4.40
400,400,3582,-7.896e+00,2.000e+00,1.500e+00,4.595e+00,8.891e+00,2.961e+00,4.741e-01,1.161e+00,0.000e+00,-5.732e+00,1.000e+00,2.900e+00,1.399e+01,1.652e+01,3.105e+00,1.946e+00,8.936e+00,0.000e+00,-7.994e+00,7.000e-01,2.500e+00,1.120e+01,1.609e+01,1.642e+00,4.023e+00,5.532e+00,0.000e+00,8.222e+00,1.500e+00,1.700e+00,1.824e+01,6.517e+00,6.304e+00,6.119e+00,5.816e+00,0.000e+00,5.00
500,500,4490,2.814e-01,1.800e+00,1.400e+00,7.025e+00,3.343e+00,4.520e+00,1.056e+00,1.449e+00,2.000e+01,-4.687e+00,1.700e+00,1.900e+00,7.138e+00,8.525e+00,2.632e+00,1.262e+00,3.245e+00,0.000e+00,-9.020e+00,1.400e+00,1.600e+00,2.646e+00,9.366e+00,9.532e-01,8.687e-01,8.241e-01,0.000e+00,2.226e+00,1.300e+00,1.800e+00,8.551e+00,4.125e+00,2.792e+00,2.283e+00,3.476e+00,0.000e+00,4.80
600,600,5397,5.754e-01,2.000e+00,1.200e+00,8.006e+00,4.030e+00,5.203e+00,1.358e+00,1.444e+00,1.000e+01,-2.307e+00,1.500e+00,2.400e+00,7.150e+00,7.657e+00,2.110e+00,7.317e-01,4.309e+00,0.000e+00,-1.016e+01,9.000e-01,2.100e+00,1.884e+00,9.041e+00,5.996e-01,5.082e-01,7.758e-01,0.000e+00,9.884e-01,1.300e+00,1.400e+00,7.058e+00,3.369e+00,3.336e+00,2.240e+00,1.482e+00,0.000e+00,4.80
700,700,6273,1.719e+00,2.500e+00,9.000e-01,7.276e+00,3.957e+00,5.960e+00,5.139e-01,8.017e-01,1.000e+01,-1.205e+01,1.600e+00,2.600e+00,4.537e+00,1.359e+01,1.459e+00,2.817e-01,2.796e+00,0.000e+00,-7.338e+00,1.000e+00,1.500e+00,5.737e+00,9.875e+00,1.605e+00,2.671e+00,1.461e+00,0.000e+00,6.574e+00,1.400e+00,1.700e+00,1.288e+01,3.011e+00,5.756e+00,3.503e+00,3.627e+00,0.000e+00,4.70
800,800,7162,5.040e+00,1.600e+00,1.700e+00,1.002e+01,2.681e+00,6.286e+00,9.109e-01,2.824e+00,3.000e+01,-7.117e+00,1.000e+00,2.500e+00,3.463e+00,1.018e+01,9.414e-01,6.670e-01,1.854e+00,0.000e+00,-7.415e+00,1.000e+00,2.300e+00,3.395e+00,7.710e+00,1.203e+00,8.965e-01,1.295e+00,0.000e+00,1.093e+00,1.500e+00,1.400e+00,7.638e+00,3.945e+00,3.231e+00,1.817e+00,2.589e+00,0.000e+00,4.70
900,900,8094,4.845e-01,1.800e+00,1.900e+00,6.146e+00,3.362e+00,4.725e+00,4.914e-01,9.300e-01,2.000e+01,-4.871e+00,9.000e-01,3.100e+00,5.420e+00,8.091e+00,1.232e+00,4.136e-01,3.774e+00,0.000e+00,-7.078e+00,9.000e-01,2.500e+00,1.224e+00,6.402e+00,5.973e-01,2.194e-01,4.077e-01,0.000e+00,2.664e+00,1.200e+00,2.100e+00,7.879e+00,2.815e+00,3.362e+00,1.179e+00,3.338e+00,0.000e+00,4.50
1000,1000,8976,3.151e+00,2.800e+00,1.000e+00,1.316e+01,6.704e+00,1.069e+01,8.558e-01,1.607e+00,1.000e+01,2.665e+00,1.500e+00,3.000e+00,1.391e+01,9.348e+00,3.912e+00,1.438e+00,8.563e+00,0.000e+00,-1.180e+01,1.800e+00,2.300e+00,2.690e+00,1.119e+01,1.559e+00,4.019e-01,7.282e-01,0.000e+00,-5.713e+00,1.900e+00,1.600e+00,3.682e+00,6.195e+00,2.525e+00,3.630e-01,7.936e-01,0.000e+00,5.00
