episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
100,100,753,6.877e+00,6.000e-01,2.000e+00,6.568e+00,1.591e+00,1.103e+00,2.048e+00,3.416e+00,5.000e+01,-2.995e+00,1.300e+00,1.300e+00,2.293e+00,4.087e+00,9.617e-01,5.494e-01,7.817e-01,0.000e+00,-5.483e+00,1.500e+00,7.000e-01,1.937e+00,5.119e+00,8.658e-01,7.456e-01,3.253e-01,0.000e+00,3.80
200,200,1531,1.864e+00,6.000e-01,2.700e+00,6.752e+00,2.188e+00,9.610e-01,1.577e+00,4.214e+00,3.000e+01,-3.596e+00,8.000e-01,2.700e+00,1.990e+00,5.086e+00,7.370e-01,2.623e-01,9.907e-01,0.000e+00,-3.468e+00,1.700e+00,1.400e+00,2.826e+00,4.294e+00,1.637e+00,6.321e-01,5.567e-01,0.000e+00,4.30
300,300,2308,2.091e+00,5.000e-01,2.000e+00,3.603e+00,3.612e+00,6.251e-01,1.213e+00,1.765e+00,4.000e+01,-1.901e+00,1.800e+00,1.700e+00,2.989e+00,2.591e+00,2.081e+00,1.813e-01,7.277e-01,0.000e+00,-3.189e+00,1.500e+00,1.500e+00,2.856e+00,3.246e+00,2.173e+00,2.818e-01,4.010e-01,0.000e+00,4.00
400,400,3087,-2.961e+00,3.000e-01,2.600e+00,6.846e-01,5.946e+00,1.145e-01,1.266e-01,4.435e-01,6.000e+01,-3.407e+00,1.300e+00,2.000e+00,2.228e+00,5.134e+00,1.468e+00,1.493e-01,6.103e-01,0.000e+00,5.668e+00,2.200e+00,8.000e-01,9.065e+00,8.967e-01,7.283e+00,6.785e-01,1.104e+00,0.000e+00,3.70
500,500,3872,-2.703e+00,8.000e-01,2.400e+00,1.559e+00,7.062e+00,4.395e-01,2.037e-01,9.154e-01,6.000e+01,-3.358e+00,1.100e+00,2.000e+00,3.248e+00,5.307e+00,2.458e+00,2.587e-01,5.317e-01,0.000e+00,4.762e+00,1.900e+00,7.000e-01,1.013e+01,2.565e+00,6.876e+00,2.285e+00,9.657e-01,0.000e+00,3.80
600,600,4631,-2.917e+00,5.000e-01,2.700e+00,1.336e+00,5.653e+00,2.711e-01,2.312e-01,8.338e-01,6.000e+01,-2.810e+00,1.100e+00,2.000e+00,2.444e+00,4.555e+00,2.012e+00,2.175e-01,2.147e-01,0.000e+00,4.327e+00,1.700e+00,8.000e-01,8.145e+00,1.718e+00,5.997e+00,1.321e+00,8.266e-01,0.000e+00,4.30
700,700,5375,6.075e-02,4.000e-01,2.900e+00,2.549e+00,6.488e+00,3.928e-01,5.157e-01,1.640e+00,7.000e+01,1.159e+00,1.400e+00,1.800e+00,5.867e+00,3.108e+00,4.612e+00,3.546e-01,8.998e-01,0.000e+00,-1.319e+00,2.500e+00,3.000e-01,6.090e+00,4.910e+00,5.581e+00,2.856e-01,2.242e-01,0.000e+00,4.10
800,800,6103,-8.496e-02,5.000e-01,2.700e+00,1.243e+00,4.128e+00,3.599e-01,2.532e-01,6.301e-01,6.000e+01,-4.315e-01,9.000e-01,1.800e+00,3.975e+00,2.907e+00,3.337e+00,9.537e-02,5.425e-01,0.000e+00,-4.835e-01,2.300e+00,8.000e-01,4.447e+00,2.631e+00,4.331e+00,3.266e-02,8.311e-02,0.000e+00,3.80
900,900,6790,7.019e-01,4.000e-01,2.000e+00,7.262e-01,3.824e+00,3.849e-01,5.115e-02,2.901e-01,8.000e+01,4.449e-01,1.100e+00,1.400e+00,4.100e+00,3.455e+00,3.801e+00,8.116e-02,2.177e-01,0.000e+00,1.653e+00,1.900e+00,3.000e-01,4.481e+00,2.028e+00,4.058e+00,3.228e-01,9.995e-02,0.000e+00,2.90
1000,1000,7406,1.976e+00,2.000e-01,2.600e+00,1.511e+00,5.535e+00,3.217e-01,1.305e-02,1.177e+00,8.000e+01,3.241e+00,1.400e+00,1.400e+00,8.279e+00,3.738e+00,5.514e+00,1.863e-01,2.579e+00,0.000e+00,-2.516e+00,1.900e+00,5.000e-01,5.119e+00,5.636e+00,4.464e+00,4.520e-01,2.027e-01,0.000e+00,3.00
1100,1100,8015,4.871e+00,4.000e-01,2.300e+00,1.397e+00,3.826e+00,4.865e-01,8.987e-02,8.207e-01,1.000e+02,3.601e+00,1.600e+00,7.000e-01,6.237e+00,1.736e+00,6.125e+00,2.290e-02,8.908e-02,0.000e+00,-3.572e+00,2.100e+00,3.000e-01,2.194e+00,4.266e+00,2.186e+00,7.945e-03,1.902e-04,0.000e+00,3.10
1200,1200,8591,2.891e+00,4.000e-01,2.000e+00,1.259e+00,5.468e+00,6.046e-01,1.219e-02,6.425e-01,9.000e+01,-1.713e+00,1.200e+00,1.100e+00,3.643e+00,4.656e+00,3.614e+00,2.108e-03,2.772e-02,0.000e+00,3.722e+00,2.100e+00,1.000e-01,8.201e+00,2.979e+00,7.699e+00,3.780e-01,1.234e-01,0.000e+00,2.50
1300,1300,9099,2.254e+00,4.000e-01,2.100e+00,9.235e-01,5.569e+00,6.025e-01,3.860e-02,2.824e-01,9.000e+01,-2.076e+00,1.400e+00,9.000e-01,3.474e+00,4.450e+00,3.427e+00,2.742e-02,1.874e-02,0.000e+00,4.422e+00,2.500e+00,1.000e-01,7.832e+00,2.210e+00,7.793e+00,8.154e-03,3.076e-02,0.000e+00,2.80
1400,1400,9639,5.029e+00,0.000e+00,2.200e+00,3.176e-01,3.689e+00,0.000e+00,5.626e-02,2.613e-01,9.000e+01,2.325e+00,1.600e+00,8.000e-01,5.491e+00,1.066e+00,5.430e+00,1.444e-02,4.615e-02,0.000e+00,-2.553e+00,1.900e+00,4.000e-01,1.607e+00,2.660e+00,1.580e+00,2.713e-02,9.200e-05,0.000e+00,2.60
1500,1500,10115,6.516e+00,0.000e+00,1.600e+00,8.147e-02,3.266e+00,0.000e+00,1.263e-02,6.884e-02,1.000e+02,2.788e+00,1.400e+00,4.000e-01,4.529e+00,2.415e-01,4.517e+00,4.161e-04,1.193e-02,0.000e+00,-2.604e+00,1.600e+00,2.000e-01,9.798e-01,2.083e+00,9.739e-01,5.854e-03,7.104e-05,0.000e+00,1.90
1600,1600,10627,4.429e+00,4.000e-01,1.800e+00,4.832e-01,3.554e+00,3.427e-01,5.671e-02,8.382e-02,9.000e+01,3.852e+00,1.800e+00,6.000e-01,6.070e+00,3.185e-01,6.031e+00,1.754e-02,2.184e-02,0.000e+00,-4.281e+00,2.100e+00,4.000e-01,3.224e-01,3.004e+00,3.213e-01,1.081e-03,1.148e-05,0.000e+00,2.70
1700,1700,11090,6.745e+00,1.000e-01,1.700e+00,1.696e-01,3.025e+00,9.506e-02,6.202e-03,6.833e-02,1.000e+02,2.357e+00,1.500e+00,5.000e-01,3.670e+00,1.132e-01,3.670e+00,6.394e-05,8.370e-05,0.000e+00,-2.202e+00,1.700e+00,1.000e-01,1.385e+00,2.087e+00,1.301e+00,8.383e-02,2.690e-06,0.000e+00,2.10
1800,1800,11538,7.188e+00,0.000e+00,1.200e+00,9.893e-02,2.811e+00,0.000e+00,2.012e-02,7.880e-02,1.000e+02,3.051e+00,1.300e+00,1.000e-01,4.386e+00,1.346e-01,4.386e+00,6.404e-06,1.024e-04,0.000e+00,-2.639e+00,1.400e+00,1.000e-01,7.281e-01,2.267e+00,7.281e-01,0.000e+00,3.840e-06,0.000e+00,1.50
1900,1900,11951,6.386e+00,0.000e+00,2.500e+00,8.526e-02,2.700e+00,0.000e+00,9.664e-03,7.560e-02,1.000e+02,1.331e+00,1.700e+00,7.000e-01,3.357e+00,1.263e-01,3.356e+00,9.071e-04,3.040e-04,0.000e+00,-2.216e+00,2.000e+00,2.000e-01,1.198e+00,1.814e+00,1.178e+00,2.029e-02,8.321e-06,0.000e+00,2.70
2000,2000,12370,4.892e+00,1.000e-01,1.800e+00,2.403e-01,3.548e+00,1.407e-01,1.462e-02,8.492e-02,9.000e+01,3.004e+00,1.700e+00,8.000e-01,4.479e+00,2.751e-01,4.479e+00,9.537e-05,1.735e-04,0.000e+00,-2.597e+00,2.200e+00,2.000e-01,1.528e+00,2.424e+00,1.526e+00,1.949e-03,1.448e-04,0.000e+00,2.60
2100,2100,12769,6.721e+00,3.000e-01,1.000e+00,7.686e-01,2.648e+00,4.940e-01,1.743e-02,2.571e-01,1.000e+02,4.056e+00,1.500e+00,0.000e+00,5.456e+00,3.999e-01,5.456e+00,0.000e+00,0.000e+00,0.000e+00,-3.277e+00,1.200e+00,1.000e-01,9.163e-02,3.268e+00,9.155e-02,4.030e-05,3.492e-05,0.000e+00,1.50
2200,2200,13195,7.192e+00,0.000e+00,1.200e+00,2.751e-02,2.635e+00,0.000e+00,8.225e-03,1.929e-02,1.000e+02,3.572e+00,1.500e+00,1.000e-01,5.001e+00,2.885e-02,4.977e+00,2.397e-02,8.815e-05,0.000e+00,-3.664e+00,1.500e+00,1.000e-01,1.922e-01,2.556e+00,1.901e-01,2.074e-03,8.469e-07,0.000e+00,1.90
2300,2300,13592,7.202e+00,2.000e-01,1.700e+00,2.650e-01,2.463e+00,1.966e-01,2.322e-02,4.518e-02,1.000e+02,2.979e+00,1.800e+00,4.000e-01,4.869e+00,1.902e-01,4.867e+00,3.277e-06,2.817e-03,0.000e+00,-3.481e+00,2.000e+00,0.000e+00,1.066e-01,2.588e+00,1.066e-01,3.526e-05,0.000e+00,0.000e+00,2.30
2400,2400,13968,6.765e+00,0.000e+00,1.500e+00,2.052e-02,1.955e+00,0.000e+00,2.583e-03,1.794e-02,9.000e+01,2.551e+00,1.200e+00,5.000e-01,3.771e+00,2.025e-02,3.770e+00,0.000e+00,8.254e-04,0.000e+00,-2.816e+00,1.500e+00,0.000e+00,2.097e-01,2.026e+00,2.097e-01,1.956e-05,0.000e+00,0.000e+00,1.70
2500,2500,14317,7.459e+00,1.000e-01,1.200e+00,8.461e-02,2.126e+00,5.813e-02,1.900e-03,2.458e-02,1.000e+02,3.108e+00,1.300e+00,2.000e-01,4.561e+00,5.322e-02,4.560e+00,2.586e-05,1.673e-03,0.000e+00,-3.667e+00,1.400e+00,0.000e+00,2.098e-02,2.488e+00,2.094e-02,3.970e-05,0.000e+00,0.000e+00,1.60
2600,2600,14687,7.655e+00,1.000e-01,1.200e+00,2.636e-02,1.972e+00,1.593e-02,1.370e-03,9.066e-03,1.000e+02,2.515e+00,1.400e+00,2.000e-01,3.830e+00,1.500e-02,3.830e+00,6.157e-06,1.002e-04,0.000e+00,-2.869e+00,1.500e+00,0.000e+00,3.125e-02,1.901e+00,3.124e-02,1.100e-05,0.000e+00,0.000e+00,1.70
2700,2700,15057,7.332e+00,1.000e-01,1.100e+00,2.110e-02,2.489e+00,8.538e-03,1.554e-03,1.101e-02,1.000e+02,4.203e+00,1.500e+00,0.000e+00,5.208e+00,4.405e-03,5.208e+00,0.000e+00,0.000e+00,0.000e+00,-3.935e+00,1.300e+00,2.000e-01,4.208e-03,2.740e+00,4.207e-03,0.000e+00,5.624e-07,0.000e+00,1.50
2800,2800,15418,8.019e+00,0.000e+00,1.200e+00,4.154e-03,1.685e+00,0.000e+00,8.583e-04,3.296e-03,1.000e+02,1.737e+00,1.400e+00,0.000e+00,2.741e+00,3.669e-03,2.741e+00,3.534e-05,0.000e+00,0.000e+00,-2.056e+00,1.400e+00,0.000e+00,2.201e-02,1.078e+00,2.201e-02,2.011e-06,0.000e+00,0.000e+00,1.50
2900,2900,15776,8.237e+00,1.000e-01,1.500e+00,2.033e-02,1.084e+00,1.406e-02,3.094e-03,3.175e-03,1.000e+02,6.622e-01,1.400e+00,2.000e-01,1.876e+00,1.338e-02,1.875e+00,4.608e-05,5.401e-04,0.000e+00,-1.799e+00,1.700e+00,0.000e+00,3.722e-02,8.361e-01,3.722e-02,1.669e-06,0.000e+00,0.000e+00,1.80
3000,3000,16129,8.710e+00,1.000e-01,1.000e+00,1.936e-02,1.109e+00,1.307e-02,4.269e-03,2.019e-03,1.000e+02,1.640e+00,1.600e+00,0.000e+00,2.652e+00,1.205e-02,2.652e+00,9.393e-06,0.000e+00,0.000e+00,-2.550e+00,1.700e+00,0.000e+00,1.620e-02,1.567e+00,1.620e-02,0.000e+00,0.000e+00,0.000e+00,1.70
3100,3100,16497,9.574e+00,0.000e+00,1.100e+00,1.610e-03,2.280e-01,0.000e+00,5.136e-04,1.096e-03,1.000e+02,-7.144e-01,1.500e+00,0.000e+00,2.876e-01,2.060e-03,2.876e-01,0.000e+00,0.000e+00,0.000e+00,-1.259e+00,1.300e+00,2.000e-01,4.925e-03,6.415e-02,4.925e-03,0.000e+00,3.331e-07,0.000e+00,1.50
3200,3200,16833,9.550e+00,1.000e-01,1.200e+00,7.273e-03,5.760e-02,5.093e-03,2.015e-04,1.978e-03,1.000e+02,-8.751e-01,1.500e+00,0.000e+00,1.277e-01,2.769e-03,1.277e-01,0.000e+00,0.000e+00,0.000e+00,-1.075e+00,1.300e+00,0.000e+00,8.065e-03,8.266e-02,8.063e-03,1.916e-06,0.000e+00,0.000e+00,1.50
3300,3300,17202,9.669e+00,1.000e-01,1.200e+00,7.694e-03,3.894e-02,5.887e-03,1.018e-04,1.705e-03,1.000e+02,-1.133e+00,1.200e+00,1.000e-01,7.435e-02,7.175e-03,7.435e-02,3.964e-08,1.889e-07,0.000e+00,-1.036e+00,1.500e+00,0.000e+00,2.252e-02,5.845e-02,2.252e-02,0.000e+00,0.000e+00,0.000e+00,1.50
3400,3400,17572,9.465e+00,1.000e-01,1.300e+00,7.051e-03,4.157e-02,5.559e-03,7.659e-04,7.270e-04,1.000e+02,-1.187e+00,1.300e+00,2.000e-01,1.961e-02,6.782e-03,1.961e-02,0.000e+00,1.046e-07,0.000e+00,-9.783e-01,1.400e+00,0.000e+00,3.916e-02,1.747e-02,3.916e-02,7.943e-07,0.000e+00,0.000e+00,1.50
3500,3500,17968,9.489e+00,0.000e+00,1.300e+00,1.060e-03,1.120e-01,0.000e+00,2.763e-04,7.841e-04,1.000e+02,-1.393e+00,1.500e+00,2.000e-01,1.161e-02,4.292e-03,1.161e-02,3.616e-08,1.179e-06,0.000e+00,-9.964e-01,1.600e+00,1.000e-01,1.053e-01,1.722e-03,1.053e-01,1.142e-06,8.731e-08,0.000e+00,1.80
3600,3600,18338,9.568e+00,0.000e+00,1.500e+00,8.799e-04,3.298e-02,0.000e+00,1.518e-04,7.281e-04,1.000e+02,-1.176e+00,1.700e+00,0.000e+00,2.538e-02,1.257e-03,2.538e-02,1.439e-06,0.000e+00,0.000e+00,-1.392e+00,1.300e+00,1.000e-01,1.290e-02,4.922e-03,1.288e-02,1.126e-05,2.130e-07,0.000e+00,1.80
3700,3700,18691,9.994e+00,0.000e+00,1.000e+00,5.185e-04,6.790e-03,0.000e+00,2.399e-05,4.945e-04,1.000e+02,-9.968e-01,1.000e+00,0.000e+00,4.670e-03,1.498e-03,4.670e-03,1.625e-07,0.000e+00,0.000e+00,-9.969e-01,1.100e+00,0.000e+00,4.107e-03,1.008e-03,4.107e-03,0.000e+00,0.000e+00,0.000e+00,1.10
3800,3800,19034,9.982e+00,0.000e+00,1.000e+00,6.161e-04,1.813e-02,0.000e+00,9.684e-05,5.193e-04,1.000e+02,-9.775e-01,1.200e+00,0.000e+00,2.338e-02,8.830e-04,2.338e-02,0.000e+00,0.000e+00,0.000e+00,-1.005e+00,1.100e+00,0.000e+00,1.421e-03,6.401e-03,1.420e-03,2.881e-07,0.000e+00,0.000e+00,1.20
3900,3900,19392,9.691e+00,0.000e+00,1.400e+00,8.711e-04,9.604e-03,0.000e+00,1.000e-04,7.710e-04,1.000e+02,-1.191e+00,1.500e+00,1.000e-01,9.660e-03,7.776e-04,9.660e-03,0.000e+00,7.540e-07,0.000e+00,-1.300e+00,1.200e+00,1.000e-01,1.121e-03,1.271e-03,1.111e-03,9.498e-06,1.560e-07,0.000e+00,1.60
4000,4000,19719,9.884e+00,0.000e+00,1.100e+00,7.316e-04,1.666e-02,0.000e+00,1.120e-04,6.195e-04,1.000e+02,-1.088e+00,1.200e+00,1.000e-01,1.322e-02,1.632e-03,1.322e-02,0.000e+00,1.130e-07,0.000e+00,-9.957e-01,1.300e+00,0.000e+00,5.426e-03,1.088e-03,5.426e-03,0.000e+00,0.000e+00,0.000e+00,1.30
4100,4100,20024,9.588e+00,0.000e+00,1.400e+00,1.309e-03,1.287e-02,0.000e+00,8.985e-05,1.219e-03,1.000e+02,-1.192e+00,1.300e+00,1.000e-01,1.045e-02,2.078e-03,1.045e-02,1.643e-08,9.933e-08,0.000e+00,-1.097e+00,1.300e+00,1.000e-01,4.391e-03,1.209e-03,4.390e-03,7.481e-07,2.029e-07,0.000e+00,1.50
4200,4200,20368,9.893e+00,0.000e+00,1.200e+00,8.319e-04,7.630e-03,0.000e+00,6.303e-05,7.689e-04,1.000e+02,-1.297e+00,1.100e+00,1.000e-01,5.122e-03,1.886e-03,5.121e-03,1.392e-08,1.201e-06,0.000e+00,-9.964e-01,1.300e+00,0.000e+00,4.563e-03,1.002e-03,4.563e-03,0.000e+00,0.000e+00,0.000e+00,1.30
