episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
8500,8500,58058,3.515e+00,6.300e+00,1.000e-01,2.300e+00,1.996e-01,2.985e+00,1.995e-01,1.047e-04,8.726e-06,8.000e+01,8.334e+00,1.169e+00,1.385e+00,-1.400e+00,1.000e+00,1.900e+00,2.985e+00,1.996e-01,1.998e+00,3.922e-01,5.940e-01,0.000e+00,5.529e+00,-1.903e-01,3.40
9000,9000,61352,6.201e+00,7.200e+00,1.000e-01,2.800e+00,1.000e+00,1.999e+00,2.000e-01,4.781e-04,8.000e-01,8.000e+01,7.857e+00,1.580e+00,-7.015e-01,-1.700e+00,9.000e-01,1.800e+00,1.999e+00,1.000e+00,1.799e+00,1.939e-04,2.001e-01,0.000e+00,5.715e+00,-3.189e-01,3.10
9500,9500,64560,6.801e+00,8.600e+00,0.000e+00,1.900e+00,7.720e-04,1.799e+00,0.000e+00,7.457e-04,2.626e-05,9.000e+01,5.272e+00,2.564e+00,9.866e-02,-1.700e+00,9.000e-01,7.000e-01,1.799e+00,7.720e-04,1.799e+00,2.249e-04,1.180e-09,0.000e+00,2.572e+00,-2.778e-01,2.20
10000,10000,67584,3.101e+00,4.100e+00,2.000e-01,2.600e+00,4.009e-01,1.399e+00,4.000e-01,8.494e-04,9.611e-05,7.000e+01,7.600e+00,8.083e-01,1.799e+00,8.000e-01,6.000e-01,2.300e+00,1.399e+00,4.009e-01,1.199e+00,2.604e-04,1.999e-01,0.000e+00,6.301e+00,4.113e-01,3.20
10500,10500,70480,6.002e+00,7.600e+00,0.000e+00,2.300e+00,5.572e-04,1.599e+00,0.000e+00,5.292e-04,2.799e-05,8.000e+01,6.300e+00,2.246e+00,9.800e-02,-1.500e+00,8.000e-01,1.200e+00,1.599e+00,5.572e-04,1.598e+00,1.199e-04,7.717e-10,0.000e+00,3.857e+00,-2.477e-01,2.60
11000,11000,73329,6.602e+00,8.400e+00,0.000e+00,2.700e+00,3.277e-05,1.798e+00,0.000e+00,0.000e+00,3.277e-05,9.000e+01,6.943e+00,2.084e+00,1.976e-01,-1.600e+00,9.000e-01,1.600e+00,1.798e+00,3.277e-05,1.798e+00,3.690e-05,9.128e-10,0.000e+00,4.371e+00,-2.355e-01,2.70
11500,11500,76142,3.372e+00,5.200e+00,1.000e-01,2.900e+00,5.717e-01,2.400e+00,1.933e-01,7.070e-07,3.784e-01,6.000e+01,8.444e+00,1.539e+00,1.283e-01,-1.700e+00,8.000e-01,1.700e+00,2.400e+00,5.717e-01,1.600e+00,3.992e-01,4.012e-01,0.000e+00,5.557e+00,-2.636e-01,3.10
12000,12000,78771,6.800e+00,8.600e+00,0.000e+00,2.200e+00,1.189e-06,1.800e+00,0.000e+00,0.000e+00,1.189e-06,9.000e+01,5.658e+00,2.629e+00,2.001e-01,-1.600e+00,9.000e-01,1.000e+00,1.800e+00,1.189e-06,1.800e+00,3.674e-04,3.777e-09,0.000e+00,2.957e+00,-1.389e-01,2.20
12500,12500,81368,5.605e+00,7.200e+00,0.000e+00,3.200e+00,2.275e-06,1.595e+00,0.000e+00,8.050e-07,1.470e-06,8.000e+01,8.357e+00,1.452e+00,-1.051e-01,-1.700e+00,8.000e-01,2.000e+00,1.595e+00,2.275e-06,1.595e+00,1.098e-04,3.012e-09,0.000e+00,5.786e+00,-3.115e-01,3.30
13000,13000,83914,7.207e+00,9.200e+00,0.000e+00,2.600e+00,1.177e-07,1.993e+00,0.000e+00,0.000e+00,1.177e-07,1.000e+02,6.686e+00,1.799e+00,3.934e-01,-1.600e+00,1.000e+00,1.200e+00,1.993e+00,1.177e-07,1.993e+00,1.044e-04,2.510e-09,0.000e+00,3.600e+00,-4.070e-01,2.60
