episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,889,3.878e+00,9.000e-01,1.700e+00,1.771e+01,1.104e+01,3.080e+00,8.768e+00,5.866e+00,0.000e+00,2.531e+00,1.000e+00,2.500e+00,1.666e+01,1.093e+01,3.416e+00,4.891e+00,8.356e+00,0.000e+00,-8.966e+00,7.000e-01,3.600e+00,6.537e+00,1.310e+01,6.741e-01,9.627e-01,4.900e+00,0.000e+00,-9.644e+00,1.400e+00,1.800e+00,9.659e+00,1.550e+01,2.861e+00,3.239e+00,3.560e+00,0.000e+00,5.00
200,200,1838,7.272e+00,1.000e+00,9.000e-01,2.446e+01,1.458e+01,4.404e+00,1.633e+01,3.724e+00,0.000e+00,1.507e+00,1.600e+00,2.200e+00,1.599e+01,1.148e+01,5.265e+00,3.620e+00,7.103e+00,0.000e+00,-9.924e+00,3.000e-01,4.200e+00,1.011e+01,1.793e+01,5.771e-01,6.507e-01,8.879e+00,0.000e+00,-9.656e+00,1.400e+00,1.500e+00,1.332e+01,1.988e+01,3.678e+00,5.644e+00,3.998e+00,0.000e+00,5.00
300,300,2765,7.556e+00,5.000e-01,1.000e+00,2.335e+01,1.349e+01,2.022e+00,1.859e+01,2.733e+00,0.000e+00,-1.104e+01,1.800e+00,2.300e+00,4.672e+00,1.261e+01,1.580e+00,1.015e+00,2.078e+00,0.000e+00,-6.818e+00,4.000e-01,4.300e+00,1.307e+01,1.799e+01,4.304e-01,1.251e-01,1.251e+01,0.000e+00,-5.003e-01,1.900e+00,1.600e+00,1.877e+01,1.577e+01,6.938e+00,5.589e+00,6.240e+00,0.000e+00,5.00
400,400,3686,-2.701e+00,3.000e-01,5.000e-01,1.538e+01,1.668e+01,8.240e-01,1.396e+01,5.948e-01,0.000e+00,-1.686e+01,2.300e+00,1.500e+00,4.763e+00,1.823e+01,2.300e+00,1.165e+00,1.299e+00,0.000e+00,6.216e+00,2.000e-01,4.700e+00,2.404e+01,1.633e+01,3.551e-01,3.557e-01,2.333e+01,0.000e+00,3.750e+00,1.800e+00,2.300e+00,2.299e+01,1.594e+01,7.986e+00,4.049e+00,1.096e+01,0.000e+00,5.00
500,500,4643,-1.196e+01,2.000e-01,2.000e-01,6.549e+00,1.791e+01,7.064e-02,6.451e+00,2.745e-02,1.000e+01,-1.301e+01,1.500e+00,2.300e+00,2.668e+00,1.228e+01,1.138e+00,3.962e-01,1.134e+00,0.000e+00,1.439e+01,3.000e-01,4.100e+00,2.142e+01,6.428e+00,9.364e-01,1.321e-01,2.035e+01,0.000e+00,2.982e+00,1.400e+00,2.500e+00,1.607e+01,1.009e+01,4.314e+00,2.114e+00,9.641e+00,0.000e+00,4.60
600,600,5601,1.574e+00,4.000e-01,3.000e-01,1.360e+01,1.093e+01,1.552e-01,1.332e+01,1.293e-01,0.000e+00,-9.013e+00,2.100e+00,2.300e+00,3.063e+00,8.876e+00,1.733e+00,5.082e-01,8.221e-01,0.000e+00,1.245e+01,2.000e-01,4.300e+00,1.663e+01,1.880e+00,1.849e-01,4.557e-01,1.599e+01,0.000e+00,-1.501e+01,9.000e-01,3.000e+00,1.604e+00,1.321e+01,3.870e-01,3.779e-01,8.394e-01,0.000e+00,5.00
700,700,6569,-6.507e-01,4.000e-01,3.000e-01,1.530e+01,1.465e+01,7.289e-01,1.421e+01,3.590e-01,0.000e+00,-1.493e+01,2.300e+00,1.500e+00,2.293e+00,1.372e+01,1.354e+00,5.929e-01,3.456e-01,0.000e+00,1.105e+01,0.000e+00,5.000e+00,2.367e+01,1.162e+01,0.000e+00,0.000e+00,2.367e+01,0.000e+00,-3.469e+00,9.000e-01,3.300e+00,1.235e+01,1.362e+01,1.973e+00,1.284e+00,9.090e+00,0.000e+00,5.00
800,800,7538,3.557e+00,4.000e-01,2.000e-01,1.684e+01,1.228e+01,2.990e-01,1.652e+01,2.104e-02,0.000e+00,-7.750e+00,2.100e+00,1.900e+00,6.229e+00,1.038e+01,3.770e+00,1.069e+00,1.391e+00,0.000e+00,6.575e+00,2.000e-01,4.700e+00,1.929e+01,1.121e+01,4.329e-02,2.001e-01,1.904e+01,0.000e+00,-1.068e+01,5.000e-01,3.700e+00,5.819e+00,1.430e+01,7.476e-01,8.944e-01,4.177e+00,0.000e+00,5.00
900,900,8511,1.460e+01,1.000e-01,1.000e-01,2.454e+01,9.635e+00,8.549e-02,2.443e+01,2.698e-02,1.000e+01,-7.365e+00,2.600e+00,1.400e+00,4.417e+00,9.282e+00,3.546e+00,2.925e-01,5.784e-01,0.000e+00,5.619e+00,0.000e+00,4.600e+00,1.727e+01,1.175e+01,0.000e+00,0.000e+00,1.727e+01,0.000e+00,-1.716e+01,4.000e-01,3.600e+00,7.656e-01,1.632e+01,6.634e-02,1.085e-01,5.907e-01,0.000e+00,4.60
1000,1000,9506,1.526e+01,0.000e+00,1.000e-01,2.545e+01,9.988e+00,0.000e+00,2.539e+01,5.213e-02,0.000e+00,-1.278e+01,3.500e+00,1.000e+00,1.180e+00,1.146e+01,1.024e+00,8.075e-02,7.523e-02,0.000e+00,1.046e+01,0.000e+00,5.000e+00,2.082e+01,9.365e+00,0.000e+00,0.000e+00,2.082e+01,0.000e+00,-1.823e+01,4.000e-01,4.500e+00,2.181e+00,1.881e+01,7.616e-02,1.550e-02,2.089e+00,0.000e+00,5.00
